Tickers,Date,Open,High,Low,Close,Adj Close,Volume
DIA,2013-09-09,149.5,150.77999877929688,149.47999572753906,150.47000122070312,119.32086181640625,4402500
DIA,2013-09-10,151.47000122070312,151.82000732421875,151.10000610351562,151.7899932861328,120.36761474609375,7917100
DIA,2013-09-11,151.82000732421875,153.17999267578125,151.77000427246094,153.14999389648438,121.44606018066406,7044000
DIA,2013-09-12,153.3300018310547,153.41000366210938,152.77999877929688,153.02999877929688,121.35089111328125,5555700
DIA,2013-09-13,153.33999633789062,153.8000030517578,153.2100067138672,153.69000244140625,121.87432098388672,4829600
DIA,2013-09-16,155.3300018310547,155.49000549316406,154.66000366210938,154.94000244140625,122.86553955078125,6569000
DIA,2013-09-17,155.02000427246094,155.50999450683594,154.97999572753906,155.2899932861328,123.14302062988281,4517600
DIA,2013-09-18,155.16000366210938,157.05999755859375,154.64999389648438,156.69000244140625,124.25322723388672,9637300
DIA,2013-09-19,156.8699951171875,156.9199981689453,156.22000122070312,156.32000732421875,123.95993041992188,7626600
DIA,2013-09-20,156.16000366210938,156.19000244140625,154.3000030517578,154.3000030517578,122.59639739990234,9381000
DIA,2013-09-23,154.11000061035156,154.32000732421875,153.32000732421875,153.7100067138672,122.12770080566406,8662000
DIA,2013-09-24,153.74000549316406,154.02000427246094,152.9499969482422,153.05999755859375,121.61126708984375,5774900
DIA,2013-09-25,153.25999450683594,153.38999938964844,152.19000244140625,152.4199981689453,121.10271453857422,7187200
DIA,2013-09-26,152.6999969482422,153.5399932861328,152.47000122070312,152.9499969482422,121.52383422851562,5026300
DIA,2013-09-27,152.3000030517578,152.44000244140625,151.75999450683594,152.2100067138672,120.93578338623047,6634800
DIA,2013-09-30,150.7899932861328,151.5399932861328,150.4499969482422,151.0,119.9744644165039,9426100
DIA,2013-10-01,151.0,151.77000427246094,150.77000427246094,151.6199951171875,120.46708679199219,8616300
DIA,2013-10-02,150.89999389648438,151.10000610351562,150.14999389648438,150.97999572753906,119.95853424072266,8895300
DIA,2013-10-03,150.66000366210938,150.75999450683594,149.1699981689453,149.6699981689453,118.9177474975586,10949200
DIA,2013-10-04,149.67999267578125,150.55999755859375,149.42999267578125,150.42999267578125,119.52157592773438,6867800
DIA,2013-10-07,149.1199951171875,149.85000610351562,148.91000366210938,149.0,118.3853530883789,6081100
DIA,2013-10-08,149.0,149.13999938964844,147.5,147.52999877929688,117.21746063232422,10388000
DIA,2013-10-09,147.69000244140625,148.32000732421875,146.9600067138672,147.77999877929688,117.41610717773438,11075200
DIA,2013-10-10,149.13999938964844,151.00999450683594,149.08999633789062,150.9600067138672,119.9426498413086,12792200
DIA,2013-10-11,150.9199981689453,152.22000122070312,150.75999450683594,152.1699981689453,120.90403747558594,8186000
DIA,2013-10-14,151.19000244140625,152.8800048828125,151.0800018310547,152.8000030517578,121.4046401977539,6470100
DIA,2013-10-15,152.60000610351562,152.8000030517578,151.33999633789062,151.33999633789062,120.24456787109375,8144700
DIA,2013-10-16,152.3699951171875,153.55999755859375,152.24000549316406,153.52000427246094,121.97676086425781,8714800
DIA,2013-10-17,152.11000061035156,153.58999633789062,152.0500030517578,153.47999572753906,121.94493865966797,9916600
DIA,2013-10-18,153.66000366210938,153.8000030517578,152.88999938964844,153.60000610351562,122.17549896240234,7714400
DIA,2013-10-21,153.69000244140625,153.75999450683594,153.27000427246094,153.52999877929688,122.11990356445312,3588300
DIA,2013-10-22,154.02999877929688,154.86000061035156,153.82000732421875,154.25,122.69259643554688,7501700
DIA,2013-10-23,153.80999755859375,154.02999877929688,153.32000732421875,153.82000732421875,122.35063171386719,5428400
DIA,2013-10-24,154.19000244140625,154.9499969482422,154.10000610351562,154.8000030517578,123.1301040649414,5182600
DIA,2013-10-25,154.91000366210938,155.4499969482422,154.7899932861328,155.4499969482422,123.64708709716797,4565000
DIA,2013-10-28,155.1999969482422,155.64999389648438,154.99000549316406,155.3699951171875,123.5834732055664,4968800
DIA,2013-10-29,155.7100067138672,156.5,155.6199951171875,156.5,124.4823226928711,5779100
DIA,2013-10-30,156.72999572753906,156.8699951171875,155.3699951171875,155.8699951171875,123.9811782836914,6100200
DIA,2013-10-31,155.61000061035156,156.17999267578125,155.10000610351562,155.2899932861328,123.51984405517578,8157400
DIA,2013-11-01,155.5800018310547,156.14999389648438,155.0800018310547,155.86000061035156,123.97322082519531,5909900
DIA,2013-11-04,156.25999450683594,156.36000061035156,155.52999877929688,156.05999755859375,124.1323013305664,4042500
DIA,2013-11-05,155.27999877929688,156.17999267578125,154.8699951171875,155.88999938964844,123.99710845947266,5442800
DIA,2013-11-06,156.49000549316406,157.2899932861328,156.3699951171875,157.22000122070312,125.05504608154297,7548400
DIA,2013-11-07,157.72000122070312,157.8000030517578,155.67999267578125,155.85000610351562,123.96527099609375,10211000
DIA,2013-11-08,155.66000366210938,157.49000549316406,155.5800018310547,157.49000549316406,125.26972961425781,7594900
DIA,2013-11-11,157.3300018310547,157.72999572753906,157.14999389648438,157.61000061035156,125.3652114868164,3795200
DIA,2013-11-12,157.4199981689453,157.72000122070312,156.8699951171875,157.3699951171875,125.1742935180664,4094800
DIA,2013-11-13,156.52000427246094,158.1199951171875,156.5,158.05999755859375,125.72319793701172,5062900
DIA,2013-11-14,158.10000610351562,158.80999755859375,157.9499969482422,158.72999572753906,126.2559814453125,6931000
DIA,2013-11-15,158.57000732421875,159.3000030517578,158.47999572753906,159.3000030517578,126.94779205322266,6529100
DIA,2013-11-18,159.7100067138672,159.9499969482422,159.07000732421875,159.44000244140625,127.05929565429688,5236000
DIA,2013-11-19,159.5800018310547,159.92999267578125,159.08999633789062,159.3300018310547,126.97168731689453,5017300
DIA,2013-11-20,159.5500030517578,159.8800048828125,158.35000610351562,158.77000427246094,126.52543640136719,8401100
DIA,2013-11-21,159.2899932861328,159.8800048828125,159.1699981689453,159.86000061035156,127.39408874511719,4579900
DIA,2013-11-22,159.8300018310547,160.42999267578125,159.47999572753906,160.39999389648438,127.82447052001953,4466400
DIA,2013-11-25,160.80999755859375,160.85000610351562,160.3000030517578,160.61000061035156,127.99174499511719,5114400
DIA,2013-11-26,160.5399932861328,160.97000122070312,160.4600067138672,160.5,127.9041748046875,5231300
DIA,2013-11-27,160.7899932861328,160.94000244140625,160.41000366210938,160.85000610351562,128.1829376220703,6272800
DIA,2013-11-29,161.11000061035156,161.5800018310547,160.5800018310547,160.72000122070312,128.07937622070312,2887900
DIA,2013-12-02,160.75999450683594,160.83999633789062,159.7100067138672,159.9199981689453,127.44188690185547,5655700
DIA,2013-12-03,159.22999572753906,159.6199951171875,158.4600067138672,158.99000549316406,126.70077514648438,8660700
DIA,2013-12-04,158.4600067138672,159.52000427246094,157.8300018310547,158.75999450683594,126.51739501953125,7138200
DIA,2013-12-05,158.4499969482422,158.88999938964844,158.00999450683594,158.1199951171875,126.00745391845703,5823000
DIA,2013-12-06,159.52999877929688,160.17999267578125,159.1300048828125,160.16000366210938,127.63323211669922,6345300
DIA,2013-12-09,160.2899932861328,160.52999877929688,160.11000061035156,160.22999572753906,127.68897247314453,3967700
DIA,2013-12-10,159.77000427246094,160.19000244140625,159.63999938964844,159.72000122070312,127.2824935913086,4047600
DIA,2013-12-11,159.83999633789062,159.89999389648438,158.22999572753906,158.30999755859375,126.15882873535156,7906700
DIA,2013-12-12,158.2100067138672,158.42999267578125,157.07000732421875,157.47000122070312,125.48943328857422,7078700
DIA,2013-12-13,157.5399932861328,157.97000122070312,157.10000610351562,157.64999389648438,125.63290405273438,8886500
DIA,2013-12-16,158.3699951171875,159.3699951171875,158.25,158.89999389648438,126.62903594970703,7076500
DIA,2013-12-17,159.27000427246094,159.2899932861328,158.38999938964844,158.77999877929688,126.53335571289062,6001100
DIA,2013-12-18,159.16000366210938,161.7899932861328,158.11000061035156,161.75999450683594,128.90817260742188,15330700
DIA,2013-12-19,161.47999572753906,162.00999450683594,161.27999877929688,161.8800048828125,129.00379943847656,8018300
DIA,2013-12-20,161.6199951171875,162.52999877929688,161.61000061035156,162.00999450683594,129.42315673828125,7978200
DIA,2013-12-23,162.57000732421875,162.85000610351562,162.3300018310547,162.6199951171875,129.9104461669922,4992800
DIA,2013-12-24,162.72000122070312,163.25999450683594,162.58999633789062,163.16000366210938,130.34190368652344,2462000
DIA,2013-12-26,163.60000610351562,164.49000549316406,163.5800018310547,164.4600067138672,131.38037109375,4971600
DIA,2013-12-27,164.75999450683594,164.9199981689453,164.22000122070312,164.47000122070312,131.38845825195312,6176900
DIA,2013-12-30,164.5500030517578,164.67999267578125,164.39999389648438,164.58999633789062,131.48428344726562,4043600
DIA,2013-12-31,164.94000244140625,165.50999450683594,164.80999755859375,165.47000122070312,132.1873016357422,5667800
DIA,2014-01-02,164.7899932861328,165.00999450683594,163.83999633789062,164.11000061035156,131.1008758544922,9291100
DIA,2014-01-03,164.39999389648438,164.8699951171875,164.0399932861328,164.38999938964844,131.3245086669922,6127600
DIA,2014-01-06,164.99000549316406,165.05999755859375,163.7100067138672,163.88999938964844,130.92501831054688,7446800
