"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","15 Jan 2020","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW31319398.htm","Anonymous employee","Current employee","","","","New ideas are being welcomed in the organisation. Senior management is always willing to improve the existing processes for better results.","Centralization of decision making has to be reviewed and if possible has to be de-centralised for speedy execution.","Show more"
"5.0","17 Aug 2021","salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW51269411.htm","Manager","Current employee, more than 3 years","Pune","","","healthy environment, working culture, appreciation, bonuses and perks, recognition and awards, strong human resource, opportunity to grow","i think there is no negative things about dabur india ltd. as this organization already established top benchmark in the market.","Show more"
"3.0","20 Mar 2013","It is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW2482224.htm","Territory manager","Current employee, more than 3 years","Kānpur, Uttar Pradesh","","","One of the few Indian MNC and one of the biggest FMCG companies","Primary base company, you have to fight with undercutting","Show more"
"5.0","28 Sept 2020","Fabulous","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW36441298.htm","Senior manager","Former employee, more than 10 years","","","","Best place to work. A lot of freedom and respect by the Management.  Dr. Anand Burman is simply great!","One doesn't face any problems here.","Show more"
"4.0","18 Aug 2021","Great company","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW51326363.htm","Marketing specialist","Former employee, more than 3 years","","","","Personal growth opportunities and cross functional exposure
Salary as per industry standards
Great colleagues
Great brands and agile innovation pipeline","Not much but yes salary could have been better
Little bit of bureaucracy can be reduced
Else a great organizational to work for","Show more"
"4.0","20 Jan 2019","Great culture for working and learning. Worked as a sr. sales office gave me better platform to build my career.","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW24294950.htm","Senior sales officer","Former employee, more than 3 years","New Delhi","good environments, great company to work","long hours working ,  there is no training policy for new one.","","",""
"4.0","8 Mar 2019","Key Account Manger","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW25057389.htm","Key account manager","Former employee, less than 1 year","Bangalore Rural","","","Employee Growth Oriented  Company , Quality and Processes having good rank , Brand visibility , Customer focused.","Huge Market but less employment, area of working broad .","Show more"
"3.0","5 Feb 2013","lot about the learning curve","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW2345032.htm","Sales officer","Current employee, more than 1 year","Nāgpur, Maharashtra","","","amazing brands to work ,and good market share","typical indian management which is not good","Show more"
"5.0","30 Nov 2018","Review based on working load and burden","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW23638229.htm","Production engineer","Former employee, more than 5 years","Amritsar","","","Good company against comperision to other privet sector company","Some of uneducated employee and the lack of their behaivier","Show more"
"4.0","1 Mar 2020","The company is very good at teaching work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dabur-India-Limited-RVW32152336.htm","Treasury management sales officer","Current employee, more than 5 years","Ambāla","","","Multiple Task job. And training for next level","Follow up is must on regular basis","Show more"
