review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,31 Aug 2023,Great Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW79677215.htm,Deputy regional manager,Current employee,Public Sector Enterprise and stable working atmosphere,Not much to complain with years of work done.,,,,
3.0,13 Sept 2024,Lateral from outside company should think well before joining,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91004288.htm,Manager,"Current employee, more than 10 years",,,Bengaluru,"Stable job till retirement, but for good people lots of burn out.","Existing people have settled here and maximum donot want to work effectively or not fit to contribute. But somehow projects have to run. So to mitigate that new people in entry level and sometimes lateral from outside companies will be hired. Once joined here , one will come to know the reality. You will be suppressed even though you are efficient. The internal politics is too much. You will feel like you are stuck here badly after joining. So think well before taking up the opportunity. Look into all aspects. Timing is very stringent. Timing is more important than performance. Uniform is compulsory. Pay is moderate.",Show more
2.0,3 Oct 2024,"Good for settling down, bad for growth",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91609932.htm,Senior engineer,"Current employee, more than 5 years",,,Bengaluru,"1. Great work life balance
2. Nobody is fired
3. 9 to 5
4. Peaceful environment
5. Good facilities","1. No growth
2. Not to industry standard
3. No R&D is happening, only integration and middle man work
4. Extremely low hikes (3%) and promotions",Show more
5.0,6 Oct 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91678663.htm,Student intern,"Former intern, less than 1 year",Very good company to work,Less pay for student intern,Bengaluru,,,
5.0,4 Oct 2024,Great Experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91617387.htm,Senior engineer,"Former employee, more than 3 years","Dependable, Low work load, awesome work life balance","Crazy seniors, sometimes overtime work",Ghaziabad,,,
5.0,2 Oct 2024,good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91555947.htm,Apprentice,Former intern,good worklife balance and good learning,slow pace of work and flexibility,Bengaluru,,,
2.0,22 Aug 2024,Electronic team member,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90323310.htm,Electronic team member,Current freelancer,,,Nandurbār,Writing a professional piece involves a clear and concise approach. What specific topic or type of professional writing would you like assistance with?,"Writing to outline cons, or disadvantages, involves focusing on the potential drawbacks or negative aspects of a situation, decision, or proposal. Here’s a general structure you can follow:

1. **Introduction**: Briefly introduce the context of the discussion and explain why it's important to consider the cons.

2. **List of Cons**: 
 - **Con 1**: Start with the most significant downside, explaining it clearly.
 - **Con 2**: Follow up with other disadvantages, providing examples or scenarios where they could be problematic.
 - **Con 3**: Continue listing other relevant cons, ensuring each point is detailed enough for the reader to understand the potential impact.

3. **Considerations**: Discuss any mitigating factors or ways to address the cons, if applicable.

4. **Conclusion**: Summarize the cons and re-emphasize why they should be taken seriously in decision-making.

If you have a specific situation or subject in mind, I can help craft a more tailored piece!",Show more
5.0,27 Sept 2024,Good Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91414030.htm,Software designer,"Current employee, more than 3 years",Good company with good colleagues,Sometimes the superiors take time to answer questions,Calcutta,,,
5.0,27 Sept 2024,Positive,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91420672.htm,Intern,Former intern,"Good culture, Supportive, very informational",None that I can think of,,,,
1.0,2 Oct 2024,"No growth, Only integration work",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91573643.htm,Senior engineer,"Current employee, more than 5 years",,,Bengaluru,"1. Work life balance is good
2. No fear of firing","1. No growth
2. No actual R&D
3. Hike is 3%",Show more
4.0,22 Sept 2024,good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91235250.htm,Deputy engineer,Former employee,"job security, work life balance",slow growth & salary revision,Panchkula,,,
3.0,18 Sept 2024,Summer internship for 1 month,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91146637.htm,Summer intern,"Former employee, less than 1 year",Will Understand how production happens there,No Projects given to summer interns,Bengaluru,,,
4.0,18 Sept 2024,Good to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91147452.htm,Purchase engineer,"Current employee, more than 3 years",Learning point of view is good..,"No benefits like medical, pf and allowances.",Hyderābād,,,
5.0,18 Sept 2024,internship,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91128675.htm,Intern,Current intern,It was a great experience working there.,"Everything is good , no cons",Bangalore Rural,,,
4.0,19 Sept 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91152303.htm,Apprenticeship training,"Former intern, more than 1 year",,,Bengaluru,Work environment and good working condition,Salary is less compared to market,Show more
4.0,20 Aug 2024,"""Enhancing Internships at BEL: Strategies for Fostering Growth, Innovation, and Career Development""",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90261135.htm,Internship,"Current intern, less than 1 year",,,Bengaluru,"An internship at BEL Bengaluru can be a stepping stone to a successful career in electronics and communication, offering a blend of learning, professional development, and the chance to contribute to meaningful projects","Limited Creative Freedom,Bureaucratic Challenges,Limited Exposure to Latest Industry Trends,Limited Networking Opportunities,",Show more
5.0,9 Sept 2024,Opportunities,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90845681.htm,Deputy engineer,"Current employee, less than 1 year",,,Bengaluru,Best company to have a secure and stable life style,Won't be Best if you're comparing yourself to your corporate mates in terms of salary,Show more
5.0,15 Sept 2024,Work life balance awesome,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91021566.htm,Project engineer,Current contractor,Govt preparation can happens along with work,"Nothing ,skill development ka kammi hai bas",Bengaluru,,,
4.0,14 Sept 2024,Best Place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91017814.htm,Senior engineer,"Former employee, more than 3 years",Good Working Environment. Less work pressure.,Smart phones are not allowed. High Security restrictions.,Bengaluru,,,
4.0,14 Sept 2024,Work life balance,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW91010601.htm,Systems engineer,Former employee,Good work life balance here,No concs was observed here,Bengaluru,,,
4.0,12 Sept 2024,Good place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90950223.htm,Graduate engineer trainee,Former employee,"Good place to work, with good medical benifits",Few projects use old technology,Bengaluru,,,
4.0,13 Sept 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90987936.htm,Project engineer,Former employee,Work Time balance is good,No quick growth in the company,,,,
5.0,8 Sept 2024,it is good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90828303.htm,Project engineer,"Current employee, more than 3 years",it experience is very good,no downside in my side,"Jammu, Jammu and Kashmir",,,
5.0,5 Sept 2024,Review,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90740264.htm,Summer intern,"Former intern, less than 1 year",,,Bangalore Rural,"Experienced people
Good networking
Doing good to society",Travel can be a little hectic,Show more
3.0,3 Sept 2024,"Leave the pay, career growth curve is not good here",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90670486.htm,Deputy engineer,"Current employee, more than 1 year",Work life balance is good.,Pay here is not satisfactory.,Bengaluru,,,
5.0,27 Aug 2024,Great experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90453388.htm,Software intern,"Former intern, less than 1 year",My coworkers were friendly and the environment was great. I got to work on an interesting task.,"For security purposes, personal electronic devices aren't allowed inside the premises.",Bengaluru,,,
5.0,2 Sept 2024,Work culture,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90652605.htm,Graduate engineer trainee,"Former intern, more than 1 year",working culture is too good,everything is ok as working in company,Mumbai,,,
5.0,29 Aug 2024,Good Place to work and learn,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90529513.htm,Senior engineer,"Former employee, more than 5 years",Great work place with tremendous potential to lear,Promotion is same whether you work or sleep,Bengaluru,,,
4.0,25 Aug 2024,Trainee Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90395012.htm,Trainee engineer,"Former contractor, more than 1 year",,,Machilipatnam,Full flexibility and will get a chance to visit army camps,No chance to convert to full time employee,Show more
4.0,2 Sept 2024,nil,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90631661.htm,Deputy manager - operations,"Current employee, more than 8 years",Work life balance is wonderful,No scope of learning new softwares,Bangalore Rural,,,
5.0,30 Aug 2024,great space to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90589743.htm,Ai intern,"Former intern, less than 1 year",,,Bengaluru,"good place to work
good superiors","strict timings
monday to saturday",Show more
5.0,19 Aug 2024,Good place to start your career,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90220562.htm,Contract engineer,"Former employee, less than 1 year",,,Chennai,"We will learn using the tools and protocols. 
Seniors and managers are really good mentors.","Politics. 
No work life balance.",Show more
5.0,22 Aug 2024,Nice place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90315512.htm,Deputy engineer,"Former employee, more than 5 years",Good exposure to defense electronics systems,Salary structure . Learning may be less depending on team,Bengaluru,,,
2.0,15 Aug 2024,Good work life balance,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90113295.htm,Senior engineer,"Current employee, more than 3 years",,,Hyderābād,Sponsored IIT Madras Mtech program after putting in 5 years of experience,"Low pay
Alternate Saturdays working
NO Work From Home",Show more
5.0,25 Aug 2024,Marker,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90397829.htm,Marker,Former intern,They are amazing and good,They do sometimes small mistake,New Delhi,,,
4.0,21 Aug 2024,Internship,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90292059.htm,Internship,"Former intern, less than 1 year",You will learn lot of new things,No phones are allowed here,Bengaluru,,,
1.0,19 Aug 2024,Good for Age old people to play politics,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90233454.htm,Electrical engineer,Current employee,,,,Work life Balance and Job security,"Almost everything, you come here on time and have lunch and leave.",Show more
1.0,29 Aug 2024,Senior Engineer at BEL,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90542472.htm,Senior engineer,"Former employee, more than 3 years",If you want to prepare for UPSC you will get time,No learning in this company. So much of politics.,Ghaziabad,,,
1.0,2 Sept 2024,Salary,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90648078.htm,Software developer,Current employee,Life is better and supportive members,Don't have time to enjoy,"Farīdābād, Haryana",,,
4.0,3 Aug 2024,Salary,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89757979.htm,Sr. engineering assistant,"Current employee, more than 5 years",,,Bengaluru,"Environment, Cultural, learning, facilities, Pride in serving defence","Less pay, hierarchy, slow in decision making",Show more
5.0,10 Aug 2024,Good place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89970023.htm,Manager,Current employee,Great work life balance. Professional stability.,There are no specific cons,Bengaluru,,,
3.0,7 Aug 2024,Micromanagement & Favoritism,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89884824.htm,Senior engineer,"Current employee, more than 5 years",,,Ghaziabad,Good employee benefits and money in PSU,"Micromanagement and Politics in promotions
Emphasize attendance over work",Show more
5.0,26 Jul 2024,Good projects and cutting edge technology,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89510884.htm,Senior engineer,"Current employee, more than 5 years",,,Ghaziabad,Fast pace learning environment and good projects.,6 day week is one of the biggest issue.,Show more
5.0,7 Aug 2024,Easiness,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89895129.htm,Deputy general manager,Current employee,,,,It is very simple to up load details,More standard descriptions to be available,Show more
2.0,7 Feb 2024,Review (Central Research Laboratory),https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW84149280.htm,Member(research staff),"Current employee, more than 5 years",,,Bengaluru,"1. Good place for people who want peaceful life, a govt job with mediocre salary without work.
2. Work life balance depends completely on you. You can work if you want, and don't work if you don't want.
3. Career progression can be fast if you are good in building relationships and influencing people at higher management.
4. Medical insurance facility and work environment is good and pretty safe.","1. Bad place for people who have desire to work hard, grow and achieve something great.
2. Performance assessment is heavily governed by personal biases and number of hour you spend in office rather than work.
3. Management not able to retain key talented employees. 
4. Work load share is skewed. Company earns 80% of its revenue because of work done by 10% of its employees, rest 90% are just liabilities. If you think you would be in that 10%, then it's not the place for you.
5. Most of the higher management
designates are incapable in rational decision making, and end up making decisions as per their personal benefits and biases rather than thinking what is good for companies growth.
6. Minimal freedom of speech.",Show more
5.0,22 Jul 2024,Best company to work for with various products,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89394041.htm,Deputy engineer,"Current employee, more than 5 years",,,Bengaluru,"Work life balance
Good pay
Good City locations
Learning about various products of defence
Good exposure","Delay Promotions
Limited location across India",Show more
5.0,31 Jul 2024,Nice COmpany,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89666814.htm,Manager,"Current employee, more than 10 years",Secure Job and stable job with work life balance,Less salary in comparison to counterparts,Ghaziabad,,,
5.0,24 Jul 2024,Great place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89473343.htm,Manager,"Former employee, more than 10 years","Friendly people, amazing benefits compared to private companies.","I thinks all companies have they own cons, varies from person to person.",Bangalore Rural,,,
1.0,23 Aug 2024,Work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW90363771.htm,Project engineer,"Current employee, more than 5 years","Good Environment,helpful colleague and management",Contract period in many job,Bengaluru,,,
3.0,29 Jul 2024,Nil,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89581777.htm,Intern,Current employee,Good Experience and exposure to defence systems,Lack of infrastructure sometimes no adequate guidance,,,,
5.0,23 Jul 2024,great,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89395300.htm,Mill operator,"Current intern, less than 1 year",,,Bengaluru,was very advanced technology unlike others industry to prove works on publics and serves thes costomes as first pirority,"health
coustormer orinted
intellitual
managment
fulltrytuu",Show more
3.0,30 Jul 2024,Trainee,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89648607.htm,Graduate engineer trainee,"Former contractor, less than 1 year",experience gained through this organization,you should have more patience,Chennai,,,
5.0,25 Jul 2024,Great company to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89479045.htm,Ml engineer,Current employee,Good work culture in BEL,Slow growth for those who want money wuick,Bengaluru,,,
5.0,18 Jul 2024,good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89266215.htm,Anonymous contractor,Current contractor,"good ,excellent,and most good to be part of it.",better environment to work and achive.,,,,
4.0,18 Jul 2024,Not very good working environment,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89267245.htm,Project manager,"Current employee, more than 10 years",Job security for full time worker,Not a good work life balance,Bengaluru,,,
2.0,14 Jul 2024,Personal,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89128925.htm,Project engineer i,"Current contractor, more than 3 years",Good place to start for new or freshers.,No growth can be expected,Bengaluru,,,
5.0,11 Jul 2024,Wonderful overall,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89062135.htm,Internship,"Former intern, less than 1 year",Great work experience and opportunity to learn,No electronics devices where allowed,Bengaluru,,,
5.0,13 Jul 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89110473.htm,Graduate trainee,Former intern,,,Bengaluru,"Good to work
No much workload",There is nothing much to say,Show more
4.0,29 Jun 2024,Regarding work culture,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88694487.htm,Goit,"Current intern, less than 1 year",It is PSU sector mostly people are very friendly and they provide more knowledge,Cons like for girls it is not good there are so much gossips,Chennai,,,
4.0,6 Jul 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88896192.htm,Intrenship,"Current intern, less than 1 year",,,Bengaluru,Information provided are useful and good knowledge.,There is no hands on experience,Show more
3.0,10 Jul 2024,Work Culture,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW89014498.htm,Member of research staff,Current employee,Could not find any Pro!,Work Culture is very toxic!,Ghaziabad,,,
4.0,1 Jul 2024,N,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88733305.htm,Intern,"Former employee, less than 1 year","Helpfull, Length Process, Components, Review, External Agency, Big Campus","Huge Campus, Very Difficult to search for Ofice, Long Procedure",Bengaluru,,,
5.0,30 Jun 2024,excellent,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88713646.htm,Deputy general manager,"Current employee, more than 10 years",,,Bengaluru,"Navaratna company, PSU
Job security
Monopoly in defence sector","less package for starters
reduced intake of new employees",Show more
4.0,1 Jul 2024,Nhhb,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88762279.htm,Assistant manager,Current employee,Good company to work in,Nothing to say about the company,Hyderābād,,,
5.0,27 Jun 2024,Awesome experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88663463.htm,Unpaid trainee,Current intern,"Calm and peaceful environment, no work load","Everything at its best, no cons",Panchkula,,,
2.0,3 Jun 2024,salary details,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87878877.htm,Deputy manager,"Current employee, more than 8 years",,,Ghaziabad,"pros is ,it is a public sector org","salary strycture, work life balance, working days and time , less leaves",Show more
5.0,29 Jun 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88699756.htm,Deputy manager,"Current employee, more than 10 years",Good work life balance .,No negative as of now,Bengaluru,,,
3.0,29 Jun 2024,review,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88697675.htm,Deputy manager,"Current employee, more than 5 years",Work life balance is there,your life depends on your manager,Bengaluru,,,
4.0,20 Jun 2024,Good place to work.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88427118.htm,Project engineer,"Current employee, more than 3 years",Diverse range of projects and products to work on.,No mobile phone; poor canteen facilities.,Bengaluru,,,
4.0,20 Jun 2024,Best place explore the industry standard Technology,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88434701.htm,Project engineer,"Current contractor, more than 3 years",,,Bengaluru,"Good environment, 
Good working culture",I think I don't find any issues,Show more
4.0,20 Jun 2024,Good experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88451673.htm,Senior software engineer,"Current employee, more than 5 years",,,Bengaluru,"Peaceful environment 
Job security 
Work life balance","Work from home not available 
Salary hike",Show more
4.0,4 Jun 2024,"Manage the project planning, controlling, budgeting and scheduling",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87927387.htm,Project engineer iii,"Current employee, more than 3 years",,,Bengaluru,Best in industry salary and exposure. Career growth is sure.,May deploy to projects which are far from the core field.,Show more
4.0,18 Jun 2024,Good for Entry-level jobs,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88376594.htm,Trainee engineer,"Current contractor, less than 1 year",Good for freshers to learn,Food is bad on normal days,Bengaluru,,,
5.0,16 Jun 2024,Written exam + interview,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88293334.htm,Project engineer,Current employee,Work life balance is good,No bonus in ang way,Bengaluru,,,
2.0,13 Jun 2024,No scope for improvement,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88224751.htm,Deputy engineer,"Current employee, more than 1 year",Work life balance is there.,Employees are literally treated like slaves by the security.,Bangalore Rural,,,
5.0,28 May 2024,Very Nice Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87706434.htm,Assistant manager,"Current employee, more than 5 years",,,Panchkula,"Lots of Learning in Finance & Accounts especially SAP ERP, Everyone is supportive","More Workload, Extended working time in Finance & Accounts",Show more
2.0,13 Jun 2024,Project Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88214204.htm,Project engineer,"Current contractor, more than 5 years",,,Bangalore Rural,Good working environment in this organization,They don't have cons in organization,Show more
4.0,2 Jun 2024,Good Experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87866823.htm,Intern,"Current intern, less than 1 year",,,Bengaluru,"Stress-free experience.
Mostly research-oriented work was conducted in the department that I worked in.",Not many downsides of interning here that I can remember of.,Show more
4.0,3 Jun 2024,Good working culture,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87881613.htm,Trainee engineer,"Current employee, more than 1 year",Good work culture and good atmosphere,The technologies they are installed inside the unit is little bit less according to allover the world,Bengaluru,,,
5.0,12 Jun 2024,Great Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88177977.htm,Anonymous intern,"Current intern, more than 1 year",Good Company to gain industry experience,"Comparatively high workload, less work life balance",,,,
4.0,21 Mar 2024,Overall a good company if you can put the efforts in learning from seniors.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW85575626.htm,Project engineer,"Former contractor, more than 1 year",,,Ghaziabad,This company has a bunch of talented employees from whom you can learn if you are in a contract position. The work pressure is also less which will give you time to learn and connect with seniors.,All the in-house work has been outsourced and no major manufacturing is done in the plant. So you will be disappointed if you want something along those lines.,Show more
4.0,13 Jun 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88217269.htm,Project engineer,Current employee,Good experience to show outside,They behave good local person Rather then outsider,Bengaluru,,,
5.0,13 Jun 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88225313.htm,Trainee engineer,Former contractor,"supporting Friendly people, Good environment,",Security will be very strict,Bengaluru,,,
3.0,13 Jun 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88227545.htm,Project engineer i,"Current contractor, less than 1 year",,,Bangalore Rural,"Good for reading
Defence learning 
On time 
Food","Work culture
Security 
No flexible
Food",Show more
5.0,12 Jun 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88195841.htm,Applications developer,Current contractor,Good good very to good,No to say anything on this,Chennai,,,
4.0,12 Jun 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88210929.htm,Junior java developer,"Current contractor, more than 1 year",Good I will work with you,No cons about the glassdoor,Hyderābād,,,
5.0,5 Jun 2024,good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87972850.htm,Graduate engineer trainee,"Former intern, less than 1 year",good to do internships if u are jobless,less stipend but u need to comoplete 1 year,Bengaluru,,,
4.0,23 May 2024,"Quality, Innovative and Technology",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87596324.htm,Project engineer,"Former contractor, more than 1 year",,,Ghaziabad,My dream to join this company.,Full Time employees are very less.,Show more
4.0,10 Jun 2024,Fixed term job,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88099755.htm,Deputy engineer,Current contractor,,,Bengaluru,"Good Environment
Best to learn","None 
according to my perspective",Show more
4.0,7 Jun 2024,Review,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW88031384.htm,Intern,"Former intern, less than 1 year",,,Coimbatore,"Good experience
Good guidance and communication",Can be more easy to access and get internship,Show more
5.0,6 Jun 2024,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87992091.htm,Project engineer,Former contractor,"Good atmosphere, good culture, learning experience good",Good platform to learn and excel yourself,Ghaziabad,,,
3.0,3 Jun 2024,Good company for non learners,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87883650.htm,Deputy engineer/product design engineer,"Current employee, more than 1 year",Get good pay from starting,"Too many , you won't gonna learn new things",Ghaziabad,,,
4.0,15 May 2024,"Good for freshers, you can have a good working experience",https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87302623.htm,Apprentice,"Former employee, less than 1 year",,,Ghaziabad,You can learn more about your specific field.,Facilities for contract based employees are not as good as permanent ones whereas the workload is same.,Show more
4.0,4 Jun 2024,Apprenticeship trainee engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87917089.htm,Anonymous intern,Former intern,Great opportunity to work with gov organization,There is no cons in this position,,,,
4.0,15 May 2024,Great place to learn and explore networking and communications.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87301118.htm,Intern,"Current employee, less than 1 year",,,Bengaluru,"Well maintained office space filled with trees all around.
The officers were very knowledgeable and taught every detail from the basics",Uniform is compulsory no casual wear allowed,Show more
5.0,26 May 2024,learnt a lot,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87661118.htm,Project trainee/job for freshers,Former intern,got to know about radars and how they work in real time,no cons as everything was perfect,,,,
4.0,1 Jun 2024,everything good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87838995.htm,Graduate engineer trainee,"Current employee, more than 5 years",experience and technology learn and earn,no cons as of now internal politics,Bengaluru,,,
3.0,19 May 2024,Experience at BEL,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87434843.htm,Graduate engineer trainee,Current intern,,,Bengaluru,"Good coworkers,Systematic process and professional.","No flexible timings,No personal stuff allowed inside",Show more
3.0,3 Jun 2024,Te salary,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87884789.htm,Trainee engineer,"Former employee, more than 1 year",,,Bengaluru,"Good work culture.
Food is okay",Security are strict.phone not allowed,Show more
5.0,30 May 2024,Great company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87792781.htm,Trainee engineer,"Current contractor, more than 1 year","well organised , good work culture",working hours are more than required,Panchkula,,,
3.0,24 May 2024,Work life,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87625933.htm,Material management,Current contractor,Provide all salary on time and get a learning opertunity,People inside are not kind and very rude to outsider,Bangalore Rural,,,
3.0,19 May 2024,Bad HR,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87418943.htm,Deputy manager,"Current employee, more than 10 years",,,Ghaziabad,Medical facility is very good,The donkeys and the horses are both paid equally. Sometimes donkeys have high probability of getting promoted.,Show more
3.0,28 May 2024,graduate apprentice trainee,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW87697494.htm,Graduate apprentice trainee,"Former intern, less than 1 year",,,Bengaluru,"-good industrial exposure.
-best for electronics and mechanical background people.","-learning is completely voluntary.
-",Show more
