review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,8 Dec 2021,Awesome company for freshers,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW56387884.htm,Procurement engineer,Current employee,,,,"Good work environment for freshers
Good management","Nothing that I can remember
No job security",Show more
4.0,15 Dec 2021,Over all Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW56716763.htm,Software engineer,Former employee,Good place to work with huge data and infrastructure.,Need to upgrade with competitive market.,Bengaluru,,,
4.0,18 Jun 2015,Good Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW6952685.htm,Graduate trainee,"Current employee, less than 1 year",Great platform to learn.Great place to work..Supportive and motivating employees.,Multiple fields exposure sometimes inappropriate,Bengaluru,,,
3.0,12 Aug 2015,Not Bad,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW7554705.htm,Intern,"Current intern, less than 1 year",,,Bengaluru,"Time management is flexible.
People are friendly.",Some in-charge people don't even listen to Interns.,Show more
3.0,29 Jun 2016,nice place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW11077648.htm,Anonymous employee,Former employee,can learn a lot of Programming and integration methods,designation grading could be better,,,,
3.0,17 Nov 2016,Moderate experince.,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW12707544.htm,Anonymous intern,Former intern,The working environment is very peaceful.,No ground breaking work is done. Work is very sluggish.,,,,
4.0,18 Nov 2016,GAPP TRAINEE,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW12723888.htm,Anonymous contractor,Current contractor,,,,"We can learn many technical knowledge
Good experience in reputed company",Easily not get permanent job,Show more
3.0,2 Jun 2017,overall good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW15306040.htm,Graduate apprentice engineering trainee,Former employee,,,Bengaluru,"Good facilities for food and travel
Limited working hour
Enjoy Navratna status",Monotonous work culture limited period,Show more
4.0,1 Aug 2017,good place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW16159836.htm,Contract engineer,"Current intern, more than 1 year",good facilities we can learn new things,employee used to do workwith trainee,Bengaluru,,,
3.0,9 Dec 2017,Good Company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW18270327.htm,Anonymous employee,Former employee,,,,good defense company of country,cons are just same as any other PSU of country,Show more
4.0,12 Dec 2017,Good workspace,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW18306946.htm,Database administrator,"Former contractor, more than 1 year","Good salary, good environment, good extra benefits",Tuff to join and no fast career growth,Bengaluru,,,
5.0,19 Jul 2018,Production Planning controller,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW21548234.htm,Production controller& purchase assistant,"Current contractor, more than 1 year",,,Chennai,Nice environment zone . procedure and rules follow,"Quality
its liberal
smooth
honesty 
good work flow",Show more
3.0,11 Aug 2018,Senior Design Engineer,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW21924078.htm,Senior design engineer,"Current employee, more than 5 years","job security, reputed company, market leader in defence sector.",No design work for RF engineer.,Bengaluru,,,
5.0,10 Jan 2019,Internship,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW24152228.htm,Anonymous intern,"Former intern, less than 1 year",,,Bengaluru,"+ Friendly work environment.
+ Had a great learning experience.",+ I didn't find any cons.,Show more
5.0,27 Feb 2019,great job,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW24916283.htm,Anonymous contractor,Former contractor,excellent experience in public sector of India.,They are not hiring full time position,,,,
4.0,16 Mar 2019,Very Passsionate mentors willing to help,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW25201694.htm,Anonymous employee,"Current employee, more than 1 year",,,Hyderābād,"Nice Perks. 
Very nice team",More Management and should be improved,Show more
3.0,22 May 2019,Working at BEL,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW26261898.htm,Anonymous employee,Current employee,,,,"Job security
Work life balance
Good medical policy","Very slow procurement procedures
Old minded people
Not much technology company",Show more
4.0,31 Jul 2019,Great,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW28351803.htm,Anonymous intern,Current intern,,,,"Great work environment 
food
work place
no work pressure
new tech",There are no cons it is a psu,Show more
4.0,18 Aug 2019,Good company,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW28696406.htm,Deputy engineer,Current employee,No pressure.. And work environment is good,Old technology and didn't find anything that much,,,,
4.0,14 Sept 2019,Good,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW29223511.htm,Intern - monthly,"Former intern, less than 1 year",,,Ghaziabad,"Professional, Exciting work group, Great legacy",No active projects for interns,Show more
4.0,11 Oct 2019,Working as Trainee,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Electronics-RVW29751370.htm,Graduate apprentice trainee,"Current employee, less than 1 year",Nice place to work. Better place to improve knowledge,Very nice experience. No cons,Bengaluru,,,
