"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","11 Jul 2018","Company which equal to a government job/ A Family & Amble of Opportunities","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW21427347.htm","R&d engineer","Current employee, more than 3 years","Bengaluru","1. One which any employee look for now a days in Job security, and if you are looking for same in Pvt organization ABB is one among them where you can retire. 
2. All freedom to do any kind of job you wish which helps to climb your career ladder
3. Easy access to top management
4. Family like team members which we will feel so secured and happy
5. Work life balance to its 100% (Except WFH option which we cant expect from Manufacturing company)","1. Even though Salary is OK with Market standard initially,  every one will expect for a yearly hike which need to give it timely. 
2. Like how we promote our new innovation in European countries we lags in promoting those products in Indian Market too Especially (Install EV Charging station in all Indian Factories Minimum, Provide Solar Energy in some factory units which we can)
3. Focus on Marketing our brand some more in Indian market
4. Corporate Social responsibility is something which we are lagging all round.
5. Lags in team building activities both in Business/R&D and Production team.
6. Possible try to have shuffling in R&D Team in timely basis which will help in cross collaboration and helps to keep talents intact.","Show more"
"4.0","9 Mar 2022","Giod","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW60898163.htm","Technical consultant","Current employee","Indore","","",""
"5.0","17 Feb 2022","Company Review","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59850148.htm","Project engineer","Current employee, more than 1 year","Bengaluru","","",""
"4.0","10 Mar 2022","Good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW60925223.htm","Network engineer","Current contractor","Bengaluru","Good place to work
Nice manager","nothing as such
All good with peks","Show more"
"5.0","18 Feb 2022","Intern","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59894055.htm","Intern","Former intern, less than 1 year","Bengaluru","Nice company to learn.
Nice atmosphere for learning new skills and for professional growth.","I have not found one.","Show more"
"4.0","25 Feb 2022","Great place to work .","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW60310038.htm","Design engineer","Current employee, more than 5 years","Nashik","","",""
"1.0","1 May 2022","Disgusting  organization for Finance","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW63501622.htm","Finance specialist","Current employee, more than 3 years","Bengaluru","","",""
"4.0","9 Feb 2022","Work-life balance","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59391735.htm","Scm specialist","Current employee, more than 1 year","Bengaluru","","",""
"5.0","4 Feb 2022","good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59104133.htm","Designer","Current employee, more than 8 years","Chennai","flexible in timings good international experience we can gain","no challenges  we need to focus and learn","Show more"
"3.0","16 Feb 2022","Good place to work","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59778647.htm","Human resources specialist","Current employee, more than 1 year","Bengaluru","","",""
"5.0","26 Jan 2022","The Best company to work for","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58564044.htm","Sales manager","Current employee","Chennai","","",""
"4.0","14 Feb 2022","Work Environment","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59621141.htm","Human resources service associate","Current employee, more than 5 years","Bengaluru","","",""
"5.0","14 Feb 2022","Great","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59621987.htm","Research","Current intern, less than 1 year","Bengaluru","","",""
"4.0","15 Jan 2022","Good Exposure in Project Management","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57969910.htm","Associate project manager","Current employee","Bengaluru","","",""
"4.0","24 Jan 2022","Good place to work","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58427753.htm","Product engineer","Current employee, more than 8 years","Bengaluru","Good teams to work, good culture","Politics are there on top, you should know how to handle that.","Show more"
"4.0","15 Feb 2022","Sr engineer","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59705056.htm","Senior engineer","Current employee","Nashik","","",""
"3.0","8 Feb 2022","Best HR Polcies","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59282283.htm","R&d engineer","Current employee, more than 3 years","Chennai","","",""
"5.0","14 Feb 2022","-","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59622727.htm","Sales manager","Current employee","Mumbai","","",""
"5.0","3 Feb 2022","Fantestic construction comp.","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59079730.htm","Site manager","Current employee","Lucknow","","",""
"4.0","19 Jan 2022","Cosmo films ltd production .1.5 year","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58175051.htm","Anonymous employee","Current employee","Vadodara","As a team work and good apocyunity and good life in ABB","Yas iam interest this challenges.","Show more"
"5.0","16 Feb 2022","Best employer","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59748175.htm","Software engineer","Current employee, more than 3 years","Gurgaon, Haryana","","",""
"5.0","28 Jan 2022","Great Work Culture","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58740463.htm","Category manager","Current employee, more than 10 years","Vadodara","Salary & Work Culture, good company to work","no cons so far, overall all good","Show more"
"5.0","14 Feb 2022","Good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59670000.htm","Control and instrumentation engineer","Current employee","Bengaluru","","",""
"4.0","28 Dec 2021","Power systems consultant","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57153224.htm","Technical consultant","Former employee, more than 1 year","Vadodara","Will get a good chance to involve in High level technical projects","Micro management and low salaries","Show more"
"5.0","16 Jan 2022","good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58028607.htm","Manager","Former employee","Mumbai","","",""
"4.0","1 Feb 2022","Stable Job with work-life balance","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58947480.htm","Associate technical specialist","Current employee, more than 8 years","Bengaluru","","",""
"5.0","3 Feb 2022","Very good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59073083.htm","Mechanical design engineer","Current employee","Nashik","","",""
"4.0","15 Jan 2022","Good for a start","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57965596.htm","Engineer","Current employee","Chennai","No boundaries for learning opportunities","Salary not upto the mark, work environment","Show more"
"5.0","26 Jan 2022","Hello","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58558662.htm","Service engineer","Current employee, more than 5 years","Bengaluru","","",""
"3.0","19 Jan 2022","Get as much as you can in the beginning","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58180085.htm","Project engineer","Current employee, more than 8 years","Bengaluru","Good Work Culture
Work Life balance","Management will force to travel.","Show more"
"4.0","26 Jan 2022","Good company to work","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58620933.htm","Finance specialist","Former employee, more than 1 year","Bengaluru","Work culture and well established process","Career growth path is difficult","Show more"
"5.0","2 Feb 2022","Na","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59015411.htm","Procurement specialist","Current employee","Bengaluru","","",""
"5.0","5 Jan 2022","Good Company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57484030.htm","Senior project engineer","Current employee","Bengaluru","Good, Technology, Collaborative, Agile, Best place to work","Nothing specific, Self Drive needed,","Show more"
"4.0","27 Jan 2022","Good Company's","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58672237.htm","Accounts specialist","Current employee, more than 5 years","Bengaluru","Good Company

Work life balance

Regular hikes

Free food at company","Transparency

Leave issue

Slow growth

No proper recognition","Show more"
"4.0","22 Jan 2022","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58375294.htm","Sharepoint developer","Current employee","Bengaluru","Nothing as such, I was happy","None, promotion process is slow","Show more"
"5.0","22 Jan 2022","Best work culture","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW58369645.htm","Business consultant","Current employee","Mumbai","","",""
"3.0","3 Feb 2022","good","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW59051331.htm","Presales engineer","Former employee","Bengaluru","","",""
"4.0","14 Jan 2022","Great","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW57956732.htm","Cyber security specialist","Current employee","Bengaluru","","",""
"2.0","7 Sept 2016","Pathetic_ Non of HR Functions_","https://www.glassdoor.sg/Reviews/Employee-Review-ABB-RVW11826381.htm","Senior manager qa","Current employee, more than 10 years","Farīdābād, Haryana","Can not  see ..good for the people who are not so technically good and looking for long term job..that is why since 2011 knowledgeable employ not remain & left within 6months to 36 months ..they usually .. but will not layoff you.
If you can handle that there are career opportunities for you.
HR deptt almost finished because does not know their responsibilities & welfare .","company policies and processes. no botheration on quality. this is not particularly for a team,....grades & creams only be fore those who has GF in units .zero work life balance...some time make you sit idle for 9 hour. because working hours are compulsory... after resignation you are pressured to be able to negotiate better salary /position .If you do not sound you will not get any things only 1-3% enhance of salary and nothing to behind that.","Show more"
