"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"3.0","23 Dec 2021","Credit Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW57031262.htm","Anonymous employee","Current employee, more than 1 year","","","","","Good salary, job security, benefits are good","Lengthy processes, too much staff accountability"
"3.0","21 May 2014","OK","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW4263501.htm","Anonymous employee","Current employee","","","","","Job security in Govt job","Long Working Hours , no work life balance"
"5.0","30 Jul 2015","salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW7401065.htm","Agriculture officer","Current employee, less than 1 year","Silchar","good allowance and various benefits","hectic life and field visit","Show more","",""
"5.0","11 Jul 2017","working conditions","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW15837885.htm","Senior manager","Former employee, less than 1 year","Patna Rural","","","","Very friendly atmosphere to work.","Too much parameters to fulfill."
"5.0","1 Jul 2018","good enviroment","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW21285194.htm","Anonymous employee","Former employee","","","","","good promotion prospects,healthy working environment","office politics,long working hours,less holidays"
"5.0","21 Nov 2018","Manager IT","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW23514177.htm","Anonymous employee","Current employee","","","","","Good working environment and culture","No cons faced so far"
"5.0","22 Jan 2019","Officer","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW24322753.htm","Office manager","Current employee, more than 3 years","Faizābād, Uttar Pradesh","","","","High job security and reputed organization.","Monotonous work and low growth"
"5.0","30 Mar 2019","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW25422392.htm","Manager","Former employee, more than 1 year","Fīrozābād, Uttar Pradesh","","","","Good culture good atmosphere good","Some problems some pressure some Target"
"4.0","22 Jun 2019","PSU","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW27548655.htm","Anonymous employee","Current employee","","","","","Good salary and working is on time","Nothing much to mention here"
"4.0","17 Nov 2019","Banker","https://www.glassdoor.co.in/Reviews/Employee-Review-Punjab-National-Bank-RVW30426804.htm","Anonymous employee","Current employee, more than 8 years","","","","","Giving good service to customer","There is nothing worst about the company"
