"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","18 Mar 2023","Benifits","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74637842.htm","Territory manager","Current employee, more than 1 year","New Delhi","","","There are a lot of benifits for employees all Hr and Compliance are very strong and all seniors here are hand holding","As of today there is no cons.","Show more"
"4.0","31 Mar 2023","Good for Onrolls and not for Offrole","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75067365.htm","Hr-executive","Former contractor, more than 5 years","Mumbai","","","If you have good Manager it will make you survive in the Org","Not taking deserving offrole employee on the rolls of co","Show more"
"4.0","26 Mar 2023","Caring for life as well as care of employee","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74890048.htm","Assistant manager","Former employee","","Good working culture and good company policy","All persons are not trained on multiple instruments only few peoples having the knowledge of particular instruments","","",""
"4.0","27 Mar 2023","Overall ratings of company","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74926641.htm","Management staff","Current employee","","","","Safety & quality giving utmost care","More production & reduce documents.","Show more"
"4.0","26 Apr 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75850274.htm","Logistics manager","Former employee, more than 1 year","Bengaluru","learning, transport, flexibility, timing, workplace","pressure, harmful, chemicals, audits, etc","","",""
"5.0","16 Feb 2023","cipla","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73677819.htm","Anonymous employee","Current employee, more than 1 year","Sīkar","","","i am currently working as a assistant manager with brands like Foracort and Duolin and in cipla work conditions are at best lavel if we compare it with other companies","there is lot of work pressure","Show more"
"3.0","12 Mar 2023","Not good for long term as TM","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74432429.htm","Assistant manager","Former employee, more than 1 year","Jamshedpur","","","Cipla products are known to customers","Management is not good.. Age is Big factor.. Company is not good for long term","Show more"
"4.0","16 Apr 2023","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75540201.htm","Therapy manager","Current employee, more than 1 year","Calcutta","","","Everything of the organization is best in industry.","Work load, Work life balance","Show more"
"4.0","11 Apr 2023","Back end operations","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75376967.htm","Associate","Former employee, more than 3 years","Mumbai","Good infrastructure and weekly 2 days off","Canteen should i have more food options","","",""
"4.0","29 Mar 2023","Excellent place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74988035.htm","Project manager","Former employee, more than 8 years","Mumbai","Very helpful people and easy to approach leaders","No downside as such just need more clarity on career growth","","",""
"5.0","27 Feb 2023","Great experience as kick start to your career","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74031548.htm","Intern- medical writing","Former intern, less than 1 year","Mumbai","","","Helpful supervisors, Work flexibility, Great environment","Salary is very low, which can lead interns to switch companies after their internship instead of transitioning to a junior medical writer role.","Show more"
"4.0","14 Mar 2023","Good place to work. Salary is not up to the mark","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74504496.htm","Assistant manager","Current employee, more than 1 year","Mumbai","Work culture is good. People are friendly and helpful. Have scope to explore around","Severely underpays employees HR management","","",""
"1.0","1 Jun 2023","bad","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW77005517.htm","Anonymous employee","Former employee, more than 3 years","Pune","","","no pros only cons pathetic place , mentally harassed","many how much to write","Show more"
"4.0","14 Apr 2023","Nothing","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75509866.htm","Senior executive","Current employee","Bengaluru","Good working environment for freshers","Very very good for learning period","","",""
"5.0","10 Apr 2023","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75336210.htm","Medical assistant","Former freelancer, less than 1 year","Vijayawāda","It's good salary, and bonus","In this good values and benefits","","",""
"4.0","24 Mar 2023","Great company to work for in the long term","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74848802.htm","Brand manager","Former employee, more than 1 year","Mumbai","Positive Work Culture, encouraging teams, exciting projects","Lack of work life balance","","",""
"2.0","13 Apr 2023","Medical","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75472568.htm","Medical representative psr","Current employee","","Good for worl and good salary","Extreme pressure and excessive Target","","",""
"4.0","9 Apr 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75320357.htm","Senior manager","Current employee","","Good company to work for.","Promotions in specific departments are slow","","",""
"5.0","2 Mar 2023","Best place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74135699.htm","Scientific business manager","Current employee","","","","Flexible work life personal life balance","Depends on the manager situation will change","Show more"
"5.0","4 Apr 2023","Jhansi","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75204035.htm","Therapy manager","Former employee","Āgra, Uttar Pradesh","","","Very good company & culture","Not aplicable all ia good","Show more"
"5.0","3 Apr 2023","abc","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75142417.htm","Senior manager","Current employee","","its a good place to work","nothing specific, they are doing good","","",""
"2.0","3 Apr 2023","salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75136168.htm","Intern","Current intern","Bengaluru","Good work as always but less pay","No support from management and team","","",""
"5.0","8 Feb 2023","Working as API Manufacturer","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73433551.htm","Manager","Former employee","","","","100% compliant mode during manufacturing of life saving drugs","Production can be increased by giving molecules to API manufacturing blocks by means of taking orders from customers. BD department has to focused on getting orders","Show more"
"4.0","30 Mar 2023","No","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW75024848.htm","Asm (area sales manager)","Current employee","Kota, Rajasthan","Good company to work with","No cons. Work pressure u cant have here","","",""
"3.0","28 Mar 2023","marketing","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74960480.htm","Brand manager","Former employee","Mumbai","- flexible timings - travel friendly - good culture","- extended work hours - boss","","",""
"4.0","9 Mar 2023","Good Culture to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74372916.htm","Management staff","Current employee, less than 1 year","East District","HR policy is employee friendly, work life balance is good.","Location is little problematic during rainy season","","",""
"4.0","22 Jan 2023","Company legacy","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW72870692.htm","Deputy manager","Current employee","","","","Working time Good team work Team moral support Good HR policies Employee friendly","Traveling inconvenience Very High expectations ( comparison with colleague's) Every yrs structure change Lot of structural changes Inter team m understanding is low","Show more"
"4.0","21 Feb 2023","Work in Cipla like working with friends.","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73823513.htm","Anonymous employee","Current employee, more than 8 years","South Goa","","","Support from seniors Nice incentives","Work finish in time. No negligence","Show more"
"4.0","21 Mar 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74720579.htm","Mis data analyst","Current employee","","Good environment, healthy, flexible, nice","Salary, structure, benefits, accommodation, traveling","","",""
"5.0","23 Feb 2023","Good Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73933121.htm","Associate","Current employee, more than 1 year","Vikhroli","very good work culture. Proper work-life balance get to learn new things","As of now, I couldn't find any cons.","","",""
"5.0","10 Mar 2023","great work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74386839.htm","Anonymous employee","Current employee","East District","working environment, helpful management, career growth","nothing to be mentioned specifically","","",""
"3.0","5 Mar 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74200765.htm","Quality assurance","Former freelancer, more than 1 year","Gurgaon, Haryana","nice work good environment supercool peers loved it","timings were odd and travel expenses are a lot","","",""
"5.0","7 Mar 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74296427.htm","Product manager","Current intern","Mumbai","","","Everything culture pay experience etc","Nothing nothing nothing nothing nothing","Show more"
"5.0","3 Mar 2023","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74167869.htm","Quality assurance","Former employee","","Excellent team and management support","Nothing particular that I can remember","","",""
"5.0","21 Feb 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73824997.htm","Abm sales","Current employee, more than 8 years","Kollam","","","Good compensation. Career opportunity. Good Good Good","Work life balance.work life balance. Work life balance.Work life balance","Show more"
"5.0","16 Feb 2023","Superb company","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73677257.htm","Management staff","Former employee, more than 1 year","Indore","","","One of the best pharma companies in india","Work life balance can be improved","Show more"
"4.0","7 Mar 2023","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW74299152.htm","Management staff","Former employee","","Work life balance Team oriented","Structural growth Appraisals Organisational expertise","","",""
"5.0","22 Feb 2023","Best learning place","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73890522.htm","Territory manager","Former employee, more than 3 years","Kota, Rajasthan","Good to go for freshers","Too much pressure as you grow old in company","","",""
"5.0","26 Sept 2022","Life in cipla","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW69467884.htm","Senior executive - quality assurance","Current employee, more than 3 years","South Goa","","","Cipla name it self explain its story but I am going to share
1. So much thing to learn we are exposed to vast Pharma tools being in IPQA we can learn QMS, validation, em monitoring, some work of it also so we have a chance to become multi-purpose.
2. Leaves are good
3. Salary is also good","1. Rating system people are rated based on there performance on the basis of which there increment comes.","Show more"
"5.0","11 Feb 2023","Cipla is a best company for carrier","https://www.glassdoor.co.in/Reviews/Employee-Review-Cipla-RVW73539458.htm","Assistant brand manager (abm)","Former employee, more than 1 year","","","","Full family protection best package","High sale orientation and meeting format","Show more"
