"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","14 Nov 2015","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW8643860.htm","Graduate engineering trainee","Former employee","Dhāruhera","Compensation and benefits, work culture and future oppurtunities","Work culture, No passion, Very slow","","",""
"4.0","17 Jul 2017","Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW15932499.htm","Anonymous employee","Current employee, more than 5 years","","","","Work life balance,  pride,  family type feelibg","Too giant ship to accept change","Show more"
"3.0","6 Mar 2018","Good company to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW19561864.htm","Anonymous employee","Former employee","","","","Working environment, Cultural activities, Timings are adhered","No innovation in the organosation","Show more"
"4.0","22 Jul 2018","very good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW21592834.htm","Anonymous employee","Current employee","","good opportunity to groom your career","internal politics are involved in every aspect","","",""
"4.0","5 Aug 2018","Pre Delivery Incharge","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW21816497.htm","Pdi in charge","Current employee, less than 1 year","Porbandar","Because Hero Bikes is Major Player in Market.","Accessory Selling and Parts Details","","",""
"4.0","17 Apr 2019","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW25723193.htm","Assistant manager","Current employee, more than 1 year","","Overall going experience nice company to work for","Everthing is good nice computo work for","","",""
"5.0","7 Jun 2019","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW26539989.htm","Anonymous employee","Current employee","Gurgaon, Haryana","","","Work life balance for female employees","There is no cons in the company","Show more"
"5.0","8 Aug 2019","Good work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW28530435.htm","Territory sales manager","Current employee, less than 1 year","","","","focus on humility
learning environment
work life balance","low salary compared to industry standards","Show more"
"5.0","9 Oct 2019","skill team lead","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW29723056.htm","Anonymous employee","Current employee","","","","best work environment in manufacturig","nil all good
no cons as of now","Show more"
"5.0","5 Nov 2019","Overall Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW30201821.htm","Anonymous employee","Current employee, less than 1 year","New Delhi","","","- Collaborative Work Environment
- Employee friendly HR policies","- Interview process takes time","Show more"
"4.0","8 Nov 2019","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW30268746.htm","Deputy manager","Current employee","","","","1. Good Learning Experience
2.  Work life balance","1. Work culture
2. Adaption to change","Show more"
"5.0","3 Dec 2019","One of the best employer","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW30689365.htm","Manager","Current employee, less than 1 year","New Delhi","","","Employee friendly organisation 
Policies
Working team
Induction process","There are no cons!","Show more"
"5.0","17 Dec 2019","Induction Process","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW30921650.htm","Anonymous employee","Current employee","","","","Well structured induction process.
Sessions by all functions people
Good food","No as of now.","Show more"
"5.0","18 Dec 2019","Hero Induction","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW30921934.htm","Anonymous employee","Current employee, less than 1 year","","Good understanding of employee needs . Work Satisfaction.","Transport facility can be provided.","","",""
"5.0","17 Feb 2020","Induction","https://www.glassdoor.co.in/Reviews/Employee-Review-Hero-MotoCorp-RVW31921156.htm","Anonymous employee","Current employee","","Excellent Induction Process, Swift Management","Not any, seriously, can be done in less days","","",""
