"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","12 Dec 2022","Associate key relationship manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71788930.htm","Associate key relationship manager","Current employee, less than 1 year","Friendly nature good environment Good company","Not Applicable Not Applicable Not Applicable","Show more","Mysore","",""
"5.0","12 Dec 2022","Exciting Workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71801432.htm","Financial sales consultant (fsc)","Current employee, more than 3 years","","","","New Delhi","Great place to learn and grow with excellent staffs.","Not that i have experienced any."
"5.0","13 Dec 2022","Relation Manager for banka Channel","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71816519.htm","Senior financial service manager","Current employee, less than 1 year","Brand value, good atmosphere, staff","No downside seen in ICICI Prudential","Show more","","",""
"4.0","15 Dec 2022","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71878354.htm","Financial services consultant","Current employee, less than 1 year","","","","Thāne","Had a good time and experience","I faced mental stress because of the ICICI people"
"5.0","4 Nov 2022","it was a great experience working with icici pru life. Hoping to move further with great experience from here.","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70779567.htm","Financial services consultant","Current employee, less than 1 year","","","","Bālāghāt","It is a great and best bank for customer service.","There is no downside for ICICI"
"5.0","19 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71968170.htm","Anonymous employee","Current employee, less than 1 year","","","","Surat","Help me to enhance my knowledge and experience","No negative of the organisation"
"3.0","23 Dec 2022","Yes","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW72083600.htm","Unit manager","Current employee, less than 1 year","Icici prudential return is best","Icici prudential is good yes","Show more","Chamba, Himachal Pradesh","",""
"5.0","5 Dec 2022","Deputy key relationship manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71627570.htm","Relationship manager","Current employee, more than 5 years","","","","New Delhi","It is a best work place.","All was good here in my last 5 yesr experience"
"5.0","6 Dec 2022","Sales Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71646340.htm","Deputy sales manager","Current employee, more than 3 years","","","","","People Oriented Company, Excellent Employee Enagement, Job Security","I really rate 10 out of 10 for my company"
"5.0","3 Nov 2022","Skill Development/ Job Security/ Work Satisfaction","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW70748439.htm","Financial services consultant","Current employee, less than 1 year","","","","","Supportive Administrators Atmosphere depends on our sales performance.","Everything in sales job depending on our performance and target achievement. So everything can be manageable."
"5.0","15 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71885104.htm","Anonymous employee","Current employee, more than 1 year","","","","","Very good attitude of work","No negative of work all are positive vibes only"
"5.0","22 Nov 2022","Good experience with very good organization","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71323038.htm","Akrm","Current employee, more than 8 years","India's largest and first Ulis company","Till. Time im not oblation good","Show more","Khambhāt","",""
"5.0","19 Dec 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71972566.htm","Anonymous employee","Current employee, more than 5 years","","","","Gulbarga","Good organization to a work","Good experience in ICICI Prudential life insurance"
"1.0","27 Dec 2022","Bad place to start.","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW72158379.htm","Relationship manager","Former employee, more than 1 year","Regular incentives, per quarter, that adds up to the salary without a roof.","Bad work culture, employees are treated disrespectfully. HRs always side with the higher authority, not the employee in need. Meaningless pressure for sales and operations both.","Show more","Ahmedabad","",""
"5.0","2 Dec 2022","Overall experience good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Prudential-Life-Insurance-RVW71557849.htm","Fsc","Current employee, more than 1 year","","","","Morādābād","The environment is good and well supportaive managers","I don't think any kind of cons in the company"
