review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,,,,,,,,,
5,08-Oct-24,Nice place to work but depends on project,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91727469.htm,Senior software engineer,Current employee,Good place to work here,Nothing as such only hike is less,,,,,,,,,,,,,
2,08-Oct-24,Needs to get better,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91736225.htm,Graduate engineering trainee get,Former employee,Can learn about work very good,Need to treat employees in better way,Bangalore Rural,,,,,,,,,,,,
5,08-Oct-24,COMPANY REVIEW,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91720903.htm,Electrical engineer,"Current employee, more than 10 years",The working environment is good. Learning and career growth is good.,6 Days working in a week.,Chennai,,,,,,,,,,,,
2,01-Oct-24,"Overall experience is not good, Please choose other over this.",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91512847.htm,Senior engineer,"Former employee, more than 1 year",,,North,1.salary always on time time,"1.No specific office time, it depend on the project manager.
2.work assigned on weekends
3.blame game.",Show more,,,,,,,,,
4,03-Oct-24,Working as Contracts Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91579120.htm,Contracts manager,"Current employee, more than 1 year",,,Visakhapatnam,"Additional perks over and above CTC are:
1. House rent
2. Domiciliary medical expenses (as per actual with no limit)
3. Petrol expenses
4. Mobile & Broadband bill
5. On time salary","No work life balance, bad managers means bad appraisal",Show more,,,,,,,,,
5,07-Oct-24,Work life style at l&t,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91680495.htm,Project engineer,"Current employee, more than 5 years",Employee benefits are good at higher levels and job security.,COMPENSATION is low for domestic site Deputation,Vadodara,,,,,,,,,,,,
4,29-Sep-24,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91465176.htm,Assistant manager,"Former employee, more than 3 years","Well-respected name in engineering and construction, with a strong legacy and a track record of successful projects.",It depends a lot on the reporting Manager. It is very difficult to get noticed by the senior management.,,,,,,,,,,,,,
2,22-Sep-24,Working at Larsen & Toubro,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91249202.htm,Manager,"Former employee, more than 10 years",,,Vadodara,"The job is quite stable
you get numerous roles and opportunities to learn.","High possibility that you might end up loosing your worklife balance.
Pay are lesser compared to peers operating in same industry",Show more,,,,,,,,,
3,06-Oct-24,Jobs,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91663698.htm,Engineer,"Current employee, more than 1 year",,,"Pimpri, Maharashtra",Best work place to work in,No any downstream for work here,Show more,,,,,,,,,
3,06-Oct-24,Ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91664168.htm,Pget (post graduate engineer trainee),Former employee,nice aim higher all the best,Not nice could be better or not,Navi Mumbai,,,,,,,,,,,,
4,05-Oct-24,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91646467.htm,Process engineer,"Former employee, more than 3 years",,,Mumbai,Good job security. Great medical benefits,"Saturday working.
Must complete 5 yrs to get the retainer bonus",Show more,,,,,,,,,
5,02-Oct-24,Consistencies of Quality production,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91540984.htm,Mechanical engineer,Current employee,,,Mumbai,Produce best quality product and my aim is to join your part,I can't see any downsides of the working at L&T,Show more,,,,,,,,,
3,08-Sep-24,Employee joining L&T Ltd ( Construction) in mid level management position,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW90819642.htm,Dgm - operations,"Former contractor, more than 1 year",,,Surat,Good salary & trainings for personal & professional development,Poor work life balance & extended working hours & bureaucratic culture . Not good for Middle level employee those are coming via lateral entry. No welcome & support.,Show more,,,,,,,,,
4,04-Oct-24,Nice company,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91618628.htm,Electrical designer,"Former employee, more than 3 years","Best benefits available, food and snacks provided","Promotion take time, not flexible timings",Chennai,,,,,,,,,,,,
3,26-Sep-24,L&T-A place for passionate and hard working engineers,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91367861.htm,Project trainee,"Former intern, less than 1 year",,,Hyderābād,"1. You get the accommodation and travel provided by the company.
2. There's no bossism.
3. Freedom for work.","1. Long hours of work (12 hours/day) and 6 days a week.
2. Less payment for the work done.",Show more,,,,,,,,,
4,03-Oct-24,Policies,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91612839.htm,Senior software engineer,"Current employee, less than 1 year",Policies are good for long run,No such things get noticed so far.,Noida,,,,,,,,,,,,
5,04-Oct-24,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91619301.htm,Web developer,Current intern,Very Good environment In company,Cons are that time taken in transportation,Surat,,,,,,,,,,,,
5,16-Sep-24,Amazing experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91045988.htm,Intern,"Former intern, less than 1 year",,,Mysore,I had an opportunity to work as an intern in L&T . We worked on a project based on mySQL. It gave us an idea about how API’s work and also we learnt front end and dbms based in that project,Our manager was not that helpful. But he gave us enough deadline to complete the project.,Show more,,,,,,,,,
4,03-Oct-24,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91579665.htm,Site execution engineer,"Former employee, more than 1 year",High Salary and Minimum Basic pay,Very less time for self belief and self relaxation,Bārmer,,,,,,,,,,,,
4,03-Oct-24,Great Learning Environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91607449.htm,Data engineer,Former employee,,,Bengaluru,"Diverse Project Opportunities
Learning & Development","Work-Life Balance
Compensation
Pressure & Deadlines",Show more,,,,,,,,,
2,30-Sep-24,Good experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91501924.htm,Graduate engineer trainee,"Former employee, less than 1 year",Well-known engineering organization to work for.,"Work stress, Working conditions on site and 6 days work week are the major downsides.",Bengaluru,,,,,,,,,,,,
2,21-May-24,Not worth going in,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW87515626.htm,Senior design engineer,"Former employee, more than 1 year",,,Chennai,"1) Food. They charge Rs.300 for lunch (South Indian full meals/north Indian thali/diet food) for 1 month. This amount will be deducted from your salary.
2) Brand value","1) Only punch in time. No punch-out time. So definitely you have to work extra hours. Even though you complete your work leaving on time will be a dream. 
2) 6 working days per week, 2nd and 4th Saturday holiday. Expected to work on even during festivals/holidays to support projects. 
3) Culture feels like working in an old government office, surrounded by drawing sheets and papers. 
4) No coffee machine/pantry. They have fixed timings at 11 am and 4 pm when coffee/tea will be provided. In the pantry, there will be seating options.
5) Managers have no empathy towards the team members and treat the team so badly and verbal abuse. same is taught to the team leaders and so the full team becomes a nightmare to work with.
6) 30minutes lunch time seems so less and lunch timings & snacks timings have to be strictly followed. If you are late then food will not be available. 
7) Feels like you are always on a run, you will be exhausted. 
8) I would not recommend this place for younger generations with an international work culture. Because you cannot tolerate when people scolding/screaming at you and constant comparison of you with your team members.",Show more,,,,,,,,,
5,02-Oct-24,Structural engineering,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91550509.htm,Structural engineer,"Current employee, more than 1 year","Experienced employees, personal growth, different work","Timing, salary, deadlines, bonus, perks",Vadodara,,,,,,,,,,,,
5,29-Sep-24,Days at L&T,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91451384.htm,Intern,"Former intern, less than 1 year",,,Mumbai,Excellent work culture and very helpful managers,No good food at cafeteria and also very hard to commute,Show more,,,,,,,,,
5,01-Oct-24,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91519607.htm,Operation executive,"Current employee, more than 1 year",Good company good work culture,No cons as such here,Mysore,,,,,,,,,,,,
3,29-Sep-24,Review on L&T,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91456723.htm,Assst manager,"Current employee, more than 10 years","Timely salary, employee benefits, medical insurance. Training and development","Excessive pressure from bosses, extreme work load.",Chennai,,,,,,,,,,,,
4,25-Sep-24,Good company to start as a fresher,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91327659.htm,Operations engineer,"Current employee, more than 5 years",,,Navi Mumbai,"Can get good experience on technologies.
Good work culture.
Good facilities and amenities.",Not much salary growth and hike.,Show more,,,,,,,,,
3,26-Sep-24,"Good Work place for women employees ,freshers and experienced people",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91380112.htm,Assistant manager,"Current employee, more than 3 years",,,Chennai,"Learning in multiple discipline
People management
women favored organisation","not so great salary hike
odd saturday working day
more locations in northern part of India",Show more,,,,,,,,,
4,26-Sep-24,Good Place to start a career,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91381511.htm,Software test engineer,"Former employee, more than 1 year",Good learning curve get to learn a lot about insurance terminology,No cons can be specified as of now,Pune,,,,,,,,,,,,
5,01-Oct-24,Planner,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91512676.htm,Planner,"Current employee, more than 5 years",Grt amezed learning opportunity support,Work life balance compensation politis,Calcutta,,,,,,,,,,,,
5,26-Sep-24,Ideal company for Beginers,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91369076.htm,Manager,"Current employee, more than 8 years",,,Mumbai,You will get a good platform to learn and grow,None as of now to report,Show more,,,,,,,,,
4,29-Sep-24,Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91453891.htm,Jt general manager,"Current employee, more than 10 years",Learning environment and excellent growth opportunities,Minimal work life balance for staff,Hazira,,,,,,,,,,,,
3,19-Aug-24,Contract Employees needs to be treated well,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW90224177.htm,Hr assistant,"Former contractor, more than 1 year",,,Mumbai,"1) Will get experience to work with higher management on skill sets.
2) For freshers contract role will take longer period to fulfill your dreams for OnRoll","1) Contract employees are not getting benefits and exposure to explore functions, implementations of ideas, process understandings which lacks in stakeholder relationship.
2) Benefits are less as compare to Full Time Employees but the workload will be more for Contract Employees.",Show more,,,,,,,,,
3,29-Sep-24,engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91466687.htm,Engineer,Former employee,no pros only cons were there,so many can not be defined,New Delhi,,,,,,,,,,,,
2,27-Sep-24,Senior Engineer at Larsen & Toubro,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91429413.htm,Senior engineer,"Current employee, more than 3 years",,,Calcutta,"Good exposure in projects
Lots of learning","No flexibility in working hours
High work load",Show more,,,,,,,,,
5,27-Aug-24,A Premier Destination in the Construction Industry,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW90482315.htm,Construction manager,"Current employee, more than 8 years",,,New Delhi,"Larsen & Toubro stands out as a top employer in the construction industry, known for its fair processes and timely salary disbursements. The company’s commitment to professional growth is exceptional, offering financial support and encouragement for continued education. This focus on development ensures that employees can thrive and advance at every level within the organization.","While Larsen & Toubro excels in many areas, the pace of decision-making can sometimes feel slower due to the company's large scale and complex processes.",Show more,,,,,,,,,
4,28-Sep-24,good services,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91431847.htm,Inetern,"Current intern, less than 1 year",various benefits offered such as stay and food,long working hours with no flexibility,Kānchipuram,,,,,,,,,,,,
3,20-Sep-24,Overall it's ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91184726.htm,Construction manager,"Current employee, more than 8 years",,,Pune,"Freedom, New learning everyday, Scope of self development, Raw experience, Managerial skills","No work life balance, Salary is on lower side wrt similar kind of organisation",Show more,,,,,,,,,
3,28-Sep-24,Good for stable job,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91431864.htm,Process engineer,"Current contractor, more than 1 year","Every time project, good for learning","Less salary, India hr culture",Vadodara,,,,,,,,,,,,
4,26-Sep-24,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91387067.htm,Anonymous employee,"Current employee, less than 1 year",Knowledge where you can swim,"Hierarchy issue, location disadvantage, compensation not upto mark. Too much retention.",Vadodara,,,,,,,,,,,,
5,18-Sep-24,Opportunities,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91131324.htm,Assistant general manager,"Current employee, more than 10 years",,,Surat,Learning opportunity are great and inital phase of career responsibility is given which shapes once career fast,Work life balance need to be improved,Show more,,,,,,,,,
3,26-Sep-24,L&T Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91383737.htm,Senior civil engineer,"Former employee, more than 3 years",Great employee benefits and policies,"No work-life balance, slow career growth, remote location,",Guwahati,,,,,,,,,,,,
4,24-Sep-24,just ok ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91327326.htm,Engineer,Current employee,good for managers level not below peoples.,for junior salary is not good.,Bengaluru,,,,,,,,,,,,
4,25-Sep-24,L&T Hydrocarbons,https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91365687.htm,Process engineer,Current employee,Good Company for process engineering aspirants,No cons as such overall.,Vadodara,,,,,,,,,,,,
2,22-Sep-24,"Geo Data management, Mapping, Interpretation, Quality Check",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91233159.htm,Geoscience engineer,"Former employee, more than 3 years",A good politics experience at work place,"Too much politics in the project and within the company, partiality, manipulation.",Vadodara,,,,,,,,,,,,
3,18-Sep-24,"Good Project experience, no work-life balance",https://www.glassdoor.co.in/Reviews/Employee-Review-Larsen-and-Toubro-RVW91131684.htm,Software engineer(internship),Former intern,"Ownership of your own project, good managers, office location is great","6 day work weeks, not a good work-life balance, work culture is not very progressive",Vadodara,,,,,,,,,,,,
