"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"2.0","18 Apr 2023","Deputy manager supply planning","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW75624503.htm","Deputy manager","Former employee","Ahmedabad","","","","NA, salary on time, Food","Work culture, bad work ethics"
"4.0","10 Apr 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW75340164.htm","Manager","Current employee","","","","","Leading manufacturer of API & drug products","Consistent focus on business and development"
"4.0","29 Mar 2023","Nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW74986498.htm","Apprentice","Current freelancer, less than 1 year","Navi Mumbai","","","","Opportunity to learn new skills","Contract work, shift work so sometime not given preference to lady"
"2.0","14 Aug 2022","Environment is not suitable for well qualified and skilled staff","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW67908613.htm","Manager taxation","Current employee, more than 1 year","Ahmedabad","The company and Top Management is focused on employee welfare.","The under-qualified senior management who have gained big positions do not let better qualified and more capable persons to perform

Highly politically ill-motivated working environment for you if you are skilled in your work area. Senior management (immediate bosses) deliberately frame you for the responsibilities which were never a part of your work profile so that their position stays secured and not challenged by better qualified staff.","Show more","",""
"3.0","30 Jan 2023","Ok to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW73146353.htm","Deputy group manager","Current employee, more than 1 year","Mumbai","Learning is great if you are in a good business unit.","Unorganised working style and every weekend is working.","Show more","",""
"5.0","9 Mar 2023","overall review","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW74341313.htm","Sr.executive - qc","Former employee","North Goa","","","","nice company good nature system is good","bad food other things are good"
"5.0","24 Jan 2023","DQA department","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW72935041.htm","Manager","Current employee, more than 8 years","Ahmedabad","One of the best indian pharma company","Very far from city. Not giving work from home","Show more","",""
"4.0","8 Feb 2023","Work culture is very good at zydus","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW73439361.htm","Associate manager","Current employee, more than 8 years","Ahmedabad","comparitive salary, oppertunity to grow, ZTMP policy","take very long time to promote employees.","Show more","",""
"4.0","7 Mar 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW74276913.htm","Quality control","Former intern, less than 1 year","Ahmedabad","","","","good learning and training .","Location and working hours and travelling"
"4.0","11 Feb 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW73545765.htm","Reserch scientist","Current employee, more than 10 years","Ahmedabad","Good Growing company, employee friendly company","person dependent culture, need to harmonize centralize culture not dependent on any person individual.","Show more","",""
"5.0","28 Jan 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW73091136.htm","Tmr","Current employee","","Good management ,good environment . Good working environment","Nothing, no cons, I felt this is the best company","Show more","",""
"3.0","20 Feb 2023","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW73817432.htm","Anonymous employee","Former employee","Ahmedabad","","","","Good work culture and environment","No growth and hike much"
"1.0","15 Mar 2023","Worst work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW74530937.htm","Operations supervisor","Current employee, less than 1 year","Ahmedabad","Good system of manufacturing and management.","Worst work culture and always over burden to do overtime.","Show more","",""
"4.0","25 Jan 2023","Overall good organization to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Zydus-Lifesciences-RVW73004638.htm","Dgm sourcing","Current employee","Ahmedabad","","","","Organisation is , innovative and diverse","All weekends are not off"
