"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","16 Apr 2023","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75540022.htm","Senior associate","Current employee","Gurgaon, Haryana","Good company in terms of experience and visibility","not much in terms of perks. only provide salary","","",""
"1.0","13 Mar 2023","Very worst culture. No work life balance If you are in logistics","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74461343.htm","Area lead","Current employee, less than 1 year","","","","There are no pros that I can think","No work life balance if you are in logistics Nobody here supports or trains you properly Some managers don't have the audacity to speak or behave properly with thier reportees","Show more"
"3.0","28 Apr 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75953226.htm","Spm consultant","Current employee, more than 1 year","Gurgaon, Haryana","Good can work here not bad","Toxic very toxic people everywhere","","",""
"4.0","31 Mar 2023","It's a right place for growth and development","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75064948.htm","Software engineer(internship)","Former intern, less than 1 year","Gurgaon, Haryana","- Best Minds are around you - Friendly and professional people","- Long working hours - Less leaves","","",""
"5.0","18 Apr 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75611459.htm","Category associate","Current employee, more than 1 year","Pune","Work culture is good in this org","No cons as per my knowledge","","",""
"4.0","25 Apr 2023","Cool","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75812802.htm","Growth advisor","Current employee, less than 1 year","Gurgaon, Haryana","Nice environment and nice people","No cons found everything is nice","","",""
"3.0","25 Apr 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75846493.htm","Anonymous employee","Current employee","","Zomato is a good company","Nothing I would like to share","","",""
"4.0","9 Apr 2023","My work life at Zomato","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75319724.htm","Anonymous temporary employee","Former temporary employee","Bengaluru","Had some good time and earned some experience","Nothing much as cons to be suggested","","",""
"4.0","12 Apr 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75445903.htm","Finance","Former employee","Gurgaon, Haryana","","","Good management to work with","They laid off the old employees.","Show more"
"3.0","24 Mar 2023","Nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74842955.htm","Growth manager","Current employee","Bengaluru","","","You get to learn a lot","Work life balance is skewed","Show more"
"3.0","21 Mar 2023","Overall experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74755391.htm","Team lead","Current employee, more than 1 year","Gurgaon, Haryana","- Great Work Culture - Time Flixiblity - Competitive salary - Lots and lots of Learning","- Company should have a parity in the salary of their employees","","",""
"4.0","17 Apr 2023","Zomato","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75554001.htm","Medical scribe","Former employee","","Medical benifits are available for delivery partners","Increase earnings so we can earn better","","",""
"4.0","31 Mar 2023","Zomato is food delivery company in india","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75081881.htm","Pizza delivery driver","Former employee","","I word as a delivery partner in zomato since 4 years","Not earning much 12hrs working hours","","",""
"4.0","9 Apr 2023","Feels like a Startup","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75321386.htm","Product analyst","Current employee, less than 1 year","Gurgaon, Haryana","Work is exciting and challenging","Like a startup - job security is an iffy topic","","",""
"5.0","20 Apr 2023","good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75692484.htm","Anonymous employee","Current employee","Vadodara","great job and going good","i can't see growing myself","","",""
"5.0","11 Apr 2023","Support agent","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75395033.htm","Support agent","Current employee, less than 1 year","Lucknow","","","Because I trust lots on zomato.","Thee is no any problem.","Show more"
"4.0","13 Apr 2023","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75451991.htm","Quality analyst associate","Current employee, less than 1 year","Gurgaon, Haryana","Provide fair compensation and exposure","Hectic work environment, Wfh is also hectic","","",""
"5.0","13 Apr 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75454563.htm","Team lead","Former employee, less than 1 year","Mumbai","","","supperb and happy culture to work","more work pressure and target","Show more"
"5.0","12 Jan 2023","Mehmoodul Hasan khan","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW72550300.htm","Bike delivery boy","Current employee","Mumbai","","","The advantage of working in Zomato is that you can work anytime, there is no duty issue in it.","The disadvantages of working in Zomato are that if you park your car outside the restaurant or at the customer's location, then the car gets damaged, but Zomato doesn't give it.","Show more"
"4.0","5 Apr 2023","Great workplace to be","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75237850.htm","Zonal head","Current employee, more than 3 years","Hyderābād","Friendly atmosphere and independent rescission making","There are some in due pressures some days","","",""
"2.0","18 Apr 2023","Not Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75610311.htm","Operations associate","Former employee","Bengaluru","Internal team and coordination is good","Cross functional support is pathetic","","",""
"5.0","13 Mar 2023","Once a zoman always a zoman","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74450120.htm","Human resources manager","Former employee, more than 8 years","Gurgaon, Haryana","","","Great growth trajectory, open to new ideas, very accepting culture","Need to work from a more long term perspective","Show more"
"5.0","6 Apr 2023","Free to explore ideas","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75243699.htm","Campus ambassador","Former intern, less than 1 year","Coimbatore","Employee empowerment No pressure Creative","Not much transparency in the hierarchy","","",""
"5.0","12 Apr 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75439616.htm","Anonymous employee","Current employee","","Timely payments and good responsibility","Low payout and heavy work","","",""
"3.0","30 Mar 2023","Very good learning platform","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75041394.htm","Senior fleet manager","Current employee","Coimbatore","","","Zomato is very good learning platform","Very good learning platform and less career growth","Show more"
"2.0","10 Apr 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75365497.htm","Anonymous employee","Current employee, more than 1 year","Nellore","","","Good Nice Enjoy Flexible Work","Salary Less Less paid Payout Less orders","Show more"
"3.0","13 Apr 2023","Poor","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75456521.htm","Project manager","Current employee","","Weekend off and good office","Very hectic and very strict","","",""
"4.0","26 Mar 2023","National Key Accounts","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74903738.htm","Key account manager","Current employee","Gurgaon, Haryana","Good Learning working with top brands","Nothing as such apart from the obvious - always hustling","","",""
"1.0","9 Apr 2023","No Work Life Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75318036.htm","Software development engineer (sde) ii","Current employee, more than 5 years","Gurgaon, Haryana","","","No Pros. No Perks either.","The management will force you to work through the night and even on weekends. You may end up working 10-12 hours at least for months of large projects.","Show more"
"5.0","5 Apr 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75225719.htm","Global growth manager","Current employee","Gurgaon, Haryana","- Opportunity and independence is great","- None really is there","","",""
"4.0","28 Mar 2023","Jetpack","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74953207.htm","Key accounts manager","Current employee, more than 1 year","Hyderābād","1. Work Culture 2. Learning 3. Experiences 4. Opportunities","Not a great fit for long term growth","","",""
"5.0","4 Apr 2023","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75204698.htm","Bike delivery boy","Current employee","","best company for indian's people jobs","best company for jobless workers","","",""
"4.0","11 Mar 2023","Great company to grow your skillset","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74417465.htm","Account manager","Current employee, more than 3 years","Chennai","","","-Culture is good -You get to learn a lot","-Can be stressful -Have to hustle throughout","Show more"
"3.0","1 Mar 2023","Honest review","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74088664.htm","Growth manager","Current employee, more than 1 year","Hyderābād","","","You will get a chance to understand different business verticals and this will help you to expand your industry knowledge.","Work gets hectic and monotonous after a point of time.","Show more"
"5.0","29 Mar 2023","Senior Video Editor","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW75000710.htm","Senior video editor","Former employee, more than 3 years","Gurgaon, Haryana","Absolutely amazing place to work","Enjoyed Every bit while worked with Zomato","","",""
"4.0","30 Jan 2023","Wanna work at Zomato ?","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW73137202.htm","Sr. software developer/analyst","Current employee, less than 1 year","Gurgaon, Haryana","","","Learnings Startup Culture Flexible Hours Hr Policies Good Salary Access to Free Gym and trainers Starting career will shine here","More Work Pressure No Work life balance Deployments go at nights after 1 PM Not suitable for married people Politics","Show more"
"5.0","2 Mar 2023","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-Zomato-RVW74143700.htm","City growth manager","Current employee","New Delhi","Employee friendly You will get to learn on daily basis","There is no cons, but there are few managers who are taking up things on their ego.","","",""
