"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","8 Feb 2022","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW59316569.htm","Executive","Former employee, more than 1 year","","Employee benefits are very good","Don’t provide cabs to routine employees","","",""
"5.0","17 Jan 2022","Nil","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW58058505.htm","Security officer","Former employee","Chennai","Best place to work awarded in the year 2018 and 2019","Irregular shift pattern, loads of pressure during IROP situation","","",""
"5.0","26 Oct 2021","Great airline to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW54510823.htm","Security professional","Former employee","Cochin","","","Wide learning environment and advanced training","Salary pay is very low even compaired to other low budget airlines","Show more"
"2.0","9 Dec 2021","One of worst employers in Aviation","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56483724.htm","Cargo officer","Current employee, less than 1 year","New Delhi","","","Just you are working with brand nothing else","NO LUNCH BREAK
NO WORK LIFE BALANCE
LOW SALARIES
BAD MANAGMENT
NO FACILITIES FOR EMPLOYEE 
YOU HAVE TO DO 5 MEN WORK OWN YOUR OWN
IT IS ONLY CUSTOMER CENTRIC COMPANY NOR EMPLOYEE  CENTEIC","Show more"
"2.0","12 Sept 2021","Nice company but yet do pay way less as compared to the hardwork demanded at work.","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW52428499.htm","Customer service officer","Current employee, more than 1 year","Mumbai","Is very good with all cultural activities among all the employees thats very chill to work.","Very hectic day on operations that is at the airport where the pay is yet not justified","","",""
"5.0","6 Dec 2021","Airport Operations & Customer Service","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56288406.htm","Executive security","Former employee, more than 3 years","Mumbai","","","Staff travel 
only pay taxes and travel 
salary paid on time
professionalism","depends on person to person","Show more"
"4.0","30 Nov 2021","Good for perks and Salary but not culture wise","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56069389.htm","Anonymous employee","Former employee, more than 3 years","Gurgaon, Haryana","","","Salary is amazing
Perks are great like free flights and all leaves","Growth depends on senior only 
No Culture","Show more"
"5.0","6 Dec 2021","Store incharge, Airport operations, Catering Services, team handling, customer services","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56299636.htm","Assistant manager","Former employee, more than 10 years","New Delhi","","","Explore my skills, Good working environment, motivation.","Did Not found anything nagative.","Show more"
"4.0","26 Sept 2021","A good company to build or start your aviation carrier","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW53128002.htm","Executive security","Current employee, more than 3 years","Cochin","","","It's a leading company in Indian aviation industry..comparitively a good salary","Heavy work load...No increment in last 3 years","Show more"
"3.0","19 Dec 2021","It was great experience to work with airline.","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56884735.htm","Executive security","Former employee, more than 1 year","","I was excited to work daily because I used to meet different different people","and working there wasn't easy because I faced so many challenges.","","",""
"4.0","4 Dec 2021","Airport operations","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56214368.htm","Airport operations and customer services","Current employee, more than 5 years","Hyderābād","","","Nice work place
Staff travel
Convenient week off
On time salary
On time bonus","Salary is less
Shift timings too bad
No increments
No promotions
No Recognition as per work.","Show more"
"4.0","14 Dec 2021","Indigo IT","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56655488.htm","Executive it","Current employee, more than 3 years","","","","Work balance at the information technology department. Travelling allowance and staff Traver advantage.","Low increment. Less Carrier opportunity.","Show more"
"4.0","11 Jan 2022","Airport operations and customer service","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW57766520.htm","Airport ground staff","Current employee, less than 1 year","Bengaluru","","","Very productive 
On time service to customers 
Unlimited travel in Discounted fair price for family","There is Weekly Shift change .
Working 10h a day","Show more"
"4.0","21 Dec 2021","Its been 10 years with indigo as a senior executive security airport operation and customer service","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56938379.htm","Senior executive operations","Current employee, more than 8 years","New Delhi","Career growth , improvement in skills","Staying away from a family","","",""
"3.0","28 Sept 2021","Good Work - Life Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW53248874.htm","Corporate sales executive","Former employee, more than 3 years","","","","Free Tickets to All Employees and Family Members Unlimited","Salaries are not good as employees deserve","Show more"
"3.0","15 Jan 2022","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW57968766.htm","Anonymous employee","Current employee, more than 5 years","Gurgaon, Haryana","Good work environment, friendly colleagues","No salary band width, For ex. one AM is getting 7 lakh and one AM is getting 20 Lakh","","",""
"4.0","25 Nov 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW55867254.htm","Senior executive","Current employee, more than 3 years","Chennai","","","good very good very very good","nice place very very nice","Show more"
"3.0","3 Dec 2021","Good for newcomers","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW56183686.htm","Cargo executive","Current employee","Jaipur, Rajasthan","Good place to learn Air Cargo operations (Domestic and international as well)","Limited chances of growths , limited salary hike.","","",""
"3.0","25 Sept 2021","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW53097186.htm","Aviation security officer","Current employee, more than 8 years","Mumbai","","","2 week off , leaves are approved, flight tickets.","Need to work in all Shift timings","Show more"
"5.0","23 Oct 2021","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW54381905.htm","Senior manager","Current employee, more than 8 years","","","","Ontime salary, home like work environment","Nothing nothing nothing nothing nothing","Show more"
"3.0","15 Nov 2021","Operation and Ramp","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW55368546.htm","Executive cargo operations","Former employee, more than 3 years","New Delhi","","","Many things to learn for the beginners","Lengthy Over times and Very little break","Show more"
"5.0","24 Dec 2021","Career","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW57063954.htm","Anonymous employee","Current employee","","","","Friendly to work and gaining knowledge","Can't explore the world here","Show more"
"4.0","2 Oct 2021","Airport Operations","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW53416524.htm","Security officer","Former employee, less than 1 year","Bengaluru","The company was good, staff were very friendly","The profile is not suitable for engineers","","",""
"4.0","1 Sept 2021","Ramp coordinator","https://www.glassdoor.co.in/Reviews/Employee-Review-Interglobe-Aviation-RVW51943406.htm","Customer service officer","Current employee, more than 1 year","","Over all it was good place to work","Except the shift rest all ok","","",""
