"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"2.0","30 Nov 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW38874975.htm","Inbound voice process","Former employee, less than 1 year","Navi Mumbai","It is good if you are sales enthusiastic","Targets will be on your head.","Show more","",""
"3.0","23 Dec 2020","Underwriting","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW39768010.htm","Customer service","Current employee, less than 1 year","Mumbai","","","","Ample Learning opportunity of the Product and Market","Maintaining Work Life balance is a challenge"
"4.0","24 Jan 2021","USM","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW41321347.htm","Unit sales manager","Current employee, less than 1 year","Mumbai","None for now. All fine","Benefits could be the con but nothing else","Show more","",""
"4.0","9 Feb 2021","Relationship manager","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW42233042.htm","Relationship manager","Current employee","Indore","","","","Good to work in an organisation.","Okay for compensation and not so good"
"3.0","10 Feb 2021","Good for 1 year","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW42268475.htm","Associate consultant","Current employee, less than 1 year","Bengaluru","","","","Good Experience and working environment","Not much to learn and Low Salary"
"5.0","8 Feb 2021","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW42141220.htm","Product manager","Current employee, more than 3 years","Mumbai","","","","Good culture and employee centric company","No work life balance and large hierarchy"
"5.0","13 Feb 2021","Greate Company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW42433481.htm","Unit sales manager","Current employee, more than 1 year","Indore","Best to work with Advance Technology","Nothing in terms of Cons.","Show more","",""
"5.0","16 Feb 2021","Good Managers","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW42553744.htm","Manager technology","Current employee, less than 1 year","Mumbai","","","","Great Place to work, good colleagues.","No cons as such, works great."
"4.0","17 Mar 2021","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW44120438.htm","Intern","Current employee","Gurgaon, Haryana","","","","Good environment, space to grow professionally","Till now had good experience so can't tell"
"4.0","3 May 2021","Great to work","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW46412407.htm","Unit sales manager","Former employee, less than 1 year","Indore","","","","Good work culture and friendly environment","Sometimes need to handle high pressure"
"3.0","2 Jun 2021","Supportive leadership","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW47784693.htm","Anonymous employee","Former employee, more than 1 year","","Supportive leadership and managers
Wonderful learning opportunity","Cumbersome internal processes and some bad HR policies","Show more","",""
"3.0","4 Jun 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW47903530.htm","Manager","Current employee, more than 3 years","Mumbai","","","","Great Learning and experiences, good HR practices","working hours are long and can be exhausting"
"3.0","15 Jul 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW49809241.htm","Manager","Former employee, more than 3 years","Hyderābād","Good company to work with, lot of learning","Long hours and number pressure","Show more","",""
"4.0","16 Aug 2021","Agreessive in target","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW51179925.htm","Anonymous employee","Current employee","Hazaribagh","Excellent in motor business overall","Long working hour is tiring","Show more","",""
"3.0","31 Aug 2021","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW51884393.htm","Customer service manager (csm)","Former employee, more than 1 year","Vapi","Freedom to work from any location","Have not come across anything like that.","Show more","",""
"3.0","20 Sept 2021","Not worth it","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW52789342.htm","Product manager","Current employee","Pune","","","","HR policies are good. The pay is good.","The structure is very saturated."
"1.0","22 Sept 2021","Toxic work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW52945414.htm","Product manager","Current employee, less than 1 year","","There are no Pros of working in this company","Toxic work culture. No professionalism, no respect of peers  and extreme workload. No process of training","Show more","",""
"3.0","4 Oct 2021","Good company to work but","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Lombard-General-Insurance-Company-Limited-RVW53473766.htm","Unit sales manager","Current employee, more than 1 year","Mumbai","Great learning
Easy process through app","your boss is not that supportive","Show more","",""
