"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"5.0","26 Aug 2012","best life insurance company in india","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW1886374.htm","Agent","Former employee, more than 5 years","New Delhi","best life insurance company in india","some employees work as govt employees","Show more","",""
"5.0","9 Mar 2013","L.I.C. of India","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW2444090.htm","Life insurance advisor","Current employee, more than 1 year","Ambāla","For the securance of my future","I did not found any down sides","Show more","",""
"2.0","20 Apr 2013","I work is EDMS Docket Seerealling,Incrimental Data Entry,Docket serialling,Office Computer Progrms know.","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW2578380.htm","Sub staff","Current employee, more than 3 years","Itanagar, Arunachal Pradesh","","","","Loan Surrender Booking & Loan Docket Serrailling.Customer Advice.","Comeeson voucher serrialling.NB New docket serrialling"
"5.0","21 Apr 2013","my life........................","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW2581098.htm","Insurance consultant","Current employee, more than 10 years","Trichy","i am the boss and i am the employee","nothing to say....everything is good","Show more","",""
"3.0","11 Oct 2013","great brand for selling but no talent recognisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW3171562.htm","Financial advisor","Current employee, more than 3 years","Pune","Easier to sell policies, great brand name","leadership not aware of innovation, new changes in industry","Show more","",""
"4.0","6 Feb 2016","Join it, ASAP","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW9476472.htm","Development officer","Current employee, less than 1 year","Pandharpur","","","","Biggest organization to work with, you are working for building nation","little work pressure and slow growth"
"5.0","3 Feb 2017","LIC","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW13616017.htm","Anonymous employee","Current employee","","Organized Trade Union is the strength","Insensitive management is the weakness","Show more","",""
"5.0","20 Aug 2017","Divisional Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW16441797.htm","Divisional manager","Former employee, less than 1 year","New Delhi","Excellent employee benefits and healthy atmosphere in the company","Insurance sector not in a boom in the country","Show more","",""
"3.0","22 Nov 2018","Probationary Development Officer","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW23527926.htm","Pdo","Former employee, more than 1 year","Coimbatore","Good salary structure.
Good working environment.","Insurance industry market is very difficult to survive for fresh people.","Show more","",""
"4.0","27 Nov 2018",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW23586895.htm","Development officer","Current employee, more than 5 years","Bhiwandi","Insurance giant, freedom, being government organisation there is no corruption like other government organisations","Lacks on ideas and modernization","Show more","",""
"5.0","10 May 2019","Agency","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW26073493.htm","Marketing","Current employee, more than 10 years","New Delhi","Customer  base data large. Need to customer Lic policy.","Many different Pvt company inter in india","Show more","",""
"4.0","3 Feb 2020","Settled life","https://www.glassdoor.co.in/Reviews/Employee-Review-Life-Insurance-Corporation-of-India-RVW31665242.htm","Lic assistant","Current employee, less than 1 year","Mysore","Good working environment
Less stressfull life
Can get more time with family","There is lot of union here
Promotions are slower","Show more","",""
