"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"3.0","25 Aug 2021","Review of Internship at Grasim Industries","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW51623628.htm","Summer intern","Former intern, less than 1 year","","- Quality personalized mentorship
- Opportunity to work in a large-scale company
- Making impactful and informative decisions","The work can get mundane and repetitive.","Show more","",""
"4.0","25 Aug 2017","Instrumentation engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW16523404.htm","Instrumentation and controls engineer","Current employee, more than 1 year","Bharūch","Best in popular industries.Good management","Not good increment. increase work and life balance","Show more","",""
"3.0","13 Jun 2019","A place to be once","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW27279239.htm","Anonymous employee","Current employee","","Job security, brand value, good policies in place","polices are not executed, office politics, lack of transparency","Show more","",""
"5.0","21 Jul 2019","Grasim was client and  I was work in Jacobs.","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW28157319.htm","Piping designer","Former contractor, less than 1 year","Mumbai","Unparalleled employee. 
""Genius"" co-workers.
Smart work.","Not flexible time.
Increased ability to recruit outstanding employees.","Show more","",""
"5.0","30 Sept 2020","Viscose Process Calculations","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW36523701.htm","Viscose process calculations","Former employee, more than 8 years","Pilani","virtual experience, management, leadership ,documentation, team work,using microsoft.","network , communication issue,not benificial,virtual industry tour,not gained any extra skills","Show more","",""
"1.0","9 Jul 2014","Equal to Hell","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW4546064.htm","Tlp","Former employee, less than 1 year","Nagda","Nothing to describe good about this company other than Training session of  15 days","No company Value, No Time Limit, No Perks, No Hike In salary, No health security as you have to deal with CS2 gases. it will effect your marriage life.","Show more","",""
"4.0","7 Apr 2016","Great place to Work and learn","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW10186692.htm","Electrical and instruments engineer","Former employee","Harihar","","","","Great advisors in terms of technology.","Grasim is located in remote areas, you should know the local language to survive."
"4.0","22 Nov 2017","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW18031175.htm","Anonymous employee","Current employee","","Good Work Culture, Workmen Are Good , Good work Atmosphere","Good Management , Good People Around All an All Good work Culture","Show more","",""
"4.0","5 Jun 2019","Was allotted very good projects.","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW26500230.htm","Anonymous intern","Former intern","","Free to share ideas.
Free to choose projects
Helpful mentors","I was at a plant, so you have follow a disciplined life there.","Show more","",""
"4.0","11 Dec 2019","Worked as an intern for 2 months","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW30808860.htm","Anonymous intern","Former intern, less than 1 year","","","","","Good projects to work on. Highly skilled and knowledgeable employees.","Less pay at start. Plant atmosphere is not good."
"4.0","17 Dec 2020","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW39587446.htm","Anonymous intern","Former intern","Nagda","good company to work as in intern for","no cons are there in the company","Show more","",""
"4.0","30 May 2021","Job Security","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW47654532.htm","Department head","Current employee, more than 3 years","Nagda","Facilities, Location, Excellent Leadership need to maintain cooperation","High influence of political leaders, opinion makers and Press Reporter","Show more","",""
"4.0","21 Sept 2021","Project lead Electrical","https://www.glassdoor.co.in/Reviews/Employee-Review-Grasim-Industries-RVW52868880.htm","Team lead electrical","Current employee, more than 3 years","Rehlā Kalān","Good working condition
Timings are good","Successor planning
Higher the post better the perks in colony 
Colony rules changes as per position","Show more","",""
