"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","29 Jul 2022","My workex","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW67301049.htm","Circle head","Current employee","","","","The company takes good care of employees, is quite proactive about employee welfare and business technology, Has become aggressive on sales and is the no 1 private insurance company.","The salaries for internally promoted employees are very low","Show more"
"5.0","11 Mar 2022","Sales = Money","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW61013770.htm","Assistant sales manager","Former employee, less than 1 year","Chennai","","","Hi , if you want to earn money and Money is your only motive 
Sales is the right job for you
 
Aggressive job

Targets Targets Targets that's it ...

If you want a comfy cosy job then sales is not your cup of tea

Your work rate=Hardwork=Attitude=Money","I worked in Sales so nothing much to complain

I bring/do business to the company 
I get salary plus incentives

If not only salary then eventually you will quit by own if you're doing the needful","Show more"
"4.0","26 Oct 2022","Overall Good Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70509051.htm","Corporate agency manager","Current employee","Bhubaneshwar","Job location according to your choice","No much incentives and salary","","",""
"3.0","11 Oct 2022","Good but pressuring","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70020052.htm","Corporate agency manager","Current employee, less than 1 year","Calcutta","","","Systematic and goodwill are the pros","Slow and pressurising job role","Show more"
"5.0","11 Oct 2022","Worked for 3 years","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70024831.htm","Staff rn","Former employee, more than 1 year","Noida","","","Good working condition at hdfc","Can do better in hdfc","Show more"
"2.0","5 Jul 2022","Not challenging enough","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW66296606.htm","Software engineer","Current employee, more than 1 year","Mumbai","","","Good folks and colleagues here
Only good for folks who're just starting out their development journey
Good work life balance","- Not challenging environment
- No learnings in terms of software engineering
- No products, bad planning
- They don't even follow basic principals of software development like DRY, KISS, SOLID nothing
- It's bad for SDEs who're experienced with complex software and want to work on complex things","Show more"
"2.0","14 Oct 2022","Work Life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70139646.htm","Sales bdm","Former employee, more than 1 year","North Goa","Salary on time, Scope to earn without limits","No work life balance, High pressure, Low Fixed Salary","","",""
"5.0","21 Oct 2022","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70366728.htm","Management intern","Former intern","","Good company to work for intern","Nothing to say about this","","",""
"5.0","6 Sept 2022","Sr corporate sales manager","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW68747328.htm","Sales territory head","Current employee","","","","86% market share in HDFC Bank  branches
Rated 4 best is 5
Got promoted in hdfc life","Promotion based increment is long term reward","Show more"
"2.0","5 Apr 2022","No work Ethics and very bad working environment","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW62312166.htm","Executive trainee","Current employee, less than 1 year","Mumbai","","","you get to work with a Reputed brand","Seniors have no knowledge of process especially my manager. I did not get to learn anything from her and it was a drastic disaster. Everyone in the team was fed-up of her behaviour and zero work ethics. Many have complained as well against her but no action was taken so had to leave the firm only. I wouldn't recommend working here.","Show more"
"5.0","27 Sept 2022","Great place","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW69516597.htm","Marketing","Former intern, less than 1 year","","Culture is best in the organization","You have to face many challenges while working like handling customer, sales etc","","",""
"4.0","7 Oct 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW69905146.htm","It support","Former employee","","","","Good for Freshers
Working with latest technology","Salary hike
No benefits for extended supports.","Show more"
"1.0","6 Dec 2022","Good job","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW71660177.htm","Sales associate","Former employee, less than 1 year","","","","Overall all okay in this company","Overload in this company.no time for anyone","Show more"
"4.0","13 Oct 2022","Senior associate","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70116704.htm","Senior associate","Current employee, less than 1 year","Visakhapatnam","","","Work life balance, flexible timings","Long hours for work j","Show more"
"4.0","11 Oct 2022","good","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70011070.htm","Corporate agency manager","Former employee","Calcutta","","","great place to work for","The sales target was too high","Show more"
"4.0","25 Sept 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW69417863.htm","Teller","Former employee, more than 1 year","Calcutta","","","Good environment to work and learn.","Internal politics is very high","Show more"
"2.0","11 Oct 2022","Internship at HDFC Life","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW70018424.htm","Anonymous intern","Former intern, less than 1 year","","Great learning experience in sales","Targets sometimes achievable, sometimes not","","",""
"4.0","19 Sept 2022","company is good","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW69230862.htm","Senior corporate agency manager","Current employee, more than 3 years","Hyderābād","","","High incentives and good work culture","some times work life balance is missing","Show more"
"5.0","16 Sept 2022","For ESOPs and Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW69125686.htm","Anonymous employee","Former employee, more than 1 year","Hyderābād","ESOPs is the best thing this firm offers","Working hours and work can be a little monotonous","","",""
"5.0","28 Sept 2022","Business Development Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-HDFC-Standard-Life-Insurance-RVW69577821.htm","Business development manager","Current employee","","I am doing recruitment well.","Company environment is very good for employees","","",""
