"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","27 Jul 2022","Good HR and healthy environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67211024.htm","Medical representative","Former employee, more than 1 year","Mumbai","",""
"4.0","5 Jul 2022","One of the best company in India","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW66337597.htm","Mes engineer","Former employee, more than 1 year","Indrad","",""
"2.0","24 Jul 2022","Needs improvement","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67085543.htm","Scientist","Former employee, more than 8 years","","",""
"4.0","21 Aug 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW68159023.htm","Area manager","Former employee, more than 1 year","","Employee friendly organization g g","Some employees are a a"
"5.0","28 Jul 2022","Company Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67258620.htm","Anonymous employee","Current employee","","Good work culture in production department","Food is not good though for mon Gujaratis"
"4.0","25 Jul 2022","PMO","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67121717.htm","Project management office (pmo)","Current employee","","Good company  for work here","Could do better  in terms of the current situation"
"2.0","4 Aug 2022","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67544307.htm","Abalyst","Former employee, more than 1 year","Baddi","",""
"2.0","1 Aug 2022","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67383054.htm","Executive","Current employee","","Job security, Good work culture","No decision making power to anyone"
"5.0","18 Jul 2022","Good work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW66816804.htm","Medical advisor","Current employee, more than 1 year","Mumbai","",""
"4.0","4 Jul 2022","Excellent Infrastructure","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW66276020.htm","Anonymous employee","Former employee, more than 3 years","Dahej","Excellent Infrastructure, Transportation Service from main city to plant","As it's a large scale company the profile will be limited."
"3.0","8 Jul 2022","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW66452159.htm","Administration executive","Current employee, more than 1 year","Dahej","",""
"3.0","10 Jul 2022","QMS","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW66507359.htm","Executive","Current employee, less than 1 year","Ahmedabad","",""
"3.0","19 Jul 2022","good for fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW66877665.htm","Anonymous employee","Former employee, less than 1 year","","",""
"4.0","8 Jun 2022","Company review","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW65272778.htm","Technical assistant","Former employee, more than 1 year","East District","This company has good job security and has good working environment.","Only thing that I didn't like was salary is very less."
"4.0","16 Jun 2022","Good organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW65628777.htm","Anonymous employee","Current employee, more than 1 year","","Very good organization in all things","Very long approval level for work"
"4.0","8 Jun 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW65297844.htm","Executive","Current employee, more than 1 year","Ahmedabad","Transport , food and culture are good","Future prospects are less . promotion problems"
"4.0","9 Jun 2022","Cash rich company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW65310799.htm","Group product manager","Current employee, more than 3 years","Mumbai","Cash rish company focusing on product development","Largely present in chronic segment"
"5.0","3 Jun 2022","Software developer","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW65081249.htm","Software developer","Current employee, more than 3 years","Ahmedabad","There is low workload compare to other companies.","Every year Increment is very low."
"1.0","16 Aug 2022","Worst management","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW67977665.htm","Area manager","Current employee, less than 1 year","","",""
"4.0","13 Jun 2022","Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW65456429.htm","Executive","Former employee","","Culture policy location transportation is","Rejoining compensation environment is are"
"3.0","5 Jun 2022","Okay","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW65130339.htm","Graduate engineer trainee","Current employee","","Bus service, food, equipments, uniform, PF","Management, salary, increment, policies, okay"
"5.0","13 May 2022","Very good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW64079244.htm","Manager","Former employee, more than 1 year","","Good payment. Timely salary. Transport. Canteen","Uniform compulsory. work related stress"
"4.0","24 Apr 2022","Good Job Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW63209120.htm","Executive","Current employee, more than 3 years","Gāndhīnagar, Gujarat","Lots of opportunities to learn about new advance technology, Higher Package at Management Position","Lower salary growth, Bad HR Policies"
"5.0","1 May 2022","Regulatory affairs","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW63499877.htm","Scientist ii","Current employee, more than 3 years","Ahmedabad","",""
"4.0","13 Apr 2022","great","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW62710431.htm","Data scientist","Current employee","","culture, work , facility is good and all things are available","pay, uniform,salary so that they can pay well as per market"
"5.0","6 Apr 2022","Good Value company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW62406193.htm","Assistant executive engineer","Former employee, more than 5 years","","",""
"5.0","23 Apr 2022","Good work place","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW63175031.htm","Analytical lead","Current employee","","Work life balance and work environment","Less positions in Hiarcy structure..."
"5.0","24 Apr 2022","Employee Friendly","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW63193949.htm","Research scientist","Current employee","","Culture and Food is good","Uniform is there for all employees"
"5.0","23 Apr 2022","Engineering","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW63185046.htm","Engineering manager","Former employee, more than 5 years","","",""
"3.0","30 Mar 2022","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW61990584.htm","Senior product executive","Former employee, more than 3 years","Ahmedabad","",""
"4.0","11 Apr 2022","Very good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW62594266.htm","Graduate engineer trainee","Current employee, less than 1 year","","You will get good experience","Nothing much ,only distance and policies"
"5.0","27 Mar 2022","Good and ethical company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW61828622.htm","Regional sales manager","Current employee, more than 10 years","Calcutta","",""
"5.0","25 Mar 2022","Excellent Opportunity","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW61754350.htm","Anonymous employee","Former employee, more than 1 year","","Superb Working Culture, A lot to learn","Nothing which i can think of"
"4.0","6 Feb 2022","Overall good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW59181859.htm","Executive","Current employee, less than 1 year","Indrad","",""
"1.0","24 Apr 2022","Management trainee -CA","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW63202316.htm","Management trainee","Former intern, less than 1 year","Ahmedabad","Good benefits offered to employees","Depends on in which department you are. I left in 4 months due to some reasons."
"4.0","19 Jun 2015","Seeking assignments in Sales & Marketing with an organisation of high repute in sales sector","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW6958390.htm","Second line manager","Current employee, more than 1 year","New Delhi","",""
"5.0","22 Jan 2022","Great opportunity to work year for new applicants","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW58377815.htm","Formulation scientist","Current employee, more than 1 year","Gāndhīnagar, Gujarat","",""
"4.0","11 Feb 2022","good company yo work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW59544978.htm","Senior execurive","Former employee","","torrent is very good company to work for.","not many to count for"
"5.0","8 Feb 2022","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW59285702.htm","Research scientist","Current employee, less than 1 year","Gāndhīnagar, Gujarat","Every thing is ok. no problem","There is no cons here."
"3.0","12 Feb 2022","Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW59577945.htm","Assistant manager","Former employee","Ahmedabad","",""
"5.0","15 Jan 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW57965038.htm","Assistant manager","Current employee","Dahej","",""
"3.0","19 Jan 2022","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW58226429.htm","Executive","Former employee","","Exposure and job profile enhancement","Low compensation and low increment"
"4.0","11 Jan 2022","Well organized","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW57720886.htm","Api-qa assistant manager","Current employee","Ahmedabad","Canteen facility, transportation facility, timely increment","More travel time, less increment"
"4.0","17 Jun 2012","A typical R & D centre with better working culture.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1612902.htm","Scientist-ii","Current employee, more than 5 years","Ahmedabad","",""
"1.0","11 Jun 2012","Not a nice place to work and grow","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1585682.htm","Assistant manager","Former employee, more than 1 year","Ahmedabad","",""
"4.0","22 Feb 2016","Good company for initial stage of career","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW9655659.htm","Medical representative","Former employee, more than 1 year","New Delhi","",""
"1.0","29 Jun 2021","I got bad experience with this company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW49101155.htm","Adl executive","Former employee, less than 1 year","Ahmedabad","",""
"3.0","4 Sept 2019","Good  company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW29027399.htm","Scientist ii","Current employee, more than 3 years","Gāndhīnagar, Gujarat","",""
"1.0","28 Jan 2016","Torrent Pharmaceuticals not recommended for other latest review 2016","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW9366750.htm","Executive","Current employee, more than 1 year","Ahmedabad","",""
"3.0","25 Jul 2012","a good company to work with and that too in ""metro""","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1770795.htm","Executive","Former employee, more than 1 year","Ahmedabad","",""
"1.0","1 Apr 2017","Not good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW14443649.htm","Anonymous employee","Former employee","","",""
"3.0","22 Jun 2014","A process oriented company with detail analysis of systems and functions","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW4449125.htm","Anonymous employee","Former employee, more than 1 year","Ahmedabad","",""
"2.0","7 Dec 2018","A Heaven is transforming to Hell","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW23752155.htm","Scientist","Former employee, more than 3 years","Bhāt","",""
"2.0","28 May 2021","Torrent Research Center","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW47622376.htm","Finance","Former employee, more than 1 year","Gāndhīnagar, Gujarat","",""
"4.0","10 Jan 2016","Torrent Pharma ltd","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW9141049.htm","Management trainee","Former employee, less than 1 year","Mumbai","",""
"5.0","18 Sept 2017","Warehouse officer","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW16895489.htm","Warehouse officer","Former employee, less than 1 year","","",""
"4.0","3 May 2013","my views about Torrent","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW2618034.htm","Therapy manager","Former employee, more than 5 years","Kānpur, Uttar Pradesh","",""
"4.0","9 Jan 2017","overall good organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW13241141.htm","Manager","Current employee","Ahmedabad","",""
"4.0","23 Apr 2016","Intern in project management in Drug development program","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW10373284.htm","Intern","Former intern, less than 1 year","Mumbai","",""
"5.0","3 Jul 2012","I have good and benificiary experince with Torrent.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1684525.htm","Pharm marketing","Current employee, more than 1 year","Ahmedabad","",""
"5.0","15 Oct 2016","Torrent pariwar","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW12320695.htm","Anonymous employee","Former employee","","",""
"4.0","4 Dec 2018","Good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW23689687.htm","Procurement executive","Current employee, more than 1 year","Gangtok","",""
"5.0","25 Sept 2012","it has been a wonderful time.i have learned and earned a lot from this company.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1991055.htm","Area manager","Current employee, more than 10 years","Bareilly","",""
"2.0","29 Aug 2012","Was a very good company to work for 6 months ago","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1899020.htm","Anonymous employee","Current employee, more than 3 years","Ahmedabad","",""
"3.0","1 Jul 2014","Learnt a Lot...","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW4501066.htm","Anonymous employee","Former employee","","",""
"4.0","27 Jun 2015","Good Learning Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW7043845.htm","Anonymous employee","Former employee","Ahmedabad","",""
"4.0","29 Jul 2012","System  & process oriented company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1784823.htm","Business manager","Current employee, more than 1 year","Chandigarh","",""
"4.0","24 Jun 2012","One  of  the  best People  oriented  Employee  to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1641168.htm","Abm","Former employee, more than 5 years","Mumbai","",""
"4.0","15 Nov 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW55391558.htm","Quality control analyst fresher","Former employee, less than 1 year","Gangtok","",""
"3.0","9 Sept 2015","Manager-Clinical Research","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW7886733.htm","Anonymous employee","Current employee","","",""
"4.0","17 Sept 2012","learned new skill to develope managerial talent.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1964432.htm","Asm (area sales manager)","Former employee, more than 3 years","Nāgpur, Maharashtra","",""
"5.0","23 May 2021","handing of all QC inst,QMS handling OOS,OOT,Laboratory incidents, deviation,also abilities to handling of  team","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW47330157.htm","Executive","Current employee","Dahej","Iam looking job in QC Department on post as an assistant manager or above in QC Department","To get new opportunities for bright future"
"4.0","5 Jul 2017","Good Company for work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW15766942.htm","Pharmaceutical sales representative","Current employee, more than 3 years","Surat","",""
"4.0","26 Oct 2021","Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW54496082.htm","Anonymous employee","Current employee, more than 8 years","Ahmedabad","",""
"3.0","17 Aug 2017","Decent company to get exposure","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW16403152.htm","Assistant manager","Former employee","Ahmedabad","",""
"5.0","5 Nov 2021","Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW54958948.htm","Executive production","Former employee, more than 1 year","Ahmedabad","",""
"4.0","20 Sept 2012","it was good but sometime disappointing.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1974095.htm","Therapy manager","Former employee, more than 3 years","Vāranāsi","",""
"3.0","9 Aug 2019","for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW28541702.htm","Anonymous employee","Former employee, more than 3 years","","",""
"5.0","9 Apr 2018","Very good company for learning","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW20072848.htm","Scientist-ii","Former employee, more than 1 year","Gāndhīnagar, Gujarat","",""
"3.0","26 Aug 2014","having good environment of working","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW4855093.htm","Medical representative","Current employee, more than 1 year","New Delhi","",""
"5.0","22 Mar 2021","Torrent Pharmaceutical - an awesome to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW44402401.htm","Hr-executive","Current employee","South District","",""
"4.0","2 Jan 2018","Good learning experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW18540104.htm","Product manager","Former employee, more than 5 years","Ahmedabad","",""
"4.0","20 Dec 2021","Maintenance Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW56894043.htm","Executive engineer","Current employee, more than 3 years","","",""
"4.0","7 Dec 2019","Safety Supervisor","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW30753734.htm","Safety supervisor","Current contractor, more than 1 year","Visakhapatnam","",""
"3.0","1 Feb 2013","not good not bad so so","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW2331740.htm","Business executive","Former employee, more than 3 years","New Delhi","",""
"1.0","14 Dec 2016","Stressful","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW12999381.htm","Anonymous employee","Former employee","","",""
"4.0","2 Jun 2017","knowledge","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW15309129.htm","Technical assistant","Current employee","Kadi","",""
"5.0","22 Jun 2019","Shift In charge","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW27553516.htm","Production executive","Former employee, more than 5 years","Indrad","",""
"3.0","18 Jun 2021","Good Company to gain experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW48517617.htm","Executive","Current employee, more than 1 year","Ahmedabad","",""
"5.0","10 Apr 2014","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW4039359.htm","Developer","Former employee, more than 3 years","Ahmedabad","",""
"3.0","8 Jun 2016","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW10854688.htm","Assistant manager","Current employee","Bharūch","",""
"3.0","8 Nov 2018","technical assistant","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW23320588.htm","Quality control","Current employee, more than 1 year","Visakhapatnam","",""
"4.0","21 Dec 2018","Conducive work environment, value driven organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW23922802.htm","Anonymous employee","Former employee, more than 8 years","Ahmedabad","",""
"4.0","21 May 2021","Best Infrastructure for a Pharma","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW47263226.htm","Hr-executive","Former employee, more than 3 years","Dahej","One of the best pharma companies to work for in India. Outstanding Infrastructure for a pharma plant.","Overstaffed hence less opportunity to learn and grow."
"2.0","1 Jun 2017","Product Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW15298438.htm","Anonymous employee","Current employee","","",""
"5.0","16 Jan 2018","General Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW18750757.htm","General manager","Former employee, more than 10 years","Ahmadabad","",""
"3.0","12 Oct 2020","No much career growth for Statistician","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW37036217.htm","Statistician","Current employee, more than 1 year","Ahmedabad","",""
"4.0","27 Jun 2014","OK OK company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW4484827.htm","Management trainee","Current employee, less than 1 year","Ahmedabad","",""
"4.0","1 Dec 2015","Good learning experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW8797229.htm","Medical representative","Former employee, more than 1 year","Mumbai","",""
"4.0","5 Jan 2013","it is very good company & plant","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW2253885.htm","Engineering maintenance","Current employee, more than 3 years","Mehsana","",""
"4.0","27 Jul 2014","Moral, ethics and quality","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW4660127.htm","Scientist ii","Current employee, more than 3 years","Ahmedabad","This is the best place if you think your pharma job is a noble task.","You may be transferred to any Indian location."
"3.0","6 Jul 2017","Good company but growth is very slow","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW15775735.htm","Medical sales representative","Former employee, more than 1 year","Bilāspur, Chhattisgarh","",""
"3.0","18 Jul 2017","It's been ok to ....","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW15963912.htm","Scientist","Former employee, more than 1 year","Dahej","Nice work cultuure ,  nice salary structuur n food is quite good","Tire some route of traveling. Very oakward place at dahej"
"4.0","14 Dec 2018","Electrical Technician","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW23833282.htm","Electrical technician","Current employee, more than 3 years","East District","",""
"3.0","1 Mar 2019","Good learning opportunities but no work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW24944978.htm","Anonymous employee","Former employee","","",""
"5.0","26 Jun 2018","A very good organisation for perfect family work balance.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW21225803.htm","Anonymous employee","Former employee","","Bus facility, meals,insurgence , job sequerity","HR is driving the company."
"4.0","8 Feb 2019","Good company work culture is becoming more bad now","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW24599852.htm","Scientist","Current employee, more than 3 years","","Creche facility for woman in research centre, uniform","No halfday No flexible work hours No overtime incentive"
"5.0","25 Sept 2021","Excellent experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW53073850.htm","Executive - quality control","Current employee, more than 10 years","Mehsana","",""
"4.0","13 Feb 2013","Employee friendly organisation,transparency and good market image.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW2368454.htm","Medical representative","Current employee, more than 1 year","Noida","",""
"4.0","21 Apr 2013","enhance my skill","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW2580314.htm","Scientist ii","Current employee, more than 3 years","Ahmedabad","",""
"5.0","21 Jul 2017","Technical Assistance","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW16011079.htm","Technical assistant","Current employee, more than 5 years","Indrad","",""
"4.0","8 Feb 2019","Business development","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW24608543.htm","Medical representative psr","Current employee, more than 3 years","Mumbai","",""
"4.0","5 Oct 2020","Engineering","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW36734918.htm","Executive","Former employee, more than 1 year","Ahmedabad","",""
"4.0","20 Nov 2020","Having experience of GCMS and GCMS-MS
in Pharmaceutical company,method development,validation and routine analysis byGC","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW38557851.htm","Scientist ii","Current employee, less than 1 year","Gāndhīnagar, Gujarat","Supportive and friendly work atmosphere,good learning things.","Admin department needs to improve."
"3.0","18 Jan 2021","Nice place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW40973900.htm","Project management","Current employee","","",""
"2.0","11 May 2021","Poor work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW46763977.htm","Assistant manager","Former employee, more than 1 year","Ahmedabad","",""
"4.0","11 Jul 2021","Good working culture and healthy environment.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW49597660.htm","Executive","Current employee","Ahmedabad","",""
"3.0","18 Sept 2021","Working at Torrent Research Centre","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW52732393.htm","Assistant manager","Current employee, more than 1 year","Ahmedabad","",""
"5.0","2 Dec 2021","Best organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW56127354.htm","Assistant manager","Current employee, more than 5 years","","",""
"3.0","27 Feb 2013","Great Company to start carrier.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW2408931.htm","Medical representative","Former employee, more than 1 year","New Delhi","",""
"5.0","24 Aug 2016","Good company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW11671732.htm","Anonymous employee","Former employee","","",""
"5.0","12 Jul 2018","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW21460521.htm","Manager","Current employee, more than 1 year","Ahmedabad","",""
"5.0","12 Aug 2018","Best HR policies.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW21926034.htm","Scientist ii","Former employee, more than 3 years","Ahmedabad","",""
"4.0","20 Jun 2021","Better work culture.","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW48591958.htm","Sales officer","Current employee","Chennai","Good work culture, superiors are easily available on your doubts. Better experience you will get.","The only cons are less package."
"5.0","10 Jun 2012","torrentian","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1583332.htm","Sales representative","Current employee, less than 1 year","Meerut","",""
"5.0","28 Jul 2012","i m satisfied with this job","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW1782576.htm","Medical representative","Current employee, more than 1 year","Agartala","",""
"3.0","23 Jun 2017","Good Culture and Friendly Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW15608811.htm","Formulation scientist","Former employee, more than 1 year","Ahmedabad","Best for beginners, Friendly environment , Great care for personals","Slow management,  complicated system , Difficult to Coardinate"
"3.0","15 May 2018","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW20586762.htm","Assistant manager","Former employee, more than 1 year","Ahmedabad","",""
"2.0","28 Aug 2018","Great HR policies","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW22192027.htm","Assistant manager","Former employee, less than 1 year","Ahmedabad","",""
