"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","5 Feb 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW84071116.htm","Asm (area sales manager)","Current employee","Chandigarh","Company is good salary on time","Culture Depend upon Manager and performance"
"3.0","16 Jan 2024","Good organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW83396934.htm","Research scientist","Former employee, more than 3 years","Ahmedabad","",""
"4.0","11 Jan 2024","To provide medical support","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW83259371.htm","Assistant manager-medical services","Current employee, more than 1 year","Ahmedabad","",""
"3.0","10 Jan 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW83245242.htm","Regulatory affairs specialist","Current employee, more than 1 year","Gujrāt","Learn so much from this company. Good facilities","Low wages and No extra pays for overtime"
"5.0","22 Dec 2023","CRM, EVENT SALE'S AND MARKETING TEAM MANAGER","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82793399.htm","Therapy manager","Former employee, more than 10 years","","",""
"4.0","2 Jan 2024","Excellent company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82987663.htm","Executive","Current employee, more than 8 years","Ahmedabad","Great learning, good team, collaborative work environment","6 days working, nothing as such"
"2.0","24 Dec 2023","Not an employee friendly organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82830512.htm","Assistant manager","Current employee, more than 1 year","Ahmedabad","",""
"5.0","8 Dec 2023","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82430943.htm","Medical representative","Current employee","","",""
"4.0","26 Dec 2023","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82846137.htm","Graduate engineering trainee get","Current employee","Ahmedabad","Nice Food at discount and flexible.","Very much politics even at low level"
"5.0","23 Dec 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82813177.htm","Quality control","Current employee","","It is  a good company","Nice environment for work in there"
"2.0","20 Dec 2023","Not good pay","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82762912.htm","Sr. sceintist","Current employee","Gujrāt","There is no good thing in torrent","Not good pay in company. No promotions"
"3.0","14 Dec 2023","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82611407.htm","General manager","Current employee","Ahmedabad","Work culture and HR policy","Professional development and very strict HR policy"
"5.0","20 Nov 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW81970839.htm","Human resources","Former employee, more than 8 years","Ahmedabad","",""
"3.0","24 Nov 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW82058674.htm","Apprentice","Former contractor","","Best company  & 1st company","Very less celebration in company"
"4.0","18 Aug 2023","Best Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79272379.htm","Executive","Former employee, more than 3 years","Gāndhīnagar, Gujarat","",""
"2.0","15 Oct 2023","Lala Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW80951567.htm","Senior sap consultant","Former employee, more than 8 years","Ahmedabad","no work, you can spend your life and retire.","No growth and no value addition"
"1.0","5 Jun 2023","Pathetic HR","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW77099828.htm","Anonymous freelancer","Former freelancer","","",""
"4.0","1 Oct 2023","Tell to improve","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW80570042.htm","Executive assistant","Current employee, more than 3 years","Coimbatore South","Do the needful for the best employee of the year","Life of piece and quite"
"4.0","5 Oct 2023","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW80704823.htm","Quality assurance executive","Former employee, more than 8 years","Ahmedabad","company has good work culture","Company employees salary raised was just okay."
"3.0","28 Sept 2023","No Mobile phones","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW80490533.htm","Trainee executive","Current employee, less than 1 year","Ahmedabad","timing, no extra hours and alternate sat sun off","school like culture, uniform and all"
"4.0","26 Sept 2023","Medical representative","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW80415963.htm","Medical representative","Former employee, more than 1 year","Mumbai","Work culture, ethics and offcourse 2nd and 4sat off","Good company work culture is good"
"1.0","27 Aug 2023","Too much of politics","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79531168.htm","Graduate apprentice trainee","Former intern, more than 1 year","East District","",""
"3.0","10 Aug 2023","Product Development-ADL","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79033068.htm","Executive","Current employee, more than 1 year","Gāndhīnagar, Gujarat","",""
"5.0","17 Aug 2023","Best company I like this torrent","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79220658.htm","Medical representative","Current employee, more than 1 year","North Tripura","",""
"5.0","2 Sept 2023","Production","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79713691.htm","Executive","Current employee, more than 1 year","Ahmedabad","Work life balance is good","Great place to work in ahmedabad"
"5.0","29 Aug 2023","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79596829.htm","Anonymous employee","Former employee, more than 3 years","Kalol","Very good company for job","Food quality not much good"
"3.0","22 Aug 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79367626.htm","Asst manager","Former employee, more than 3 years","Visakhapatnam","Good culture at work place","Good learning skills and work life balance"
"3.0","10 Aug 2023","Company Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79032795.htm","Asm (area sales manager)","Former employee, more than 3 years","Patna, Bihar","",""
"5.0","25 Jul 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW78545038.htm","Warehouse assistant","Former employee","Rangpo","",""
"4.0","18 Aug 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW79282360.htm","Manager","Current employee","Ahmedabad","Good culture and employee friendly","Need improvement in the company policy"
"4.0","8 Jun 2023","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW77213040.htm","Anonymous employee","Former employee, more than 1 year","","",""
"4.0","2 Aug 2023","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW78805182.htm","Qc chemist","Former employee, more than 1 year","Bharūch","Good HR, work place environment positive","Transportation systems is very bad"
"3.0","26 Jun 2023","Good to work at AM level","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW77707848.htm","Executive qc","Current employee","","",""
"5.0","6 Jul 2023","Best company","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW78022547.htm","Technical assistant","Former employee, more than 5 years","Ahmedabad","",""
"1.0","20 Jul 2023","worst culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW78421869.htm","Assistant manager","Former employee, more than 1 year","Ahmedabad","",""
"4.0","2 Jul 2023","Positive","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW77897443.htm","Executive trainee","Current employee, less than 1 year","Ahmedabad","Work culture Friendly environment Food Work life balance","NA NA NA NA NA"
"5.0","14 Jun 2023","An experienced medical laboratory professional with management role as laboratory director","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW77360620.htm","Clinical laboratory director","Current employee, more than 10 years","Ahmedabad","",""
"4.0","21 Apr 2023","Enjoyable work place","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW75712362.htm","Executive","Current employee","","",""
"3.0","12 Jun 2023","Learning is endless","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW77294901.htm","Management trainee","Former employee","Gāndhīnagar, Gujarat","",""
"5.0","29 May 2023","QC - MVC","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW76891801.htm","Apprentice","Former employee, more than 1 year","Mehsana","Work life balance culture for Male/Female emloyees All services are good No work load","Punctuality - on time needed"
"5.0","4 May 2023","Marketing executive with 1 year of experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW76136891.htm","Marketing executive","Current employee, less than 1 year","Mumbai","Great work culture, good team work, Good management system, good growth and salary","Lots of travelling, pressure , And Target achievement"
"4.0","4 Jun 2023","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW77057934.htm","Medical representative","Former employee","Ahmedabad","Easy sales experience and co operations.","Harder work on field traveling"
"5.0","25 May 2023","Indirect Material Procurement","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW76780042.htm","Procurement executive","Current employee, more than 1 year","Baddi","A company with good SOP","Nothing on down side, everything is good."
"5.0","9 May 2023","Ok very nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW76260666.htm","Anonymous employee","Current employee","","Ok very good microbiology department nice","Ok thanks for torrential microbiology department working as reviewer"
"4.0","5 May 2023","Salary is OK","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW76142046.htm","Executive","Current employee","Dahej","Good work environment and no work pressure","Travelling facility is very poor and takes a lot of time"
"5.0","17 Apr 2023","Good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW75560818.htm","Medical representative","Current employee, less than 1 year","Khammam","",""
"3.0","5 Feb 2023","Still a stuck Torrentian at Dahej  Plant","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73343254.htm","Executive","Current employee","","",""
"3.0","1 May 2023","Work life","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW76001489.htm","Product executive","Former employee, more than 3 years","Mumbai","",""
"5.0","27 Apr 2023","Heaven on earth","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW75894261.htm","Executive purchase","Former employee","Ahmedabad","Heaven on earth in work place","Salary will be always less"
"4.0","16 Mar 2023","Work Life balance is good","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW74602759.htm","Executive","Current employee, more than 3 years","Ahmedabad","Proper work life balance at this company","Salary provided is on lower side of the average pay for the position"
"5.0","17 Feb 2023","It's great to work for torrent","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW73744527.htm","Anonymous employee","Current employee","","",""
"2.0","1 Apr 2023","Torrent Research Centre","https://www.glassdoor.co.in/Reviews/Employee-Review-Torrent-Pharmaceuticals-RVW75100127.htm","Scientist ii","Former employee","","Good Culture Timely Salary dispersal Nice infrastructure","Late and low increments Does frequent lay-offs"
