"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"2.0","26 Dec 2020","Join if you are having a good package","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW39819939.htm","Manager","Former employee, more than 3 years","Hyderābād","Knowledgeable colleagues 
Lot of responsibilities 
Job security
Unlimited sick leaves","Hike is poor
No retention policy
High Work pressure ( depends on team )
Mismanagement of resources
Mostly Salary depends on college name not experience nor performance.
Tier 1 college students gets huge packages but delivers the same amount of work and tier 3 college or PO batch gets very low packages with delayed promotions. The amount of work expected from both is same.","Show more","",""
"4.0","31 May 2021","Senior officer","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW47682683.htm","Senior officer","Former employee","Madurai","Good work environment and culture. Teammates are supportive and the management is transparent.company policies are good, appraisals are fair and they g give good salary hike and bonus every year.","No career growth,There is a lot of politics and sometimes our management doesn’t address our issues. Salary is decent but career growth is slow. On the job training is not given to new joinees. Almost fine criteria means if we left some issues then it is okay","Show more","",""
"3.0","9 Sept 2021","Icici bank working","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW52341805.htm","Deputy manager","Former employee, more than 5 years","","Employee friendly, competetive, inspiring and energetic environment","Sometimes few location not so good employees sit at higher position, due to which others suffer.","Show more","",""
"1.0","22 Sept 2021","Worst management and are equal to tormentors","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW52910637.htm","Anonymous employee","Former employee, more than 1 year","Hyderābād","No pros at all if you are into sales

Only pros is you get a yearly bonus that too is very meagre","The worst company to work with. Their managers treat you with contempt and have no decency, they can call you during midnight as well in order to torment you.

Leaves do not get approved easily and one has to fight for it, insane targets and HR is mostly unavailable and will not take the employee’s side or be partial. 

Month ends have no timing and they will ask us to work on sundays and promise to give us compensation off. The promises are never met.","Show more","",""
"4.0","3 Nov 2021","WORKPLACE ENVIRONMENT","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW54860456.htm","Relationship manager","Former employee, less than 1 year","New Delhi","* Great platform to learn and understand the basics.
* Had opportunity to meet different types of customers and understand their 
 perspective.
* Great team to let you guide in the proper direction.
* Improve my communication skills in a lot better level.","* Superiors are just target focused. How to achieve them is non of their consideration. Promises to provide support but are too busy with top performing relationship manager's that they hardly find time to help juniors.","Show more","",""
"3.0","5 Jan 2014","Good Bank to work if you are in top or middle management","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW3492907.htm","Assistant manager ii","Former employee, more than 1 year","Chen","Technology oriented.
Highly Innovative, stable company to stay if willing to learn.
High on rewards if you are on top achiever every day.
Good learning and training opportunities in the banking sector.","High Sales Pressure if you are in any Banking role
Unrealistic design of targets and not much communicative with employees.
Not much of internal transfers or scope of career development.
Low pay if you are in middle and junior level grades","Show more","",""
"3.0","1 Jun 2014","Good learning experience","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW4323787.htm","Anonymous employee","Current employee, more than 5 years","","It is a good bank to work in if you are in top or middle management","Sales Pressure 
No employee social value","Show more","",""
"1.0","27 Jan 2016","Extremely bureaucratic organisation with bad work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW9363135.htm","Assistant general manager","Former employee, more than 1 year","Mumbai","Prestigious company to have on CV. Canteen is decent though extremely crowded most times. The offices are well located in cities.","Horrible work culture with no work life balance 
No leave allowed in the first year of emolument, inhuman clause 
Bureaucratic system which allows no creativity or new ideas 
Political in nature
Manager are badly trained, no lookout to keep employees motivated 
Manager are rude and have no sense of personal space. Some call and message team members as late as ten / 11 pm at night 
The company allows work from home but doesn't have the necessary IT infrastructure to back it","Show more","",""
"3.0","6 Apr 2016","Great place! Only for a year!","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW10171292.htm","Legal manager","Former employee, more than 3 years","Mumbai","- Amazing work life balance
- Independence to choose working style
- Senior level officials are generally problem solving and aid decision making.","- Low morale
- Lack of learning opportunity due to high attrition at mid and senior levels
- Low pay
- Slow or delayed promotions.
- No bottom to top review process","Show more","",""
"4.0","13 Oct 2016","Empowering experience","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW12307564.htm","Anonymous employee","Current employee, more than 10 years","","Empowering the manpower, given responsibilities much before employees are ready for it so as to prepare them for future roles, decision making is appreciated","Too much importance given to college pedigree, good for those who have attended premier colleges. Employees from non-premier colleges are treated below in terms of compensation which is below your colleagues and even junior employees. Ratings decide everything with a very big element of seniors opinion without much regard to rational performance","Show more","",""
"4.0","19 Aug 2017","AML ANALYST","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW16437662.htm","Aml analyst","Current employee, more than 1 year","Hyderābād","It is good place to work. I can say only one thing that it is completely depend upon your were you working.","It is really good place for people wanted start their banking career.
But if you really want to quickly grow in your career then you need to be part of branch banking instead of back office.","Show more","",""
"3.0","26 Aug 2017","Senior technical officer","https://www.glassdoor.co.in/Reviews/Employee-Review-ICICI-Bank-RVW16539727.htm","Senior technical officer","Former employee, less than 1 year","Virār","Good pay for freshers.  Respect is there for technical officers. Facilities are good.","Allowances are very low. You need to Shell out money from your pockets to meet the work requirements. Job is suitable only if it's close to your home. Once in this field you cannot switch to another construction field. It's basically valuation so very less scope for development in future.","Show more","",""
