"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"2.0","11 Apr 2019","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW25640933.htm","Anonymous intern","Former intern","","","","","Good opportunity for an individual to work in it","Employees are not so friendly"
"3.0","24 Apr 2019","Wonderful","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW25823053.htm","Methods engineer","Current employee, more than 5 years","Nashik","","","","Job safety, exposure to aircraft MRO","Less pay compared to other Navratna psu."
"4.0","2 May 2019","Force behind force","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW25951690.htm","Anonymous employee","Current employee","","technology & infrastructure
defence know how
skill","work culture 
hr policy
government influence","Show more","",""
"3.0","24 Apr 2020","PSU company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW32877068.htm","Design engineer","Former employee, more than 3 years","","","","","Job security, opportunity to learn new stuff","Low pay, less job growth"
"4.0","7 Sept 2020","Best Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW35703475.htm","Industrial material management","Former intern","","","","","Best Environment to learn all things","Very Few opportunity for employment"
"3.0","20 Oct 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW37365122.htm","Software engineer asc","Current employee","Bengaluru","","","","Good , job security, work life balance","Politics and no major learning opportunities"
"4.0","6 Nov 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW38062455.htm","Intern","Former employee","","","","","everything, staff, behaviour and everything","I dont find any cons to say"
"4.0","29 Nov 2020","General","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW38839010.htm","Assistant general manager","Formerly self-employed","Nashik","","","","Stable steady job, needs average performance","Limited rise, salaries and closed environment"
"3.0","26 Dec 2020","productive","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW39808899.htm","Software engineer","Current employee","Bengaluru","","","","good company to better your resume","temporary job , life is not secured"
"3.0","5 Jan 2021","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW40109265.htm","Anonymous employee","Former employee, more than 3 years","Bengaluru","","","","Work life balance is good","no cons as such there"
"4.0","6 Jan 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW40180262.htm","Internship","Former employee, less than 1 year","Bengaluru","Best facilities 
and 
manufacturing techniques.","Lazy workers 
and 
full strict Company","Show more","",""
"4.0","21 Feb 2021","ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW42842331.htm","Anonymous employee","Former employee","","","","","1. Good location to work for","2. none i can think of"
"4.0","3 Apr 2021","Flexiblity to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW44984370.htm","Deputy manager","Current employee, more than 8 years","Bengaluru","Good flexiblity to experiment
Less controlling","Beaurocratic enviroment
Everyone bossing around
Politics
Inflexible timing","Show more","",""
"4.0","8 Jun 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW48055500.htm","Graduate apprentice trainee","Current intern","","","","","Work life balance and great learning experience","Not allowing external media access"
"4.0","9 Jun 2021","PSU job","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW48120363.htm","Senior manager, operations","Current employee","Bengaluru","","","","Job security and peace of mind","Minimal and defined salary hikes"
"2.0","19 Jun 2021","Okay for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW48575101.htm","Graduate apprentice trainee","Former employee, more than 1 year","Bengaluru","","","","Good Learning opportunities, practical exposure","No permanent position offered after completing apprenticeship"
"4.0","19 Aug 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW51345960.htm","Aeronautical engineer","Current employee","Bengaluru","","","","Good for freshers to learn about aircraft","everything is good except food"
"4.0","21 Aug 2021","Technical Lead","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW51423456.htm","Technical lead","Current employee, more than 1 year","Bengaluru","","","","Perks and benefits are very good","timing is very bad one"
"3.0","12 Oct 2021","Not so great","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW53875180.htm","Mechanical engineer","Current intern","Koraput","Government Job - The biggest USP","lazy work culture
Unnecessarily unions
inter-department rivalry","Show more","",""
"4.0","23 Nov 2021","Great Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW55783742.htm","Senior staff engineer","Current employee","Bengaluru","","","","Good work culture and ethics","Promotion is based on time line"
"4.0","24 Dec 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW57069661.htm","Anonymous intern","Current intern","","","","","Lots of knowledge u gonna learn","Improve your self to the best"
"5.0","4 Jul 2015","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW7110817.htm","Deputy manager","Current employee, more than 5 years","Hyderābād","","","","Good Place to learn..................... ...","Slow Growth...................................... .. .... ....."
"1.0","14 Aug 2016","No value from Management","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW11556581.htm","Design trainee","Former employee, less than 1 year","Bengaluru","Job security, Parents will be happy, nothing more","a lot, bad work culture, no good food, no salary, no respect from management as there as lakhs waiting to join as per them","Show more","",""
"3.0","3 Jan 2017","Engine Division","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW13170803.htm","Anonymous employee","Former employee, less than 1 year","Bengaluru","","","","it was a very good experience.","support from staff was poor"
"3.0","8 Feb 2017","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW13686144.htm","Anonymous employee","Current employee","Bengaluru","","","","Life balance, ok salary, practical experience","Low salary, pressure on working people"
"4.0","9 Aug 2017","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW16281922.htm","Graduate engineer trainee","Former contractor, more than 1 year","Bengaluru","","","","very best environment for freshers","restriction for interns,otherwise its best one"
"2.0","13 Oct 2017","HAL","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW17333590.htm","Engineer-2","Former employee, more than 1 year","","","","","Job security, cooperation from senior colleagues.","Union pressure, overtime working, low salary structure."
"4.0","28 Dec 2018","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW23987807.htm","Engineer","Current employee, more than 1 year","Bengaluru","","","","Good place to start and experience.","Not good for women employee."
"3.0","4 Jun 2019","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Aeronautics-RVW26464901.htm","Manager","Current employee","Nashik","","","","Govt PSU ,10% disinventment right now","No management, polices decided by MoD"
