"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"1.0","17 May 2019","Assistant manager","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW26198018.htm","Anonymous employee","Former employee, less than 1 year","","","Chandigarh","Nothings is good about this bank","Biased organisation with all the old softwares. Where there competitors are way to far in progress according to them. There process are so slow that customer gets irritated from bank. So you cannot give customer experience","Show more"
"3.0","19 Jun 2019","Good Employer","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW27484996.htm","Programme analyst","Former employee, less than 1 year","Good place to learn","Poor Environment with no proper facilities,","Chennai","","",""
"3.0","11 Jul 2019","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW27926064.htm","Anonymous employee","Former employee","Salary on time..good support..good training..","Target pressure..no work life balance..","","","",""
"2.0","28 Jul 2019","cms","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW28287321.htm","Anonymous employee","Former employee","good place to work in work environment","salary perks are the lowest.","","","",""
"5.0","11 Aug 2019","Trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW28567017.htm","Anonymous intern","Former intern","Great experience interning here","None at all, great place","","","",""
"3.0","23 Jan 2020","Branch Banking","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW31460846.htm","Anonymous employee","Current employee","Good learning knowledge for service","Excessive sales pressure in branch","","","",""
"3.0","5 Feb 2020","nice","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW31689363.htm","Branch operations executive","Former employee, more than 1 year","good company to work with","nothing as such about this cons","South Goa","","",""
"1.0","8 Mar 2020","Worst bank ever as recruitment process isn't good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW32265072.htm","Assistant sales manager","Former employee, less than 1 year","","","Calcutta","I don't know. what ll be good for indusind bank. As they wasted 3-4 hrs to take one interview. Think it how good it was.","Nothing to say about it.","Show more"
"3.0","24 Jul 2020","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW34425865.htm","Asm manager","Current employee","Overall good company to work","No incentives In this company","Indore","","",""
"2.0","6 Aug 2020","Bad","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW34667171.htm","Assistant manager","Former employee, more than 1 year","Nothing as such nothing is good","Waste management n HR at chennai","Chennai","","",""
"4.0","7 Nov 2020","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW38098150.htm","Sdm manager","Current employee, more than 1 year","Good culture among the work","Worst sales and high pressure","Hyderābād","","",""
"3.0","15 Dec 2020","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW39498952.htm","Anonymous employee","Current employee","Good training and work culture","Salary and hikes not upto standard","Mumbai","","",""
"3.0","1 Jan 2021","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW39993386.htm","Regional sales manager","Former employee, more than 3 years","Good brand to work with","Bad working culture for employees definitely","New Delhi","","",""
"2.0","2 Feb 2021","Okay","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW41800486.htm","Service delivery manager","Current employee, more than 1 year","Good learning and experience for freshers","No recognition or pay in organisation","Chennai","","",""
"3.0","16 Feb 2021","Nice environment","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW42552028.htm","Customer service representative","Former employee, more than 1 year","Great staff Team members colleague","Pressure Targets Sales work load","Navi Mumbai","","",""
"4.0","8 Mar 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW43641543.htm","Deputy manager","Current employee","","","Hanumāngarh","No pressure. 
Good working culture","Slow growth and increment.
Biased appraisals","Show more"
"4.0","15 Mar 2021","Hdhd","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW43995016.htm","Anonymous employee","Current employee, more than 3 years","Good working culture and management","Lack of customer base portfolio","Gurgaon, Haryana","","",""
"3.0","9 Apr 2021","acceptable","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW45294890.htm","Associate service delivery manager","Current employee","","","Thiruvananthapuram","good culture
hectic job is not there","no salary hiking
customer interaction less","Show more"
"2.0","17 Apr 2021","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW45658732.htm","Sdm manager","Current employee, more than 1 year","Slow process but easy process","Bad hr ..no proper work culture","Mumbai","","",""
"2.0","6 Jun 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW47951667.htm","Branch manager","Current employee, more than 10 years","Learning Management Skill Development Team Handling Experience","Visibility Not Competitive Less Products","Noida","","",""
"3.0","12 Jun 2021","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW48252587.htm","Deputy branch manager (dbm)","Former employee, more than 5 years","Process oriented. Support system is good.","Lesser compensation. Attrition is high.","Bhubaneshwar","","",""
"3.0","4 Jul 2021","Ok brand","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW49290857.htm","Key account manager (kam)","Current employee, more than 1 year","Salary on time.... nothing good","Office politics too much pressure","Calcutta","","",""
"2.0","28 Aug 2021","Sdm Indusind bank","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW51770305.htm","Service delivery manager","Current employee","Nothing bank is good at","Everything around is really bad","New Delhi","","",""
"2.0","14 Sept 2021","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW52527215.htm","Service delivery manager","Current employee, less than 1 year","","","","Less products no pros
Na
Nooo
Nop
Mn no no no","No work life balance
Naa
Noooo
Noo idea","Show more"
"3.0","6 Dec 2021","Good place","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW56309714.htm","Deputy manager - operations","Current employee, more than 1 year","1. People are friendly here.","1. Should work on weekends.","","","",""
"3.0","25 Aug 2015","General","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW7715549.htm","Anonymous employee","Current employee","Good exposure on new technologies","Less Pay and average management","","","",""
"2.0","2 Feb 2017","Okay","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW13596141.htm","Maharashtra","Current employee","Everyone's a good team player.","No further growth for support role","Mumbai","","",""
"2.0","23 Jan 2018","good startup.","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW18882259.htm","Anonymous contractor","Current contractor","easy work anyone can do.","low salary and shift timing","","","",""
"2.0","20 Dec 2018","Ok oks","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW23919284.htm","Cad executive","Former employee","No hectic work no pressure","Off roll no performance incentive","New Delhi","","",""
"2.0","25 Oct 2020","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW37600008.htm","Business development manager","Former employee, more than 1 year","Only to get experience work","High pressure and technical issues","Coimbatore","","",""
"3.0","27 Nov 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW38811828.htm","Applications support analyst","Current employee","In starting only good salary","no increment after the confirmation","Andheri","","",""
"3.0","2 Feb 2021","good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW41799626.htm","Deputy branch manager (dbm)","Former employee","good bank to work with","work life balance is compromised","Noida","","",""
"3.0","19 Feb 2021","Xyz","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW42747884.htm","Fraud analyst","Current employee","","","Mumbai","Nice job environment 
Reputed organisation","Low salary 
Ancillary Benefits given","Show more"
"3.0","21 Feb 2021","Feedback","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW42868961.htm","Anonymous employee","Current employee","You will find helping teammates.","High pressure, daily revenue target.","","","",""
"3.0","28 Feb 2021","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW43233009.htm","Anonymous employee","Former employee","Nice people to work with","Processes are not as sharp","Mumbai","","",""
"2.0","28 Mar 2021","Not worth","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW44677295.htm","Regional resource manager","Current employee","Kind of nothing pros here","High attrition, no employee engagement","Gurgaon, Haryana","","",""
"2.0","13 Apr 2021","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW45424111.htm","Relationship manager","Current employee","Extreme work pressure is there","Can get Promotion growth every year","New Delhi","","",""
"3.0","17 Apr 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW45651859.htm","Anonymous employee","Former employee","Everything is good at indusind","No bad things to say","","","",""
"3.0","19 May 2021","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW47146441.htm","Systems analyst","Current employee, more than 3 years","Job stability, good learning, exposure","Salary and HR policy and","Chennai","","",""
"3.0","29 Nov 2021","PM","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW56006169.htm","Product manager","Current employee","Dynamic company, decent pay master","Too many silos sales focused","Mumbai","","",""
"2.0","29 Nov 2021","Law Officer","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW56008437.htm","Management trainee","Former employee, more than 1 year","Good People and less work","Bad salary with low increament","","","",""
"2.0","16 Dec 2021","Growth","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW56796397.htm","Avp-business analyst","Current employee, more than 3 years","It Depends upon your manager","No salary growth, small annual bonus,","Mumbai","","",""
"4.0","19 Nov 2012","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW2148193.htm","Assistant sales manager","Current employee, less than 1 year","Product and service is very good","Ambiance is very good in here","Bengaluru","","",""
"1.0","4 Oct 2013","Pathetic work culture with autocratic managers","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW3135312.htm","Relationship manager","Former employee, less than 1 year","","","Nāgpur, Maharashtra","i wish if i or rest of the relationship managers who left can mention one Pros about this company.","Autocratic bosses, mis-selling encouraged & work on Sundays.","Show more"
"1.0","26 Feb 2016","worst company","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW9720764.htm","Asm (area sales manager)","Former employee","","","New Delhi","no pros all cons
nothing can be done here...
all bulls are here which are good for nothing..they harass girls & give support in terma of demotivation","bad salary , bad management & bad work culture","Show more"
"2.0","28 May 2018","Officer","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW20775194.htm","Officer","Former employee, more than 3 years","Nothing as pros to say","Long work hours and pressure","Chennai","","",""
"2.0","6 Sept 2020","Indusind","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW35665691.htm","Branch head","Former employee, more than 3 years","Salary hike is good always","Work life balance Is worst","Ahmedabad","","",""
"2.0","28 Jul 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW50391932.htm","Cso","Former employee, less than 1 year","Supportive team, good for freshers","Pressure no work life balance","","","",""
"1.0","11 Oct 2021","No Growth","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW53853963.htm","Anonymous employee","Former employee, more than 5 years","","","","Working hours are good but other employees benefits not present","Working here is worst experience ...No increment and bonus....worked for 5 years. No increment on promotion as well. Seniors are from same previous organization having strong lobby.","Show more"
"1.0","18 May 2017","No HR policy","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW15115011.htm","Anonymous employee","Former employee","","","Raipur, Chhattisgarh","Nothing for pros in this Bank.","Mental, physical and emotional pressure by seniors. 12 hours working.","Show more"
"1.0","2 Dec 2019","Bdm","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW30656503.htm","Anonymous employee","Current employee","","","","Waste organisation it very torchured from starting joining first day only they will pressure  for business","I lose my patience","Show more"
"1.0","31 Jan 2017","work ethics","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW13576077.htm","Sdm","Former employee, less than 1 year","","","Ahmedabad","satisfactory salary but better try out other good opportunities before joining it","no work culture and poor work ethics. treat employes vry badly to meet branch targets.","Show more"
"1.0","26 Jan 2021","Nothing is good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW41465119.htm","Associate sales manager","Current employee, less than 1 year","","","Calcutta","Nothing is good there. Manage supports only if your performance is high only","Lot of pressure. Boss forces to open FD and health insurance for self source. Huge money spending for traveling","Show more"
"1.0","17 Apr 2021","Not good","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW45652712.htm","Customer service representative","Current employee","","","Chennai","Salary on time. apart from this no benefits.","No increment in sal,high sales pressure","Show more"
"1.0","15 Sept 2020","If u want to spoil your your work life balance pls join IndusInd Bank","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW36005224.htm","Erm","Current employee, more than 1 year","Nothing good about this bank","No clear incentives, No work life balance, senior mgmt will only show you dreams but there is no implementation.","New Delhi","","",""
"1.0","1 May 2015","dont join as an employee","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW6486244.htm","Branch sales manager","Current employee","","","Bengaluru","wont get salary in time....................","always thinking about sale.........sale.............sale...............
without sale ,they wont consider as an employee.........only a BEGGAR.","Show more"
"1.0","3 Nov 2020","Worst bank to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW37938287.htm","Service delivery manager","Former employee","","","","U will succeed if u don’t have self respect","It’s not even a bank ; marvadis who run behind targets ; no respect to employees; Branch mangers insulting juniors mentally..,Such a nightmare","Show more"
"1.0","27 Aug 2021","negative sales","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW51722111.htm","Associate service delivery manager","Current employee, less than 1 year","","","Kapūrthala","no pros at all believe me waste of time","have to give you salary in order purchase debit and credit card low customer base","Show more"
"1.0","3 Dec 2021","Bad place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW56177549.htm","Corporate relationship manager","Current employee, more than 1 year","","","New Delhi","None.. Would not recommend. Not a good place to work","1. Unrealistic expectations 
2. Long working hours
3. Bad culture","Show more"
"1.0","30 Jun 2019","Associate manager","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW27710242.htm","Associate manager","Current employee, more than 1 year","","","Chennai","Good place to work at senior levels","NIL work life Balance and no hikes will be considered at the appraisal","Show more"
"1.0","15 Oct 2019","Client engagement manager","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW29833524.htm","Anonymous employee","Former employee","","","","Nothing good with the organisation","Late working hour
Unwanted pressure
Low salary
Branch manager not having sense how to talk 
And manymore","Show more"
"1.0","29 Jun 2021","Waste of time","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW49046124.htm","Acquisition manager","Current employee","U can balance work life and personal life, no pressure, no sales,","U wont get any incentive or bonus just your salary that you less, and salary depends upon your attendance marking","Chennai","","",""
"1.0","28 Jul 2021","IndusInd Bank Review","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW50382628.htm","Deputy manager","Current employee","","","Chennai","1. Working atmosphere is good in the company.","1. Less salary package.
2. Less increment/appraisal every year.
3. Promotions are hugely based on internal politics.","Show more"
"1.0","2 Dec 2021","Very Bad Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW56137724.htm","Assistant manager","Former employee, less than 1 year","","","","Nothing I guess. Worst place to work.","Only cons. Low salary, high work pressure, no support for employees.","Show more"
"1.0","27 Jun 2014","worst place to work no respect for employees","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW4479233.htm","Acquisition manager","Current employee, less than 1 year","No reason to work for this company","deduction in salary without any reason, firing without giving reason and time , use of slang by managers","Bengaluru","","",""
"1.0","13 Jan 2020","Business Development Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-IndusInd-Bank-RVW31260630.htm","Business dev","Former employee, less than 1 year","","","Eranakulam","Sorry no good reason to work in this organization.","Work pressure, Lack of Support from higher officials, worst infrastructure, worst in class products, worst service...etc.","Show more"
