"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","12 Sept 2022","Good Place to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68946084.htm","Zonal sales manager","Current employee, more than 1 year","","",""
"5.0","23 Aug 2022","Great organization to work with!","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW68223587.htm","Human resources transformation lead","Current employee, more than 10 years","10 years with the organization and everyday is as exciting as the first one. 
I have been fortunate to able to contribute to meaningful projects which impact PAN India employees. The freedom and on-the-job learning opportunities provided at Airtel are immense.","With multiple high stake projects on-going at same time, work life balance becomes challenging cyclically.
However, management is flexible and supports incase of any requirements.","Show more"
"5.0","15 Aug 2022","Distribution team","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW67951982.htm","Distribution head","Current employee, more than 5 years","Excellent company to explore and take your career to next level.....hard work is paid and you get appreciation","Nothing as such, I feel slight more interaction with employees at circle level by PHRO would help","Show more"
"4.0","19 Apr 2022","Transport Quality Head","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW62953845.htm","Manager","Current employee, less than 1 year","Vertical Carrier growth & Process Oriented","Employee safety must be adhere during pandemic.","Show more"
"4.0","15 Aug 2018","Head Decision support","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW21992348.htm","Anonymous employee","Former employee","- lot of independence to  work. 
-Good colleagues / people around who put the company first
- dynamic environment - lots of challenging assignments","culture where late sitting  and working long hours is perceived as hard work. 
Premium given to outsiders  who seem to fit well basis CV / JD but may not be culturally fit","Show more"
"3.0","11 Jan 2016","A WIP Management Trainee Program","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW9145403.htm","Anonymous employee","Former employee","If you are at the right time at the right place, you can get a really good project/role. There are instances of big budget projects being handled by young employees.","The trainee program was not very stable with trainees being shuttled out of the regular career path for short term requirements. I believe, the program is much more structured these days.","Show more"
"5.0","12 Jan 2022","Excellent Place to Work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW57846549.htm","Assurance","Current employee, more than 3 years","Excellent culture and way of working..
Management is good and learning is too good","Not any yet but I am Airtel, So I can make it perfect","Show more"
"4.0","31 Jan 2019","Young Technical Leader","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW24468162.htm","Anonymous employee","Former employee","You get to learn in and outs of Telecom industry. 
High paced growth.","Do not expect a very good work life balance.","Show more"
"4.0","27 Sept 2018","YTL Program","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW22700139.htm","Anonymous employee","Former employee","","",""
"3.0","16 Apr 2021","bad experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45606496.htm","Programme analyst","Current employee","","",""
"4.0","14 May 2018","Manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW20569379.htm","Anonymous employee","Current employee","","",""
"4.0","22 Sept 2024","Great Learning Experience and Supportive Management","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91248241.htm","Executive network operations","Former employee, more than 1 year","Exposure to a vast and complex network: Bharti Airtel has an incredibly large network, providing ample opportunities to work on multiple technologies. This exposure allowed me to enhance my skills and broaden my knowledge in the telecommunications industry.

Supportive management: The management team at Bharti Airtel was highly supportive and readily available to address any concerns or challenges faced by the employees. They fostered a collaborative work environment and encouraged professional development.","Salary expectations: While Bharti Airtel offers excellent learning opportunities, the salary package provided was not as competitive as expected. It would be beneficial for the company to review and align compensation with industry standards to attract and retain top talent.","Show more"
"4.0","7 Oct 2024","Good experience but please focus on advice to remove the stress level.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91683038.htm","Network account manager","Current employee, less than 1 year","There are lots of learning in Airtel environment as multiple products are involved. work culture is good. Love to work here, but needs to focus on some areas, so please refer advice management tab.","There is no Event and party in Airtel Bharti, no hybrid mode.","Show more"
"4.0","10 Oct 2024","Salary and Culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91829436.htm","Deputy manager","Current employee, less than 1 year","Work load, in time salary","internal politics, salary, promotion, no value for experience.","Show more"
"1.0","19 Aug 2024","Worst company to work with","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90239047.htm","Sr manager, marketing","Current employee, more than 1 year","No such pros, except the salary on time, which you get everywhere on this earth.","If you're seeking a fast track to burnout, stress, and a potential visit to a psychiatrist, Airtel might be just the place for you. The level of toxic office politics here is staggering. The HR team seems powerless, and managers are more focused on backstabbing and securing their own positions than on supporting their teams. From day one, you’ll start realizing how right these words are. Leadership and management appear to be driven more by self-interest than by any real vision or concern for employee well-being. It's an environment where survival of the fittest mentality reigns, and unfortunately, it's one of the worst places I've experienced for professional growth or mental health.","Show more"
"3.0","11 Oct 2024","Good so far","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91832278.htm","Sse- development","Current employee, more than 1 year","Not much workload and pressure, Work life balance is there","Not a very good environment,management and culture in Pune Office. Food outlets are not there, limited options in lunch meal","Show more"
"3.0","5 Jun 2024","Airtel Gurugram","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW87959150.htm","Software engineer","Current employee, more than 3 years","Working with Airtel, a prominent player in the telecommunications sector, offers numerous advantages. As an industry leader, Airtel provides significant job stability and security, making it an attractive option for long-term career prospects. Employees benefit from robust career growth opportunities, with clear pathways for advancement and a strong emphasis on internal promotions. The company is committed to employee development, offering regular training programs, workshops, and courses to enhance skills and knowledge. Airtel's work environment is diverse and inclusive, fostering a collaborative culture that values different perspectives and backgrounds. Competitive compensation packages, including performance-based incentives, health insurance, and retirement plans, are standard. Additionally, Airtel promotes an innovative work culture, encouraging employees to contribute new ideas and drive technological advancements within the company.","Despite its many advantages, working with Airtel also has some drawbacks. The demanding nature of the telecommunications industry can result in high-stress levels and long working hours, potentially impacting work-life balance. Employees might face considerable pressure to meet performance targets and deadlines, which can lead to burnout. The hierarchical structure of the organization may sometimes slow down decision-making processes and limit individual autonomy. Additionally, while the company offers competitive compensation, the benefits may vary significantly across different roles and regions, leading to perceived disparities among employees. Furthermore, the rapid pace of technological change in the industry requires constant learning and adaptation, which can be challenging for some individuals to keep up with. Lastly, like many large corporations, Airtel may have bureaucratic hurdles that can affect the efficiency and agility of operations.","Show more"
"4.0","8 Oct 2024","Good Place to work in learnt alot","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91731973.htm","Software qa tester","Former intern","","",""
"5.0","30 Sept 2024","Great pay and benefits","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91481768.htm","Lead ux designer","Former employee, more than 1 year","Great management
Great people to work with
Lots of learning","None as such for design, but it may vary from team to team","Show more"
"4.0","7 Oct 2024","Responsible for onboarding the customers by Farming and Hunting","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91713668.htm","Key account manager","Current employee, more than 3 years","","",""
"5.0","7 Oct 2024","Good place to work in","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91694251.htm","Legal","Former employee","","",""
"2.0","7 Oct 2024","Employee friendly","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91684295.htm","Sr. manager, customer success","Current employee, more than 1 year","Excellection and employee friendly and culture is very good","employee is treated good and taken care","Show more"
"4.0","7 Oct 2024","Software engineer role","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91703274.htm","Software engineer","Current employee","","",""
"5.0","8 Sept 2024","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90813994.htm","Manager","Former employee, more than 3 years","If gets a good leader then sky is the limit","A concrete career growth path should be there for everyone it should not be completely manager driven.. a more inclusive process on career growth will help employee feel motivated..","Show more"
"3.0","3 Oct 2024","Not aligned for growth","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91612791.htm","Growth product manager","Former employee, less than 1 year","i) A lot of good colleagues
ii) Work life balance","i) Limited growth opportunities
ii) Internal politics
iii) No innovation","Show more"
"4.0","30 Sept 2024","It was good to work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91485297.htm","Customer service airtel solitaire process","Former employee, more than 5 years","Yiu can learn a lot here","Growth was very slow to work","Show more"
"4.0","4 Oct 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91617952.htm","Granduate student","Current intern","","",""
"2.0","30 Sept 2024","Good tech, bad management","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91479833.htm","Senior software engineer","Current employee, more than 1 year","","",""
"5.0","30 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91487990.htm","Front end developer","Current employee, more than 3 years","Good company and good luck with your company","Top rated work on the way","Show more"
"2.0","1 Jul 2024","Work at airtel, learning and salary hike","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW88738678.htm","Software engineer","Current employee, more than 1 year","•⁠ ⁠*Learning Opportunities:* The company provides a rich environment for learning, making it an excellent place for freshers to start their careers.
•⁠ ⁠*Technology Stack:* We work extensively with Spring Boot, postgres, mongoDB, kafka, redis, Angular
•⁠ ⁠*Work Environment:* The work environment is positive and conducive to personal and professional growth.","•⁠ ⁠*Salary Hikes:* The process for salary hikes is highly unsatisfactory. Despite the company making significant profits, the hikes are minimal.
•⁠ ⁠*HR Practices:* HR seems indifferent to employee performance and ratings given by managers. The salary hikes appear to be assigned randomly, without considering individual contributions and achievements.
•⁠ ⁠*Project Management:* Project managers often do not perform their duties effectively, leading to mismanagement and inefficiencies.
•⁠ ⁠*Benefits:* Health insurance is the only notable benefit provided. There is no compensation for other needs, no playing area, and the canteen services are subpar.","Show more"
"4.0","2 Oct 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91543109.htm","Business analyst","Former employee","","",""
"5.0","2 Oct 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91544655.htm","Network engineer","Current employee, more than 1 year","","",""
"3.0","28 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91438550.htm","Recruiter","Current employee","","",""
"5.0","21 Aug 2024","Good workplace","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90282273.htm","Sales coordinator","Current employee, more than 1 year","Company HR policy is very good. HR team is very helpful, and supportive. Benefits are best in industry, huge database for work as data analytics , Salary is getting paid on time. Very Good Management","There is no specific reason, good workplace to work,","Show more"
"4.0","26 Sept 2024","Great Organization and strong values","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91382148.htm","Senior manager finance","Current employee, more than 1 year","","",""
"4.0","27 Sept 2024","Good place to learn","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91425579.htm","Business development","Former employee, more than 3 years","","",""
"4.0","27 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91418609.htm","Anonymous employee","Former employee","","",""
"5.0","26 Sept 2024","nice","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91376284.htm","Working student","Current employee","","",""
"3.0","28 Sept 2024","Rate","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91432247.htm","Customer service representative","Current employee, more than 1 year","Good work culture at this company","Concentrate on the task given","Show more"
"4.0","27 Sept 2024","Company review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91402844.htm","Commercial manager","Current employee, more than 5 years","","",""
"2.0","21 Sept 2024","Work culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91216813.htm","Territory manager","Current employee, more than 1 year","Salary on 25th on each month","Bad work culture pathetic environment. HR means nothing.","Show more"
"2.0","26 Sept 2024","Average job promotion","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91378343.htm","Planning engineer","Former contractor, more than 1 year","","",""
"4.0","22 Sept 2024","Best of Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91243792.htm","Senior manager","Current employee, more than 3 years","","",""
"4.0","25 Sept 2024","Great working environment","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91335467.htm","Sde-intern","Former intern, less than 1 year","","",""
"5.0","3 Sept 2024","Dynamic Environment with Great Learning Opportunities","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90691038.htm","Senior devops engineer","Current employee, more than 1 year","Collaborative team culture with continuous learning.
Exposure to cutting-edge technologies in telecom.
Strong focus on automation and efficiency.
Supportive management and leadership.
Opportunities for growth and professional development.","Fast-paced environment may be overwhelming.
High expectations with tight deadlines.
Occasional long working hours.
Complex internal processes can be challenging.
Limited work-life balance at times.","Show more"
"5.0","26 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91380137.htm","Software engineer","Current employee","Good environment for working here","Nothing bad
Everything is good","Show more"
"5.0","19 Sept 2024","NETWORK ENGINEER AT AIRTEL","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91157223.htm","Network engineer","Current employee, more than 3 years","Favourable work environment for women and salary for freshers is great.","It goes to campus placements with only opening for girls.","Show more"
"4.0","25 Sept 2024","Good company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91333263.htm","Talent sourcer","Former contractor, more than 1 year","","",""
"4.0","24 Sept 2024","Culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91298987.htm","Key account manager","Current employee, more than 1 year","","",""
"5.0","23 Sept 2024","great company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91257338.htm","Sales associate","Current employee","enjoyed the environment very relaxed","Bad work culture and boss","Show more"
"5.0","23 Sept 2024","Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91267384.htm","Senior dgm","Former employee, more than 10 years","","",""
"5.0","10 Sept 2024","Software Developer Engineer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90878318.htm","Mern stack developer","Current intern","Languages: Java, C++, C, JavaScript, HTML, CSS ,Python 
Frameworks: Node.JS, Express.JS, PyTorch Geometric ,Numpy, Pandas, Matplotlib, TensorFlow, Keras 
Developer Tools: VS Code, MongoDB Compass, GIT, Google Colab, Jupyter notebook. 
CS Fundamentals: DSA, OOPs, DBMS","Performance limitations
Cost considerations
Security risks
Lack of flexibility
Learning curve","Show more"
"3.0","24 Sept 2024","Basic Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91288758.htm","Sr software engineer","Current employee, more than 1 year","Good tech-stack
Good compensation
Collaborative
Inclusive","Management is poor.
Lack of incentives
No felxibilty and long work hours.","Show more"
"4.0","24 Sept 2024","Nothing","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91326601.htm","Bde - business development executive","Former contractor, less than 1 year","","",""
"4.0","16 Sept 2024","Scm","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91043468.htm","Senior manager","Current employee, more than 1 year","Good work quality and ll get to learn many new things.","Work life balance initially is difficult but with time you will learn to sort the priorities","Show more"
"4.0","20 Sept 2024","Good work life balance","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91193374.htm","Data engineer","Current employee, more than 1 year","Multiple opportunity as its big company","Management politics at its peak","Show more"
"4.0","21 Sept 2024","njghijhjjbj","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91224061.htm","Sales associate","Former employee","","",""
"3.0","22 Aug 2024","Outstanding Service with Minor Hiccups","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90315705.htm","Customer support","Current temporary employee","Working in Airtel customer support involves assisting customers with queries, resolving issues efficiently, ensuring customer satisfaction, and maintaining a positive attitude. Strong communication skills, patience, and product knowledge are essential for providing excellent service.","A con of working in Airtel customer support can be dealing with high-stress situations, including handling irate customers and resolving complex issues quickly. The job can also involve long hours and repetitive tasks, which may lead to burnout over time.","Show more"
"4.0","19 Aug 2024","A great place to work for.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90237650.htm","Young technical leader (ytl)","Current employee, less than 1 year","I am a campus hire for Wynk department at Airtel.
Airtel offers:
- An updated and dynamic tech stack to learn
- The seniors are helpful and guide your way
- The department does have a startup like culture but you are not expected to know everything from before, you are give the time to learn and absorb.
- Airtel also provides for a limited Udemy license which is a great learning tool for freshers.","None that I have noticed till now","Show more"
"3.0","16 Sept 2024","People and Premises is very good for work but work culture is very hectic.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91072890.htm","Human resources","Current intern, less than 1 year","","",""
"4.0","4 Sept 2024","work life","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90699149.htm","Manager","Current employee","I have been using Airtel for the past 2 years and my experience has been very good. Connectivity is very good and it has now started offering other services like entertainment, free calling etc.","Connectivity is very good and it has now started offering other services like entertainment, free calling etc.","Show more"
"3.0","20 Sept 2024","Less pressure, female friendly, work life balance","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91189181.htm","Key account manager (kam)","Current employee","","",""
"4.0","14 Sept 2024","Work life balance is great","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91013194.htm","Data scientist","Current employee, more than 5 years","Not too much work pressure
Flexible timings
Tech Stack is great
Freedom to explore and expand learning
Pay above average","Raises are not that great , just normal 8-12%","Show more"
"4.0","16 Sept 2024","Good please to learn about sales and services","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91071765.htm","Customer service","Former employee, more than 1 year","","",""
"4.0","20 Aug 2024","company environment of APB","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90251580.htm","React developer","Former intern, less than 1 year","Firstly I have worked in Airtel Payments Bank and the environment is very friendly around us even the seniors interact with us in a very friendly way.","The work Culture is not that not good, the seniors interact with us in a very friendly manner but the management is quite disappointing.","Show more"
"3.0","20 Sept 2024",".","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91190014.htm","Customer service representative","Current employee","Great place to work at","Sometimes it is too crowded","Show more"
"3.0","2 Sept 2024","Company Culture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90639732.htm","Senior software engineer","Current employee","1. Good Salary
2. Mobile Benefits, recharge, Brodband and their recharge free, free new DTH connection
3. Enjoy working in a good office","1. Micromanagement which leads to NO Work life balance.
2. Work on outdated tools which will downfall your learning skill in market.
3. Hike is almost equal to NO hike.","Show more"
"4.0","17 Sept 2024","Great Place To Work","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91085379.htm","Area manager","Current employee, more than 3 years","","",""
"5.0","13 Sept 2024","Data Engineer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90977794.htm","Data platform engineer","Current employee, more than 1 year","Environment , Food, on time salary","Parking Issue because of reservation","Show more"
"4.0","16 Sept 2024","Marketing @ airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91058805.htm","Digital marketing manager","Former employee","","",""
"5.0","11 Sept 2024","Very Good Company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90909293.htm","Key acccount manager","Current employee, less than 1 year","Employee friendly company, good management, Company HR policy is too good.","This is good company I don't find any downside this company.","Show more"
"4.0","17 Sept 2024","Good for salary only","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91097995.htm","Senior software engineer","Current employee","","",""
"3.0","17 Sept 2024","Good experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91101408.htm","Sr. executive assistant","Current employee","","",""
"4.0","16 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91051629.htm","Sofware engineer i","Current employee, more than 1 year","","",""
"4.0","6 Sept 2024","Environment is good and the colleagues are very helpful and friendly.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90777769.htm","Bpo/telecaller","Former employee","Good work experience and enjoy a lot during this period.","Learn too many things and also contribute in many works.","Show more"
"4.0","18 Sept 2024","great","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91117722.htm","Project manager","Current employee, less than 1 year","","",""
"4.0","14 Sept 2024","Life at Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91014721.htm","Senior software engineer","Current employee, more than 1 year","Work Life is balance, 
Office Timing is also good","There is no parks for weekend works","Show more"
"5.0","11 Sept 2024","Nice","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90909227.htm","Customer service representative","Current employee, less than 1 year","Best reason is everything
Best reason is company
Best reason is colleagues
Atmosphere
And everyone","Nothing is bad
Everything is perfect 
Everything works smoothly
No tensions","Show more"
"2.0","12 Sept 2024","Lala company pro max","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90974564.htm","Senior software engineer","Current employee, more than 1 year","","",""
"4.0","15 Sept 2024","okokok","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91029087.htm","Network engineer","Current employee, less than 1 year","","",""
"4.0","29 Aug 2024","The company is good and they keep motivate their employees.....o the","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90541698.htm","Senior hardware engineer","Former employee, more than 1 year","Good Brand name while working","The company demands their employees to work 24*7 without interference of their personal life","Show more"
"4.0","6 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90779789.htm","Zonal business manager","Former employee, more than 10 years","Good salary, great people, Multinational company, good health benefits and non-monetary incentives","Very fast paced, short term planning","Show more"
"4.0","14 Sept 2024","Good work place","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91009643.htm","Mis executive","Former employee","","",""
"3.0","29 Aug 2024","Overall good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90545208.htm","Deputy manager","Former employee, more than 1 year","Good environment for corporate culture","Saturday and Sunday weekend but not permitted seniors juniors and use this benifits only seniors.","Show more"
"5.0","10 Sept 2024","Territory sales manager","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90868906.htm","Territory sales manager","Current employee","Friendly
DEI
Carrier growth
Job security
Well pay","No need for a lazy person","Show more"
"4.0","9 Sept 2024","Organisation provide best environment to work.","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90861771.htm","Account manager","Former employee, more than 1 year","On-time salary, Place to learn","sometimes management do not comply with organisational rules.","Show more"
"4.0","12 Sept 2024","Review","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90950756.htm","Sr. qa engineer","Current employee, more than 3 years","","",""
"2.0","22 Aug 2024","Review abt Airtel Digital Acquisition tea,","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90327707.htm","Senior lead sdet","Current employee, more than 3 years","Salary is better than service based companies
API and UI Automation you can learn.","Focus on delivery only u won't get chance for new learning 
Alot of internal politics with in the company, preference given to people who can do politics but not quality work
Management has no visions or future goals
Requirement are not prioritized .","Show more"
"3.0","12 Sept 2024","Don't work here","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90944707.htm","Manager","Former employee, less than 1 year","Good for your career exposure","Too much workload at the same time","Show more"
"5.0","8 Sept 2024","Good company to work with","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90819078.htm","Account manager","Former employee, more than 1 year","Every perks on time and salary is on time","If u get good reporting manager u will survive","Show more"
"5.0","10 Sept 2024","Best Comapny","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90875277.htm","Data analyst","Former employee, more than 1 year","Helping Environment 
Good salary
Very nice place","Too much of work
Hard to get leaves","Show more"
"4.0","13 Sept 2024","Environment","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW91003282.htm","Asm (area sales manager)","Current employee","","",""
"5.0","6 Sept 2024","cost","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90786017.htm","Chartered accountant","Current employee, more than 3 years","you get a rich experience and a immaculate environment","work load is real here","Show more"
"5.0","8 Sept 2024","Network Engineer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90826061.htm","Deputy manager","Current employee, less than 1 year","","",""
"4.0","11 Sept 2024","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90934339.htm","Software engineer","Former employee","","",""
"3.0","12 Sept 2024","Rev","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90943685.htm","Bss support engineer","Former employee, more than 1 year","","",""
"3.0","9 Sept 2024","Good overall","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90837820.htm","Intern","Former intern, less than 1 year","","",""
"4.0","9 Sept 2024","Excellent","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90842947.htm","Anonymous employee","Current employee","Fully empowered, freedom and complete ownership","Pressure , absence of mental piece","Show more"
"3.0","7 Sept 2024","Is it a good role","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90803056.htm","Planning engineer","Former employee, more than 1 year","","",""
"5.0","8 Sept 2024","noc engineer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90816073.htm","Noc engineer","Current employee, more than 1 year","","",""
"4.0","30 Aug 2024","N12,000,000 - N16,000,000 (P/A)","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90566753.htm","Account manager","Former employee, more than 5 years","Global company with presence across over 21 countries across various continents.
Second largest telecom provider in Nigeria.","High work load ratio viz a viz other telecom operators out of Nigeria.","Show more"
"4.0","9 Sept 2024","Nice choice","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90830961.htm","Assistant manager","Current employee, more than 1 year","","",""
"5.0","25 Aug 2024","Feedback","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90408563.htm","Head of b2b service delivery","Current employee, more than 10 years","Great place to work 
Learn, Deliver & Grow consistently 
Open Culture 
Customer obsession
Diversity","There is a scope to improve Customer Experience","Show more"
"4.0","21 Aug 2024","A dynamic place to work at","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90290738.htm","Ytl","Current employee, less than 1 year","I have been hired as a YTL for Airtel Digital.
The atmosphere is really dynamic and startup like. The learning curve is sharp and you get to delve with newer tech stack instead of legacy systems.","Working long hours to get the work done.","Show more"
"4.0","3 Sept 2024","Good Company","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90660326.htm","Senior manager","Current employee, less than 1 year","","",""
"4.0","4 Sept 2024","Good company to work with","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW90707177.htm","Assistant manager","Current employee, less than 1 year","Very helpful.Good HR policies.
Very nice place to work with.","You should avoid posh.....very strong with their policies","Show more"
