"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"3.0","18 Apr 2021","Decent","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45671864.htm","Process analyst","Current employee","Lot of learning for a fresher.
Management is professional and supportive.
5 working days
Salary on time","Nothing new to learn it is a monotonous work after 1year","Show more"
"4.0","22 Apr 2021","Awesome learning experience in Airtel","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW45895562.htm","Anonymous employee","Former employee, more than 3 years","Airtel is Mecca of learning in Telecom","Work life balance takes a hit","Show more"
"3.0","2 May 2021","Opportunities but no leaders","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW46357254.htm","Data scientist","Former employee, more than 1 year","- Work life bal.
- Good Salary
- Nice campus","- Unmotivated and old leaders
- lack of Innovation","Show more"
"3.0","27 May 2021","Basically a field sales executive","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW47551245.htm","Account manager","Current employee, less than 1 year","","",""
"2.0","2 Jun 2021","Very Bad tech cuture","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW47795019.htm","Senior software engineer","Former employee, less than 1 year","- Good Campus and cafeteria","- Manger treat themself as boss and only want work to be done without quality
-Not much tech learnings","Show more"
"4.0","17 Jun 2021","Good to start your career","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW48493695.htm","Sales executive","Former employee, more than 3 years","","",""
"5.0","7 Jul 2021","Procurement","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW49414130.htm","Supply chain","Former contractor, more than 1 year","Great team work and excellent personality","You have to work and meet all vendors needs","Show more"
"4.0","9 Jul 2021","Great working environment","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW49532864.htm","Senior zonal sales manager","Former employee","","",""
"5.0","24 Jul 2021","Startup at the scale of Pan India","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW50219616.htm","Senior lead software engineer","Current employee, more than 1 year","","",""
"4.0","1 Aug 2021","Good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW50555160.htm","Manager","Current employee, more than 1 year","","",""
"5.0","4 Aug 2021","Good organization","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW50669521.htm","Anonymous employee","Former employee","","",""
"4.0","31 Aug 2021","Good learning experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW51873082.htm","National head marketing","Current employee, more than 8 years","","",""
"4.0","12 Sept 2021","Good Place to start with","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW52423730.htm","Senior network engineer","Former employee, more than 3 years","","",""
"4.0","22 Sept 2021","Cool work environment and learning is also good","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW52922953.htm","Software developer engineer","Current employee","","",""
"5.0","24 Sept 2021","Organisational climate","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW53035654.htm","Head of talent management","Former employee","Great work environment
Great pay and benefits
Great brand and international exposure","Cultural differences across the region may make it difficult to settle innitially","Show more"
"5.0","14 Oct 2021","Cro","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW53993240.htm","Customer relationship officer","Current employee, more than 1 year","Right place to excel
Cooperative environment","Target in present time
Time limit","Show more"
"5.0","19 Oct 2021","Good working environment","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54174657.htm","Qa engineer","Current employee, less than 1 year","1- Friendly working environment
2- Lots of learning in different verticals
3- Opportunity for Ownership","Some times work life balance can not maintained","Show more"
"5.0","22 Oct 2021","holding responsibility of isp of jammu work area","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54337163.htm","Senior executive operations","Current employee, more than 8 years","company environment whicch helps to grow","kra process is not transparent","Show more"
"5.0","6 Nov 2021","Account Manager, B2B-Corporate Sales","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW54997773.htm","Account manager","Current employee","Employee and customer centric
Strong post sales support
Work culture is very encouraging
Good work life balance","Nothing Bad felt as of now","Show more"
"4.0","14 Nov 2021","Great company to learn and grow in career","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55355274.htm","Zbm","Former employee","","",""
"2.0","22 Nov 2021","Accountant - Officer","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55691685.htm","Anonymous employee","Current employee, more than 3 years","Brand
Experience in a Large Company
Airtime and Data benefit
Staff Bus","Low Pay, Huge Workload
Work-Life balance is absent.","Show more"
"5.0","22 Nov 2021","Experience","https://www.glassdoor.sg/Reviews/Employee-Review-Bharti-Airtel-RVW55729137.htm","Manager, customer experience","Current employee, more than 1 year","Startup like aggressive environment enabling excellent growth/learning opportunities.
Supportive management.
Great cross-functional synch.
Superb Customer Focus.","Nothing found as of now..","Show more"
