review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
5.0,28 Jul 2020,Best for work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW34495725.htm,Freelancer,"Current employee, more than 3 years","Rājkot, Gujarat",Work conveniently and better atmosphere,In fact there is no reason to say anything downgrading,Show more
4.0,22 Feb 2014,Good working culture and employee satisfaction oriented company.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW3749767.htm,Senior engineer ( procurement and contracts),"Current employee, more than 3 years","Mundra, Gujarat",,,
4.0,19 Jan 2018,Senior Engineer @ Adani Ports,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW18810648.htm,Anonymous employee,"Current employee, more than 1 year",,wide area to learn. Work life balance.,sometimes maintenance breakdown pile up,Show more
5.0,20 Oct 2021,Good environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW54237054.htm,Operations supervisor,Current employee,Mundra Bandar,,,
2.0,27 Nov 2021,Company is def to remove anyone at anytime with a lots of politics.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW55908305.htm,Senior engineer,"Current employee, more than 1 year",,,,
4.0,14 Oct 2016,Great Learning,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW12308594.htm,Assistant manager,"Former employee, more than 3 years","Mundra, Gujarat",Market Leader so you will get to learn more.,Over time working for few days in a month.,Show more
5.0,24 Aug 2021,Good Organization to work for,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW51541196.htm,Anonymous employee,"Former employee, more than 5 years",Ahmedabad,,,
4.0,18 Nov 2021,Senior engineer - Shift Incharge - Liquid Terminal- Operations,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW55547951.htm,Senior engineer,Current employee,Chennai,,,
5.0,18 Dec 2019,Place to work with dedication,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW30939627.htm,Anonymous employee,Current employee,,,,
4.0,19 Jan 2017,Good company to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW13391097.htm,Assistant manager,"Current employee, more than 1 year",Ahmedabad,"Good opportunities
Good compensation
Good Facilities
Independence
Work life balance","Politics
Desi culture
Local crowd
No female employees
HR",Show more
4.0,30 Nov 2019,Good Organization,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW30633752.htm,Anonymous employee,Current employee,,"Giving decision making authority 
Transparent
focus on development of employees","too much cost saving in the organization
can do better",Show more
3.0,20 Jan 2020,Head,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW31401648.htm,Safety,"Current employee, more than 3 years",Ahmedabad,Good organisation with employee training for next level,Structure reporting is a concern to look at,Show more
5.0,13 Jan 2022,110kv switch yard and 11kv substation maintenance,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Ports-and-Special-Economic-Zone-Limited-APSEZ-RVW57862179.htm,Anonymous employee,"Current employee, more than 5 years",Chennai,Best work  experience in my port,Most challenging work new project,Show more
