"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"4.0","11 Oct 2024","It was good working with organization, Each senior management is supportive","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91855379.htm","Project manager","Former employee, more than 1 year","Mahape","My reporting managers were supportive","Very less project for MIS data analyst role","Show more",""
"2.0","11 Oct 2024","More Crowd - Less projects","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91845683.htm","Specialist","Current employee, more than 3 years","","Dinner or snacks
Decent projects (very few) which use latest tech","Rythm policy
Zero hikes
Incompetent upper management starting from CEO
Pointless hiring
Outdated Projects","Show more",""
"4.0","8 Oct 2024","Good company withlot of Learing scope","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91750161.htm","Business analyst","Current employee, more than 3 years","Hyderābād","Will get chance to learn on new technologies like Intelligent Process Automation, Artificial intelligence etc..","Slow in appraisal cycle takes almost many months after discussing hikes to get appraisal letter and amount.","Show more",""
"5.0","12 Oct 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91868976.htm","Engineer - cloud services and software","Current employee, less than 1 year","Hyderābād","","","",""
"5.0","2 Oct 2024","Best Company to learn and grow","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91548383.htm","Engineer - cloud services and software","Current employee, less than 1 year","Bengaluru","I have joined LTIM from campus recruit last year and this is my first fulltime job, Starting from the internship my company provided best in class on job training and after the training I joined LTIM as an FTE, Undoubtedly I can say they provided 
- Best in Class on Job Training 
- Supportive management and seniors
- Friendly work culture
- Best place to learn and grow","Honestly speaking there is nothing to mention as Cons,","Show more",""
"4.0","8 Oct 2024","The learning and work life balance depends upon the projects and clients you work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91754111.htm","Senior automation qa engineer","Current employee, more than 1 year","Chennai","Since it's a service based organisation we get to work with multiple projects which requires different skillsets. So we get many opportunities to learn many new things and enhance our skillset.","Nothing much, apart from hikes","Show more",""
"2.0","21 Aug 2024","Not Much Projects","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW90308138.htm","Sr senior specialist - package implementation sap","Current employee, less than 1 year","Bengaluru","They will not even ask you weather you are alive or dead even after 5 months of bench. Actual bench tenure is 120 days if you not placed in any project after joining LTIM.","1. They don't have much clients or projects. Struggling to get one but hiring the candidates like anything. 
2. Do not have a proper IJP process. If you apply for any role, WFM, hiring manager will automatically ghost and after 1 week they will reject by default. Talent marketplace portal sucks. You never get internal projects from this portal. 
3. Think twice or thrice before joining. Or consult any friends or family members about LTIM. 
4. No one will help you inside if you don't get into project immediately after joining. 
5. Ask hike as much as possible before releasing the offer letter, once you join done you wont get much hike. 
6. 2days mandatory office with 6hrs per day. 
7. Client interview is as much as difficult as you can easily clear IAS.","Show more","4"
"1.0","19 Sept 2024","Never Ever Join","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91157038.htm","Specialist","Current employee, more than 5 years","Hyderābād","Office premises are neat. Free coffee, water and parking. Salary gets credited on time.","Been here for 7 years. If you became a senior resource in the project, management will haunt you, they'll never leave you, the only way out is to switch company. 
After merger, the new management screwed up erstwhile Mindtree's work culture, values and policies.
90% of the employees are not happy with the company. I met none who is happy here. 
They care only about clients, employees are treated like slaves. Our CEO only said, only clients are important, so not our health,family time etc.
No policy on promotions and increments. God only knows,when they'll give promotions/hikes. HRs are not trustworthy and not helpful.
Except salary there are no other benefits like rewards,bonus, appreciations, timeouts,food etc. They're ton more, which I didn't write here.
If you're still joining after reading my review, God only can save you.","Show more","2"
"3.0","10 Oct 2024","Good company but less to no hike","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91828946.htm","Software engineer","Former employee, more than 3 years","Airoli","- salary on time
- shift allowances
-offices everywhere in India
- hybrid
- very less micromanagement","- increment and hikes close to 0 with no fixed time","Show more",""
"4.0","11 Oct 2024","Great for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW91846889.htm","Specialist data engineering","Former employee, less than 1 year","Navi Mumbai","","","",""
