"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_reviewHelpfulCount__vhobW"
"1.0","8 Aug 2024","Do not join this organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89904202.htm","Qa engineer","Current employee, more than 3 years","Bengaluru","Good clients
Job security if you are in project","Financial growth is nill
No career growth 
No proper policies","Show more",""
"3.0","11 Jul 2024","Good and relaxed environment but totally depends on the clients.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89043501.htm","Module lead","Current employee, more than 1 year","Pune","","","","1"
"3.0","19 Jul 2024","Good company to start","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89307354.htm","Senior software engineer","Former employee, more than 3 years","Pune","","","",""
"3.0","16 Jul 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89197862.htm","Senior data engineer","Current employee, more than 5 years","Hyderābād","","","",""
"3.0","23 Mar 2024","A decent organization in order to start your corporate life","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW85644264.htm","Senior consultant","Current employee, more than 3 years","Mumbai","Pros -
1. Decent work-life balance.
2. Projects are good.
3. Trainings are given by company esp. to freshers when hired.
4. Campus is good.
5. Supervisors are good & even better colleagues.","Cons -
1. The company culture & benefits before merger were very good.
2. Salaries offered are low, but yearly increments/ appraisals offered is almost nil. You may get a promotion, but no increment in salary along with it.
3. Not a company to settle down.
4. Trainings are offered only in certain projects, but not much scope of cross-skill trainings.
5. Many projects require rotational shifts. So if allotted in such projects, need to work accordingly.
6. The earned leave policy was very good before the merger. Bad, after the merger.
7. Sick leave cannot be taken for 1 day after merger. Have to compulsory take at least 3 days.","Show more",""
"4.0","21 Jul 2024","Nice organization to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89354079.htm","Specialist","Current employee, more than 5 years","Mumbai","Work from home
Less work pressure","Less Appraisal 2-3%
No Bonus","Show more",""
"2.0","19 Jul 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89296216.htm","Software eginner","Current contractor","Gurgaon, Haryana","it is a secure company, many perks","growth is stagnant one can feel this way","Show more",""
"2.0","24 Jul 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89438127.htm","Senior cloud engineer","Current employee, more than 3 years","Chennai","","","",""
"4.0","11 Jun 2024","Senior data engineer LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88156231.htm","Senior data engineer","Former employee, more than 3 years","Pune","Good Company as per the culture. Gives Decent package.","Not very flexible enough when we try to switch projects internally.","Show more",""
"3.0","18 Jul 2024","A good place for seniors","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89260298.htm","Software engineer","Current employee, more than 1 year","Mumbai","","","",""
"4.0","22 Jun 2024","Good if you want to learn","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88497729.htm","Quality engineer","Current employee, more than 3 years","Bengaluru","Work culture is good no one is pushing you to work continuously,just meet your basic expectation you can survive","Same way for someone who joined as fresher will not have any appreciation irrespective of performance","Show more",""
"3.0","23 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89398999.htm","Sr  developer","Current employee","Pune","","","",""
"5.0","19 Jul 2024","everything is good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89314210.htm","Senior software engineer","Current employee, more than 5 years","Mumbai","","","",""
"3.0","20 Jun 2024","Not so rewarding","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88434291.htm","Senior data engineer","Current employee, more than 3 years","Noida","If you get to work on a government project it is a great learning experience from both the technology and client interaction point of you.","Not so rewarding. Even after being a full star employee for 3 years, the Increment was minimum with no promotion but only fake promises.","Show more",""
"3.0","21 Jul 2024","Specialist","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89355252.htm","Anonymous employee","Current employee","","","","",""
"4.0","15 Jul 2024","My view on the company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89180109.htm","Hfm consultant","Current employee","Navi Mumbai","","","",""
"4.0","16 Jul 2024","Review related to working culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89181232.htm","Data engineer","Current employee","Calcutta","Very good working culture, 
Seniors are very helpful","Data and cloud related projects are more","Show more",""
"3.0","3 Jun 2024","less salary","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW87901589.htm","Cloud engineer","Current employee, more than 3 years","Pune","company having good job opportunities","They are not providing promotion as well as salary hike. after completing 3 years as cloud engineer they not give any promotion and salary hike. Im not sure everyone is facing same issue or not, but in my project I faced and also my manager telling that they not having enough budget to promote you.","Show more",""
"4.0","4 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88853264.htm","Software engineer","Former employee, more than 3 years","Bengaluru","Good place to work, I got placed as software Engineer trainee.","When i working, there was strict 9.30 hours work log.","Show more",""
"5.0","15 Jul 2024","Good company for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89147005.htm","Software engineer","Current employee","","","","",""
"4.0","15 Jul 2024","Growing organization","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89145907.htm","Cloud operations engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","18 Jul 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89261598.htm","Software engineer","Former employee, more than 1 year","Bengaluru","","","",""
"3.0","2 Jul 2024","About company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88779002.htm","Senior software engineer","Current employee, more than 3 years","Hyderābād","Good work life balance and you can really get to work with good technologies if you're in good team.
They train freshers. The academy.","Very less hikes.
Things are slow.. you might not work with great technologies","Show more",""
"4.0","23 Jul 2024","Decent company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89394942.htm","Senior software engineer","Current employee, more than 1 year","Pune","Good Pay
Employee Friendly Environment
Time Flexibility","Projects
Appraisal
Opportunities
Long working hours
Management","Show more",""
"4.0","13 Jul 2024","Work life balance is good.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89109904.htm","Anonymous employee","Current employee","","Work life balance, and supportive colleagues.","Salary hike is not much.
Even visa- holders are not getting onsite opportunity.","Show more",""
"4.0","15 Jul 2024","good organization to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89177879.htm","Consultant","Former employee, more than 1 year","Pune","","","",""
"5.0","16 Jul 2024","Good to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89181372.htm","Specialist - software engineering","Current employee, more than 3 years","Bangalore Rural","","","",""
"5.0","15 Jul 2024","Provides good learning opportunity","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89146068.htm","Software engineer","Former employee, more than 1 year","Chennai","Good working environment, Evening snacks,","CHS is not very clear in explanation","Show more",""
"3.0","17 Jul 2024","Growth","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89245690.htm","Senior software engineer","Current employee, more than 1 year","Pune","","","",""
"4.0","18 Jun 2024","Technology specialist","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88349450.htm","Specialist","Current employee, more than 1 year","Hyderābād","1. The company is trying and addressing complex projects and adapting new technologies post merger with L&T Infotech.
2. The special leave policy (Birthday and Anniversary) and employees choosing holidays for festivals.","The sick leave policy sucks. Employee should at least take 3 consecutive days of leave to even apply sick leave.","Show more",""
"5.0","16 Jul 2024","Pros and Cons","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89202284.htm","Senior software developer","Current employee, more than 1 year","Chennai","","","",""
"2.0","25 May 2024","Learning wise its good, don't join","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW87635077.htm","Data engineer","Current employee, more than 3 years","Bengaluru","Learning wise its good , please don't join","if I talk about increment here is nothing 🥺.
If you join company on jun .
Then your eligibility for first increment after next to next years because till next April you are not complete 1 years after DOJ .
 After 1.6 years - 50 k hike
After 2.6 years from DOJ - 20k hike 
Currently I'm working on 4.7 lpa after 2.6 years of experience 🥺.","Show more","1"
"1.0","21 May 2024","Dont Join in this company If you are fresher or Core work hard Employee","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW87492234.htm","Junior engineer (imts)","Current employee, more than 1 year","","Luckily I got a good manager and team other than that nothing is good here","Worst HR management ever seen in my life. I dont know where they hide so called policy dictionaries.Nothing makes sense here. Whatever you ask they came up with the excuses instead of answers.","Show more","1"
"3.0","15 Jul 2024","Recommended for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89170475.htm","Senior data analyst","Former employee, more than 3 years","Navi Mumbai","","","",""
"4.0","16 Jul 2024","Provides good work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89180548.htm","Senior software engineer","Current employee","Pune","","","",""
"5.0","16 Jul 2024","Good place to start career","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89187235.htm","Senior software engineer","Current employee, more than 5 years","Calcutta","","","",""
"5.0","16 Jul 2024","Fair Pay as a Fresher","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89190673.htm","Senior software engineer","Former employee, more than 1 year","Calcutta","","","",""
"4.0","12 Jul 2024","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89089803.htm","Senior cloud engineer","Current employee, more than 1 year","Bengaluru","","","",""
"3.0","17 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89257515.htm","Module lead","Current employee, more than 1 year","Bengaluru","Satellite offices are available in LTIMINDTREE","admin people are rude, pressure to take project","Show more",""
"5.0","11 Jul 2024","Very good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89046495.htm","Associate principal","Current employee","Noida","","","",""
"3.0","14 Jul 2024","good to work, depends on the project and team","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89128099.htm","Senior data engineer","Current employee","Hyderābād","","","",""
"2.0","26 May 2024","do not join, frequent cost cutting and termination. Fake Promises by HR and managers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW87661354.htm","Specialist","Current employee, less than 1 year","Pune","No pros. Only lot of cons","DO NOT JOIN THIS COMPANY .WORST PEOPLE WORST MANAGEMENT. This company is in loss after merger.
No Long term projects. Most of time you will spend on bench.
No hike.
Frequent Lay offs.HR force to resign without salary.
No variable pay(only 20-30%)
Lots of politics
Mostly P2 and P3 grades are facing layoffs.","Show more","2"
"4.0","20 Jul 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89324203.htm","Senior software engineer","Current employee, more than 1 year","Bengaluru","","","",""
"2.0","25 May 2024","No work from Home, good food.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW87642503.htm","Senior engineer","Current employee, less than 1 year","Pune","Food is free for one time.
Office cabs carries only 4 people including driver so you can sit comfortably.
People at company are nice to meet (touchwood).","Manager is strict for no reason. 
They will say that we will get work from home depending on work. And when we do nice work they say no to work from home and say that client is not","Show more","1"
"4.0","16 Jul 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89189340.htm","Delivery manager","Current employee, more than 3 years","Bangalore Rural","","","",""
"4.0","4 Jul 2024","Better than Competitors","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88853040.htm","Service management specialist","Current employee, more than 5 years","Bengaluru","Annual appraisal is more systematic as compared to other service based Indian Companies","Delay in sharing the Compensation letters from past few years","Show more",""
"2.0","29 Jun 2024","As","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88708533.htm","Associate trainee","Current employee","","Every one know about mnc","They seniors didn't treat well
Based on graduation, there behaviour is good,
From Bsc degree, they treat like coolies and less salaries with bond
From Btech , they treat very well with high salarys","Show more","1"
"3.0","19 Jun 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88385859.htm","Software engineer","Current employee, more than 3 years","Bengaluru","Work-life balance
Flexible working hours
Hybrid work culture","Appraisals are worse after the merger. 2-3% hikes. 
They don't have enough projects and they train in some stack then allocate project in different stack for freshers it is difficult to change tech stacks easily.","Show more",""
"4.0","15 Jul 2024","pros and cons","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89154063.htm","Data scientist","Current employee","","","","",""
"4.0","17 Jul 2024","Overall good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89254844.htm","Senior cyber security consultant","Current employee, more than 3 years","Pune","Job security
Good exposure 
Work life balance","Appraisal process is very difficult.","Show more",""
"3.0","6 Jul 2024","No hikes from last two years","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88898439.htm","Senior software engineer","Former employee, more than 1 year","Hyderābād","No micro management, Good resources to learn new technologies","No worklife balance
No hikes or very less hikes even if you are excellent coder","Show more",""
"4.0","16 Jul 2024","Was good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89195899.htm","Senior data engineer","Current employee, more than 1 year","Bengaluru","","","",""
"4.0","17 Jul 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89221006.htm","Software qa engineer","Former employee, more than 1 year","Bengaluru","","","",""
"3.0","12 Jul 2024","Developer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89093418.htm","Salesforce developer","Former employee","","Work life balance
Good offc infrastructure","Sick leave system is very bad
Higher management is not reachable easily for any queries","Show more",""
"4.0","16 Jul 2024","Great company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89187952.htm","Specialist","Current employee, more than 8 years","Mumbai","","","",""
"3.0","12 Jul 2024","AbIntio Developer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89087056.htm","Data engineer","Current employee, more than 3 years","Bengaluru","Work Life balance in it culture","No learning only smae work throughout the say","Show more",""
"4.0","12 Jul 2024","Work Life  Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89087023.htm","Senior software engineer","Current employee","Bangalore Rural","","","",""
"4.0","14 Jul 2024","DevOps Engineer at LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89142532.htm","Devops engineer","Current employee, more than 1 year","Ghansoli","","","",""
"4.0","15 Jul 2024","Nice place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89150741.htm","Senior data engineer","Current employee, more than 5 years","Hyderābād","","","",""
"3.0","18 Jul 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89267922.htm","Software engineer","Current employee","","","","",""
"3.0","19 Apr 2024","LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW86486337.htm","Senior software engineer","Former employee","Chennai","• LTI Mindtree has a strong reputation in the industry and is known for its innovative and cutting-edge technology solutions.

• It has a strong team of experienced professionals and provides excellent customer service.

• The company provides onsite opportunities to employees, which allows them to work closely with clients and gain valuable experience.

• Job security is high and there are plenty of opportunities for career growth and advancement.","• The work environment is often very demanding and can be stressful.

• The salary offered may not be as competitive as other companies in the industry.

• It may be difficult to get onsite opportunities as there is a lot of competition from other companies.","Show more",""
"4.0","11 Jul 2024","Nice Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89043017.htm","Senior consultant","Current employee","Noida","","","",""
"3.0","16 Jul 2024","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89199079.htm","Junior engineer","Current employee, more than 1 year","Bengaluru","WFH
Learning opportunity
Cab service available","Low Appraisal
No appreciation
HR wont be available most of the time","Show more",""
"3.0","17 Jul 2024","Good Service Organization","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89219372.htm","Associate director","Current employee, more than 3 years","Bengaluru","","","",""
"4.0","19 Jul 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89298521.htm","Senior cloud engineer","Current employee, more than 3 years","Calcutta","Work life balance
Learning Opportunities","No such cons we found here.","Show more",""
"2.0","15 Jul 2024","Great for freshers","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89146813.htm","Senior quality assurance engineer","Former employee","Chennai","","","",""
"3.0","15 Jul 2024","Average to work for.","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89150170.htm","Specialist","Current employee, less than 1 year","Noida","","","",""
"3.0","7 Jul 2024","LTIMindtree - short review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88918139.htm","Senior cloud engineer","Current employee, more than 3 years","Hyderābād","Pros - 
Good upper management
good facilities as per service-based company standards
easy reallocation policy","Cons- 
Poor growth as per salary
slow career growth
poor increments","Show more",""
"4.0","7 Jul 2024","Good in terms of salary wise","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88917593.htm","Senior cloud engineer","Current employee, less than 1 year","Hyderābād","","","",""
"2.0","8 Jul 2024","Wasted my time here","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88937512.htm","Senior data engineer","Current employee, less than 1 year","Hyderābād","","","",""
"3.0","17 Jul 2024","Work life balanace","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89254369.htm","Senior consultant","Current employee","","Good and supportive colleagues
Good food","As of now no cons","Show more",""
"3.0","18 Jul 2024","Software engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89268321.htm","Software engineer","Current employee, more than 3 years","Pune","work life balance
nice projects","9.15 hr working
hard to change skill set","Show more",""
"1.0","5 Aug 2024","Average cooperate company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89797899.htm","Senior software engineer","Current employee","Chennai","","","",""
"3.0","20 Mar 2024","Associate Principal Business Analyst","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW85524493.htm","Associate principal business analysis","Former employee, more than 1 year","Pune","Diversified Services Portfolio: It brings together complementary strengths, resulting in a more robust portfolio of offerings across various verticals.
Expanded Client Base: The merger allows for serving a more diversified client base across end-to-end industry value chains1.
Stronger Domain Expertise: The combined entity is expected to have expanded partner ecosystems and strengthened domain expertise.
Lower Risk: Being part of the same parent company, Larsen & Toubro (L&T), offers better diversification and expansion opportunities.","Integration Challenges: Merging two large companies can lead to integration challenges, including cultural alignment and system harmonization.
Resource Availability: There may be challenges around resource availability and lack of specialized skills, which are critical in the IT services industry.
Market Adaptation: The global tech industry is rapidly changing, and the merged entity will need to adapt its service offerings and delivery models to meet new demand.","Show more",""
"5.0","6 Jul 2024","A good place for a start","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88906368.htm","Azure cloud engineer","Current employee","Hyderābād",">> Work culture is good
>> Good hike is given
>> Cabs and food facilities provided","None to express for organization","Show more",""
"4.0","13 Jul 2024","Good company to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89118685.htm","Software engineer","Former employee, more than 1 year","Mumbai","","","",""
"3.0","14 Mar 2024","its just an ok company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW85334327.htm","Senior software engineer","Current employee","","you can work get paid for what your CTC offers & get a 5% hike if lucky with no promotion.","people who put paper & leave the company immediately are the ones who get recognized here, they do get early promotions & hikes despite doing the same work as other teammates. need to learn how to butter or you would not get recognized for any of your efforts.","Show more",""
"4.0","12 Jul 2024","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89091684.htm","Sr specialist software engineer","Current employee","Hyderābād","","","",""
"4.0","15 Jul 2024","Nil","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89155701.htm","Software engineer","Current employee","Chennai","","","",""
"2.0","11 Jul 2024","No job security","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89057366.htm","Data engineer","Former employee, more than 1 year","Hyderābād","","","",""
"4.0","14 Jul 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89133787.htm","Anonymous intern","Former intern, less than 1 year","","","","",""
"4.0","14 Jul 2024","Not applicable","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89140895.htm","Test specialist","Current employee","Bengaluru","","","",""
"4.0","17 Jul 2024","-","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89232493.htm","Software engineer","Former employee, less than 1 year","Bengaluru","","","",""
"4.0","10 Jul 2024","Overall Good Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89020207.htm","Specialist software engineer","Current employee","Pune","","","",""
"1.0","27 Jul 2024","No hike -politics","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89554740.htm","Quality engineer","Current employee, more than 3 years","Pune","Nothing, before merger LTI good, after merging with mindtree it becomes worst","Nothing good, 
No compensation 
No hike 
No work life balance 
Office politics
Irresponsible HRs","Show more",""
"5.0","16 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89210580.htm","Business analyst","Current employee, more than 3 years","","","","",""
"4.0","16 Jul 2024","career","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89201102.htm","Senior software engineer","Former employee","Hyderābād","","","",""
"4.0","16 Jul 2024","Workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89212964.htm","Engineer","Current employee","Bangalore Rural","","","",""
"4.0","9 Jul 2024","Good Place to Work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88991484.htm","Senior data engineer","Current employee, more than 1 year","","","","",""
"3.0","12 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89108083.htm","Senior manager","Current employee, more than 1 year","Pune","Good, Allows you learn new things","- No Salary Hikes
- After Merging with Mindtree, policies have worsened","Show more",""
"3.0","5 Jul 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88871979.htm","Sr. software engineer","Current employee, more than 5 years","Pune","You will get nice client","Workload is more not get enough time for the worked assigned . Forced to work on weekends","Show more",""
"5.0","13 Jul 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89120894.htm","Junior java developer","Current employee, more than 3 years","Noida","","","",""
"3.0","16 Jul 2024","NA","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89192741.htm","Data engineer","Current employee, more than 3 years","Chennai","Good but can be better","everything which cant explain here","Show more",""
"3.0","16 Jul 2024","abcd","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89217593.htm","Consultant","Current employee, more than 1 year","Pune","office at multiple locations
job security","increment / appraisal is very less","Show more",""
"5.0","15 Jul 2024","**","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89168009.htm","Quality engineer","Current employee","Hyderābād","","","",""
"3.0","14 Jul 2024","LTIMindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89141234.htm","Senior software engineer","Current employee","Pune","","","",""
"3.0","15 Jul 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89150772.htm","Administrator","Current employee, more than 3 years","Chennai","","","",""
"4.0","11 Jul 2024","Company review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89051512.htm","Specialist data engineering","Current employee, more than 1 year","Calcutta","1. Flexible work culture
2. Paid time off
3. Paid enough","No cons as of now","Show more",""
"3.0","6 Jul 2024","Ltimindtree","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88907283.htm","Senior data engineer","Current employee, less than 1 year","Pune","","","",""
"4.0","10 Jul 2024","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89013186.htm","Software engineer","Current employee, more than 3 years","","","","",""
"5.0","11 Jul 2024","Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89063533.htm","Tech lead","Current employee, more than 1 year","Pune","","","",""
"5.0","20 Jul 2023","""Revolutionizing the Future: Cutting-Edge Innovations Unveiled at Tech Summit 2023!""","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW78421315.htm","Software engineer","Current employee, more than 1 year","Hyderābād","Diversity and Inclusion Insights: Glassdoor provides information about a company's commitment to diversity and inclusion, helping job seekers find organizations that value a diverse workforce and inclusive work environment. Employee Growth Opportunities: Glassdoor reviews often highlight opportunities for professional growth, such as training programs, mentorship initiatives, and career advancement prospects within the company. Work-Life Balance Support: Job seekers can learn about how companies prioritize work-life balance through employee reviews, enabling them to find employers that value their well-being and offer flexible work arrangements. Transparent Feedback Channels: Glassdoor encourages open communication between employees and employers, allowing companies to gather constructive feedback and improve their organizational practices. Employee Benefits and Perks: Glassdoor reveals valuable insights into the various benefits and perks companies offer, such as health insurance, retirement plans, paid time off, wellness programs, and more. Positive Company Culture: Glassdoor's employee reviews often shed light on positive company cultures, showcasing organizations that foster a supportive, inclusive, and engaging work atmosphere.","Lack of Work-Life Balance: Some employee reviews may highlight challenges in achieving a healthy work-life balance due to demanding workloads, long hours, or limited flexibility in scheduling. Limited Career Growth Opportunities: Job seekers might find reviews mentioning limited opportunities for career advancement or a lack of clear paths for professional development within the company. Communication Issues: Negative feedback on Glassdoor could reflect communication challenges within the organization, such as unclear expectations, poor internal communication, or a lack of transparency from management. Compensation and Benefits Concerns: Some employees may express dissatisfaction with their salary and benefits packages, feeling that they are not competitive compared to industry standards. Toxic Work Environment: Glassdoor reviews might mention a toxic work environment characterized by unhealthy competition, a lack of teamwork, or instances of harassment and discrimination.","Show more","1"
"3.0","29 Jun 2024","Not a great company","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88697027.htm","Associate director, business development","Current employee, more than 3 years","Pune","Good work life balance
Decent salary 
Work from home","Not many people to look up to 
People thrown of other large organizations join as leaders hear","Show more",""
"3.0","2 Jul 2024","Very Less hikes","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88777940.htm","Senior software engineer","Current employee, more than 3 years","Bengaluru","Good Project , good for fresheres but very hard to get into projrcts","Not that much of projects, less hikes, no recognition","Show more",""
"5.0","10 Jul 2024","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89008649.htm","Vba developer","Current employee","Navi Mumbai","","","",""
"2.0","15 Jul 2024","GOOD","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW89180339.htm","Anonymous employee","Current employee","","","","",""
"3.0","13 Jun 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-LTIMindtree-RVW88217413.htm","Software engineer","Former employee, more than 3 years","","Good place to work it was good experience as started my career as a fresher.","Need to improve the tech stack selection according bro the candidates resume when they recruiting fresher and allocate them the suitable tech so they can bring a good productivity on the table.","Show more",""
