"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","30 Dec 2020","Amazing company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW39954475.htm","Anonymous employee","Former employee, more than 8 years","Mumbai","","","Great Iconic brands and Promoters","Needs to preserve the work culture.","Show more"
"5.0","2 Feb 2021","Work culture at it's best","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW41839008.htm","Anonymous intern","Former intern","","Targeted learning and friendly culture","Month ends are hectic and rigorous l","","",""
"4.0","1 Mar 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW43310629.htm","Sales trainee","Former employee, less than 1 year","Coimbatore South","Good compensation and proper training for freshers.","Work-life balance is bad. Month-end pressure is too high.","","",""
"4.0","30 Mar 2021","Very Fond Memories","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW44784410.htm","Anonymous employee","Former employee","","High ownership and a fail fast structure","None as such! - Great Place to Work","","",""
"4.0","3 Jun 2021","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW47837500.htm","Finance manager","Current employee","Mumbai","","","Empowered Culture, flexible, lots of learning, Cash Rich, Good Promoter","Limited Growth, Favoritism, job security","Show more"
"5.0","25 Nov 2021","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW55849625.htm","Territory sales manager","Current employee","","Good work to go, keep it up","Sales culture is bad but overall mgr is good","","",""
"3.0","1 Jun 2017","Research Trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW15293763.htm","Anonymous employee","Current employee","","","","good working environment in R&D","They don't withstand as per offer letter.","Show more"
"5.0","2 Jan 2019","Powered by Empowerment","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW24020550.htm","Anonymous employee","Former employee","","Empowerment, Entrepreneurial Spirit and Bias for Action","Failing Innovations and Weakening Core Brands","","",""
"4.0","27 Mar 2019","Good place to work nice culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW25374189.htm","Anonymous employee","Current employee","","Better salary than industry level","Too much system oriented, no freedom","","",""
"4.0","18 Apr 2019","Not good for contract employee","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW25749481.htm","Anonymous contractor","Current contractor","","you will learn many things...exp in fmcg","leave policy is bad...no appraisal","","",""
"2.0","16 Nov 2019","Bad place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW30416711.htm","Anonymous employee","Former employee","","","","Good remuneration at the organisation","Lot of unnecessary pressure in workplace
Bad management decisions","Show more"
"5.0","18 Sept 2020","Best work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW36097381.htm","Internship","Former intern, more than 3 years","Mumbai","Best guidance available at the company","I didn't find any of them","","",""
"4.0","29 Sept 2020","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW36521213.htm","Anonymous employee","Former employee, more than 5 years","Mumbai","Great HR policies. Focus on employee","Limited exposure to different kinds of work","","",""
"4.0","9 Nov 2020","Overall review","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW38173150.htm","Regional supply chain executive","Current employee, more than 3 years","","Great Work Environment, Open culture, Great learning experience","Extreme workload & no work life balance","","",""
"4.0","28 Nov 2020","Agile and lean organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW38836121.htm","Sales manager","Current employee, more than 3 years","Mumbai","- Agile and lean managment","- Tries too many things at a time","","",""
"5.0","10 Dec 2020","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW39314605.htm","Supervisor","Former employee, more than 1 year","Bengaluru","Opportunity for career growth is high","No cons i have seen in this company","","",""
"5.0","4 Jan 2021","Best company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW40063720.htm","Human resources assistant","Former employee","Mumbai","Flexible working hours for all","There are no cons in Marico","","",""
"4.0","4 Feb 2021","Good Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW41961215.htm","Supply chain manager","Former employee, more than 5 years","Mumbai","You will get to work in a diverse portfolio","Work life balance takes a hit","","",""
"5.0","4 Mar 2021","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW43509023.htm","Research trainee","Former intern","","Relaxed work environment and good benefits","No cons as such in time","","",""
"5.0","31 Mar 2021","Great Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW44864809.htm","Manager","Former employee","","Empowerment is the best thing here","Decision Making can be made better","","",""
"5.0","14 Apr 2021","Great Company to Work For","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW45500588.htm","Sales development manager","Current employee, more than 5 years","","Good Compensation, Early Empowerment, Growth oriented","High Stress Environment, Short term","","",""
"3.0","7 May 2021","Work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Marico-Limited-RVW46611026.htm","Anonymous employee","Former employee","","","","Good pay master. 
Good products. 
Competitive prices.","Poor work life balance. 
No job security. 
No respect.","Show more"
