"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","16 Oct 2022","Work Culture is not good","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW70186701.htm","Assistant manager","Current employee","","","","Job Security and good salary along with other perks","Most of the locations are tier 3 cities","Show more"
"3.0","27 Nov 2022","Coal india","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW71414046.htm","Management trainee","Current employee, more than 1 year","Less workload No targets Decent pay","Pollution Work culture Lack of respect Learning is less","Dhanbād","","",""
"4.0","7 Nov 2022","good work","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW70842885.htm","Electrician","Current employee, more than 1 year","","","Chennai","mines are very dangerous for health","any time they can call , be ready","Show more"
"2.0","19 Nov 2022","Procurement","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW71227395.htm","Assistant manager","Current employee","Savings are much as there is no place to go","Working culture is not good","","","",""
"5.0","28 Aug 2022","Awesome place","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW68429146.htm","Manager","Current employee, more than 10 years","","","","Employee pro, all welfare benefits available, high in T&D of employees, Traditional but trending culture, Good salary","Location, fixed increment, less % of working women, coal dust, large number of local Manpower","Show more"
"1.0","10 Jan 2023","Pathetic","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW72508591.htm","Management trainee","Current employee, less than 1 year","Salary But you will not be happy.","Job location Responsibility Coal Under ground High workload","","","",""
"4.0","6 Nov 2022","Laid back employment","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW70827735.htm","Deputy manager","Current employee","Job Security Less hectic steady growth","career stagnation time bound promotions","Rānchī","","",""
"3.0","20 Jun 2022","Not a great Company to work in.","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW65757770.htm","Assistant manager","Former employee, more than 5 years","","","Rānchī","1. Job Security
2. Medical Benefits
3. Low Work Pressure","1. No personal or professional Development
2. Lack of Digitalization
3. Lack of IT infrastructure
4. Lack of trainings
5. Toxic Work Culture
6. Vacancy-Based Promotion policy
7. Work in very remote locations
8. 5 year bond period","Show more"
"3.0","21 Oct 2022","OK","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW70393586.htm","Deputy manager - finance","Current employee","","","","Medical benifits Personal work life balance","Didnot expected the work style","Show more"
"3.0","5 Aug 2022","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Coal-India-RVW67577379.htm","Senior manager, operations","Former employee, more than 10 years","","","New Delhi","You just can't give time to your family, if you are dedicated worker otherwise you get good life. No work.... full enjoyment. Full work.. no family peace","If you are good at work, you will be loaded with every one's job. Otherwise you enjoy your life","Show more"
