review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
4,22-Nov-17,i jion to vedanta,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW18023499.htm,Anonymous employee,"Current employee, more than 10 years",Ajmer,good activtiy  good wrk done,good salary and fresh and experaince empoly,,,
3,10-Apr-18,Core company with remote location for Grads,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW20087523.htm,Anonymous employee,Former employee,,,,"High learning curve 
Manufacturing Industry exposure",Poor infrastructure and management policies,Show more
3,18-Jun-18,Internship,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW21089627.htm,Anonymous employee,"Former employee, less than 1 year",,Great exposure. Biggest insutrial setup in the aluminium industry,Poor work culture. The workforce is highly inefficient.,,,
4,11-Aug-18,best place to start your career,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW21924237.htm,Anonymous employee,Former employee,,high salary in core market,working environment is not good enough,,,
5,19-Dec-18,Production,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW23896079.htm,Anonymous employee,Current employee,,,,Good working environment and packages,Work life balance yet to get improved,Show more
3,04-Aug-19,Giod,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW28427428.htm,Assistant manager,Current employee,,Engineers are give independence in their area of expertise .,There is a great deal of mismanagement,,,
4,28-Aug-19,Excellent growth opportunities,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW28889566.htm,Anonymous employee,Former employee,,The company is good for salary and perks,stagnant job growth and cross-domain movement,,,
5,23-Aug-19,Steel plant,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW28801576.htm,Anonymous employee,"Current employee, more than 10 years",Bokāro,,,In plant safe working culture for all.,Policies are not clear to all.,Show more
3,06-Oct-19,Fresher review at HZL,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW29651652.htm,Graduate engineering trainee get,"Current employee, less than 1 year","Udaipur, Rajasthan",Great learning experience to freshers,The job pays lesser than expected.,,,
5,14-Oct-19,Good learning environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Vedanta-Resources-RVW29796025.htm,Anonymous employee,Former employee,,"Learning environment , manager support, feedback","Excessive travel, work life balance not ideal",,,
