"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","7 Jun 2024","Amazing Company to Work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW88039508.htm","Assistant manager","Former employee, more than 5 years","Moga, Punjab","","","Long
term
career
opportunity
employer","Remote
Locations
Transferable
Job
High demand","Show more"
"4.0","21 May 2024","Cool place","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW87495911.htm","Food safety manager","Current employee, more than 8 years","Gurgaon, Haryana","Great policies with good ambience and workplace","Difficult to understand management few egositic leaders","","",""
"4.0","23 May 2024","ASM","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW87567567.htm","Asm (area sales manager)","Former employee","New Delhi","Good amount of leaves and perks","Demanding job. Getting Very competitive","","",""
"5.0","13 May 2024","Great company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW87224367.htm","Senior sales executive","Former employee, more than 5 years","New Delhi","One of the best employer","Take long time for promotion","","",""
"4.0","4 May 2024","Nestle medical advisor","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW86968900.htm","Medical advisor","Former employee","Calcutta","Good perks, bonus, package, scientifically strong, great products","Politics, overlap of verticals, processes, people, management","","",""
"4.0","5 May 2024","company overview","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW86974042.htm","Production","Former employee, more than 3 years","","very good company to work for","work life balance is not good","","",""
"4.0","5 Apr 2024","Good culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW86050130.htm","Sales executive","Former employee, more than 8 years","Hyderābād","","","Good company to give shape to your career","Don't stick to company for more than 5 years.If your a fresher or below 3 years experience plan to spend around 3-5 years","Show more"
"4.0","7 Apr 2024","Will enrich your professional experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW86095638.htm","Manager","Current employee, more than 3 years","Gurgaon, Haryana","The organization tries to be at the cutting edge","The size and legacy of the organization makes it bureaucratic","","",""
"3.0","19 Mar 2024","Professional","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW85494041.htm","Senior sales officer","Current employee, more than 5 years","Kerala Estate","Good company to begin with","Need to really work on work life balance ethics.","","",""
"1.0","2 Apr 2024","HR policies","https://www.glassdoor.co.in/Reviews/Employee-Review-Nestle-India-RVW85924884.htm","Medical technologist","Current employee, more than 3 years","Mumbai","","","No work life balance
Gender Bias","no appreciation for work or respect of employees","Show more"
