review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ
1.0,1 Oct 2024,Work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91504101.htm,Deputy manager,"Current employee, less than 1 year",Basirhat,"No pros..only cons..bno work kife balance . Worst behaviour of seniors,immense pressure",No time management. Go and make your life hell. No support from seniors. Worst company ever to work. Will take your mental peace.each and every sunday working,Show more
4.0,27 Sept 2024,Good pay,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91428974.htm,Product manager,"Current employee, more than 3 years",Pune,,,
3.0,28 Sept 2024,NA,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91439505.htm,Sr. software engineer,Current employee,Pune,,,
4.0,27 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91414860.htm,Anonymous employee,Current employee,,,,
4.0,23 Sept 2024,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91268593.htm,Data engineer,"Current employee, more than 1 year",Pune,,,
2.0,25 Sept 2024,Disrespectful Department,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91336203.htm,Intern,"Former intern, less than 1 year",Pune,Good amount of work to do,Disrespectful department and toxic work culture,Show more
2.0,16 Sept 2024,Corporate politics,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91047111.htm,Executive assistant,"Current employee, less than 1 year",Dhanbād,U need to be the lobby guy to maintain your performnxe and incentives,U also need to be lobby guy so that u can get your promotions,Show more
3.0,22 Sept 2024,Join or Not,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91239182.htm,Unit manager,"Current employee, more than 1 year",Pune,,,
4.0,23 Sept 2024,Deputy manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91283021.htm,Deputy manager,"Current employee, more than 1 year",Chennai,,,
3.0,22 Sept 2024,abc,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91246620.htm,Sales officer,"Former employee, more than 1 year",Vāranāsi,,,
5.0,23 Sept 2024,BFL HR,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91252717.htm,Hr manager,Former employee,Pune,,,
4.0,20 Sept 2024,Good working environment,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91192614.htm,Assistant managee,"Current employee, more than 3 years",Pune,"Good working environment
Freedom to work","Work pressure
No timing limit",Show more
4.0,18 Sept 2024,ok,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91132753.htm,Cluster manager,"Current employee, more than 1 year",Pune,,,
1.0,2 Sept 2024,Asset business in Bajaj Finance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90652385.htm,Sr. cluster manager,"Former employee, more than 3 years",Chennai,"Good Pay when compared to other NBFC while entering, along with Perks on achieving targets","Zero Work Life balance, Toxic team meeting, no Cultured approach. Good place only for who want to earn money inspite leaving all the dignity ,self respect and family time. Especially health wise you ll develop BP, Heart disease, Migrane, depression",Show more
2.0,14 Sept 2024,Sales Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91005935.htm,District sales manager,"Current employee, more than 1 year",Kamrup,"Nice Monetary Incentives Given .
Brand Name
Good Product",Rough and Long Work Culture. You have to be available on call even on leaves and week offs.,Show more
4.0,13 Sept 2024,Good exposure,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91004062.htm,Deputy national lead,"Current employee, more than 1 year",Pune,Good exposure and freedom to explore new tools technologies,"No work life balance, and chaos",Show more
2.0,19 Sept 2024,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91150610.htm,Deputy manager,"Current employee, more than 1 year",Pune,,,
5.0,13 Sept 2024,Part time job,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90994341.htm,Part time trainer,"Current contractor, more than 1 year",Chennai,Good salary and good environment,Nothing is there to be specific,Show more
5.0,12 Sept 2024,Workplace to be,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90975360.htm,Sr. software developer/analyst,"Current employee, more than 3 years",,Fast pace growing company in India,Less holidays as saturdays working,Show more
3.0,14 Sept 2024,Good comp,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91018911.htm,Anonymous employee,"Current employee, more than 1 year",,"Good salary
Good workplace
Nice car
Nice house","Bad timings
Bad colleagues/team leader
Bad salary",Show more
1.0,27 Sept 2024,Salary,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91405361.htm,Manager,Current employee,Pune,,,
4.0,12 Sept 2024,CSR in Bajaj finance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90946884.htm,Customer service representative,Former employee,,,,
4.0,11 Sept 2024,Learning and ownership is outstanding,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90910831.htm,Sales manager,"Current employee, more than 3 years",Surat,,,
3.0,12 Sept 2024,Review,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90963157.htm,Sales manager,"Current employee, more than 3 years","Āsansol, West Bengal",,,
1.0,24 Sept 2024,Experience in BFL,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW91291068.htm,Deputy manager sales,"Former employee, less than 1 year",Mysore,,,
2.0,10 Sept 2024,Xx,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90868348.htm,Deputy national lead,"Current employee, more than 8 years",Pune,,,
2.0,30 Aug 2024,Bajaj Finance,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90586753.htm,Data engineer,Current employee,Pune,Decent Salary and learning opportunities with access to a lot of resources. Access to senior leadership.,"6 days working from office.
BYOD policy where you have to pay for the office laptop.
Toxic work culture and leadership.",Show more
4.0,7 Sept 2024,It's okay nothing great,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Finance-RVW90802821.htm,Senior salesforce developer,Current employee,Pune,,,
