review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
4.0,19 Jan 2022,Joined this company as a GET,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW58229096.htm,Senior engineer,"Current employee, more than 1 year",,"Very good company for a beginners to get exposure to. 
Covers wide aspects of Instrumentation","Company's location might become a problem, since most of the plants are in remote location",Show more,,
5.0,8 Mar 2022,Good,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW60801407.htm,Senior engineer,"Current employee, more than 1 year",,,,,Very good experience for learning and earnings,Work place are to far from cities
4.0,18 Mar 2022,DGM,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW61388971.htm,Deputy general manager,Current employee,,,,,Good Company. Process oriented work,Too much emphasis on Safety
5.0,20 Feb 2022,Average,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW60016401.htm,Senior electrical engineer,Current employee,,"Nice culture
Nice infra
Nice technology
Nice facilities
Nice sport area","Hectic life
Remote area
Aloof management
Shift duty
Toomuch engagement",Show more,,
2.0,26 Jan 2022,Associate  General Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW58582225.htm,Associate general manager,"Current employee, more than 8 years",,"Salaries on time, good pay scale","No work structure, Weak HR, No system, No hierarchy of work, No training, No learning",Show more,,
4.0,18 Feb 2022,Excellent,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW59926003.htm,Senior strategy consultant,"Current employee, more than 1 year",Ahmedabad,Good office n nice facilities to eat,Nothing I can think off,Show more,,
3.0,4 Feb 2022,Good to learn many engineering works,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW59141169.htm,Manager,Current employee,Ahmedabad,,,,Good to learn many engineering works.,Salary mismatch is big constraint.
3.0,17 Feb 2022,Ok job,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW59865442.htm,Anonymous employee,"Current employee, more than 1 year",,,,,Great training program for freshers,"No work life balance, avg pay"
5.0,4 Feb 2022,Intern,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW59116704.htm,Anonymous employee,"Former employee, less than 1 year",,,,,Good experience . Leart a log of things,No con found till now
4.0,4 Feb 2022,Senior Legal Officer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW59095756.htm,Senior legal officer,"Current employee, more than 3 years",Ahmedabad,,,,Excellent infrastructure and work environment.,A sense of urgency everytime.
3.0,19 Nov 2015,Manager - I am working at Adani Power full-time (For More than 5 years),https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW8692670.htm,Associate manager,"Current employee, more than 3 years",Ahmedabad,Amazing place to start your career and learn. People around are very amiable and easy to go with. People would listen to you and your opinion matters. Facilities provided are best in class at organization. Freedom to employees is Good.,"No Work life balance, No procedure sometimes you got to work on the weekend as well also Policy is framed but Hopeless and The Worst Human Recourses Department (Technical Team is a Doll in Hands of HR Team, All the decisions will be finalized by HR Team crossing their limits ) simply we can say The worst management in the leadership of present CEO",Show more,,
4.0,13 Sept 2017,Excellent company,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW16818547.htm,Anonymous employee,Current employee,,"- Good profile builder, can experience a lot of new technologies and upgradations
-Excellent higher Management in head office","- Site HR Management is not upto level par and dosent have the vision the company requires
-No job rotation in the company except for head offices and certain departments
-Doing the same and sharing the same profile since 7 years.",Show more,,
4.0,20 Aug 2015,Senior Engineer- Projects,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW7663379.htm,Senior engineer,"Former employee, more than 3 years","Gondia, Maharashtra","Amazing place to start your career and learn. People around are very amiable and easy to go with. People would listen to you and your opinion matters.
Facilities provided are best in class and can't be matched with any other organization.
Generous when it comes to distribute good pay checks.","Work life balance, sometimes you got to work on the weekend as well.",Show more,,
4.0,4 Jan 2017,Best company for people who want to make there career in there core field.,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW13189484.htm,Anonymous employee,"Current employee, more than 3 years",,"Growth opportunity.
Exposure to many verticals
Good vision.
 Nice training.
Nice infrastructure at remote location as well
Good townships.
Nice facilities at township viz free movies although only at mundra.
There are many advantage of working here firstly the group is getting bigger by bigger every quarter which provides good opportunity to employees for growth.","Excessive cost cutting at remote location.
HRA deduction
HR people of remote location are unnecessary arrogant .
Dumb HR at site.",Show more,,
4.0,23 Aug 2014,A Company with a great future potential. . Business Wise & Talent Wise,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW4832858.htm,Deputy manager - human resources,"Current employee, more than 3 years",Ahmedabad,"1. The Organization has a strong Balance Sheet & is financially very stable. Leader in Power Business and Coal Mining.
2. One of the only Power Companies in our country which owns complete reverse integration. - Resources, Logistics, Generation & Transmission.
3. Strong Leadership Team which allows to take independent decisions.","1. High Process Orientation and very less strategic outlook.
2. Individually driven organization culture.
3. Multi Layered organization structures giving less opportunities to grow.",Show more,,
5.0,15 May 2017,You get nothing to do but work,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW15062851.htm,Deputy manager,"Current employee, more than 5 years","Mundra, Gujarat","You will be so engaged that you hardly get time for yourself or to think of anything else. If you want to perform, you got the platform. Rise, if you can. You learn something  everyday.",Manpower has been balanced in a step to syncro with the cost benefit ratio of company.  Work load has been cruching people but still manageable.,Show more,,
4.0,17 Jul 2015,Renewable Energy Investment Risk Analyst,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW7255533.htm,Anonymous intern,Current intern,,"APTRI believes anything can be achieved through courage, trust and commitment. The work environment is friendly and everyone is treated as equally important. The staff at APTRI is always looking to out do themselves by coming up with innovative ideas and executing them, even if it means going above and beyond. The food at cafeteria is also outstanding.",There is not any significant cons that I have noticed.,Show more,,
3.0,1 Sept 2017,Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW16627446.htm,Anonymous employee,Former employee,,"Good work Culture, Big MNC, Township facilities at select plants","No much growth in core sector, very less benefits, saturday working full, not much experienced people in new plants, lack of guidance, Very less holidays, Night Shifts",Show more,,
3.0,17 Aug 2016,2 months intern,https://www.glassdoor.co.in/Reviews/Employee-Review-Adani-Power-RVW11588286.htm,Anonymous employee,Former employee,,"Huge company
Well defined culture and duties
good residential area
Interested in making sure that students learn out from the internships","Not so good projects. You will have to go out to random engineers and ask out for guidance in a section, this could actually be a pro since these engineers are very helpful. Temperature at Tirora very high.",Show more,,
