"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"1.0","17 May 2016","Worst company, poorly managed","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW10626295.htm","Senior business leader","Current employee","","","","You work on US soil","Managed by incompetent senior leadership whose agenda is to make MD happy. No value to emplyees. No communication top to bottom, no salary or positional vertical growth, dictated by corporate india, 70% indian employees at Cranbury, closed mindset","Show more"
"5.0","22 Feb 2020","Best to work company","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW32017557.htm","Qa analyst","Former employee","Reykjavík","","","Great job satisfaction, Good package,  great facilities.","Erratic work timings and schedules.","Show more"
"1.0","10 Oct 2015","See yourselves out","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW8251375.htm","Anonymous employee","Former employee","","","","If you are non performing, lazy, condescending, growth hater, all of that, none of that, or may be just their R&D head in Cranbury, its a great place to be my friend","Cons; thats how I'd describe their upper management in one word.","Show more"
"2.0","11 Mar 2016","Lost in Pharma","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW9878794.htm","Anonymous employee","Former employee, more than 5 years","","","","High work ethic, great co-workers","Micro-managed long distance, poorly organized, inconsistent project management, under resourced.","Show more"
"2.0","10 Feb 2014","Unprofessional","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW3679849.htm","Forklift operator/picker","Former contractor, less than 1 year","Wixom, MI","","","The pay was good and the my co-workers were great.","Hired threw a temp service and most of those places do not care about you.","Show more"
"4.0","4 Aug 2016","Best Pharma employer Generic Business","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW11452510.htm","Senior manager","Current employee, more than 3 years","Moscow, Moskva","","","Best place to work with lot of learning's and experience to learn from the people.","Large organization & complex operations","Show more"
"4.0","14 May 2021","Environmental Health and Safety Specialist","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW46935382.htm","Environmental health and safety specialist","Former employee, more than 3 years","Lagos","","","Ability to share work thoughts, work ethics, issues with other site management. Diversity encouraged at the Workplace. Process Improvement Increased","Layers of approvals at global level","Show more"
"5.0","14 Jul 2021","Sounds like a wonderful place.","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW49782726.htm","Packaging line operator","Current employee, more than 10 years","","","","Please please hire me . I want to work there.","I don’t have anything  to say .","Show more"
"4.0","23 Nov 2021","LC-MSMS Operator in Pharmacokinetic Department","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW55764238.htm","Senior executive operations","Former employee, more than 3 years","","","","Great opportunities to learn and shape the career. HR policies are employee oriented. Good employee internal interaction.","Salary Rise is always minimum and not much attractive.","Show more"
"5.0","4 Aug 2015","seection leader","https://www.glassdoor.co.in/Reviews/Employee-Review-Sun-Pharmaceutical-Industries-Inc-RVW7454507.htm","Section leader","Former employee","Detroit, MI","","","advancement and great pay learned a lot","ethnic and communication problems they needed to break that cycle","Show more"
