"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","9 Jul 2024","Wonderful","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88978365.htm","Research intern","Current intern, less than 1 year","Bengaluru","","","","High salary you will get","high work pressure will be there"
"2.0","3 May 2024","Worst onboarding and exit: non payment","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW86951175.htm","Sr manager technical","Former employee, more than 1 year","","Good quality work available. Top of the industry work. Good experience.","Very bad onboarding and exit experience with hindustan unilever. 
1. FnF Payment is still not made to completely even after 4 months of last date. Even respective salary slips are generated but payment is not processed.
2. HR is clueless about the payment/accounts
3. Work policies are employee friendly but teams are incapable of handling them.","Show more","",""
"5.0","5 Jul 2024","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88881822.htm","Engineering manager","Current employee, more than 10 years","Mumbai","","","","Very good compensation in hul","Very difficult to grow for male promotes"
"5.0","2 Jul 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88777852.htm","Supply chain executive","Current employee, more than 1 year","Andheri East","Flexible working with many roles to learn about","Delayed Promotions.
No engagement activities","Show more","",""
"4.0","20 Jun 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88450315.htm","Assistant product manager","Current employee, less than 1 year","Bengaluru","","","","Work culture is super amazing. The employee benefits are great.","Salary structure is poor. Too much processes makes life slower."
"5.0","18 Jun 2024","Work life balance for women","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88381269.htm","Still unemployed","Former employee","","","","","The company cared towards betterment for the employees in maintaining healthy work culture","Growth level slow if ur. Bcom"
"5.0","27 Jun 2024","MM","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88655056.htm","Manufacturing manager","Former employee, more than 10 years","Mumbai","Inclusive Workplace culture
Safety and quality comes first","Nil concern working with hul","Show more","",""
"5.0","27 Jun 2024","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88635749.htm","Graduate apprentice trainee (gat)","Former intern, more than 1 year","Haridwār","","","","Excellent company to get exposure","Not found any cons ."
"3.0","13 Jun 2024","ULIP internship HUL","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88244110.htm","Ulip","Former employee","Mumbai","","","","Good work culture and established organisation","Importance of projects given to you with respect to organisation significantly impacts outcome despite how well you work"
"3.0","22 Jun 2024","Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88484550.htm","Senior executive","Current employee, more than 1 year","Mumbai","","","","Good organization in terms of market goodwill","Limited growth opportunities and slow movement withing organization"
"5.0","15 Jun 2024","Best company to work at","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88283770.htm","Anonymous employee","Current employee, more than 3 years","Mumbai","Growth opportunity and learning with good salary","At times long working hours","Show more","",""
"5.0","20 Jun 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88451807.htm","Ca industrial trainee","Former intern, more than 1 year","Bengaluru","","","","Really nice working atmosphere here","In cases of wfh learning is limited"
"4.0","14 Jun 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88261798.htm","Ast manager","Former employee, more than 5 years","New Delhi","Good work life balance and learning culture","Low salaries, preference to diversity","Show more","",""
"5.0","13 Jun 2024","Great culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88244116.htm","Senior brand executive","Current employee","","","","","Amazing company to work with","No cons for this company"
"5.0","16 May 2024","Very Good experience to working here as a competent person in department of glaxo smith kaline.","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87331994.htm","Anonymous employee","Current employee","","","","","I am very lucky to having a chance for working in gsk department","I am very happy and excited to do job in glaxosmithkaline manufacturing department"
"5.0","10 Jun 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88130938.htm","Manager","Former employee, more than 5 years","Mumbai","","","","Good work culture in the company","Nothing that I want to contribute here"
"3.0","8 Jun 2024","Hindustan Unilever Ltd","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88065952.htm","Territory sales officer","Former employee, more than 3 years","Guwahati","","","","Job security is one of the pros","Employees remain overloaded. No work-life balance."
"5.0","6 Jun 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW88012652.htm","Key account executive (kae)","Current employee, more than 8 years","Mumbai","","","","Good culture & work life balance","Slow growth opportunity in company"
"5.0","25 May 2024","Great work environment ,supportive team leaders","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87628816.htm","Marketing executive","Current employee","Mumbai","","","","Best in industry ,nothing can be cons here","Nothing can be said as a cons here"
"3.0","21 May 2024","Not All Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87481615.htm","Assistant manager","Current employee, more than 1 year","Mumbai","Diversity, inclusion, principles are good","Bad managers who have never left the organisation thinks the world of themselves, we r best mentality","Show more","",""
"4.0","30 May 2024","Internship at HUL","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87786433.htm","Intern","Current intern, less than 1 year","Mumbai","Good Working Environment
Flexibility
Supportive Colleagues","Lacking in IT and Technology
No other cons","Show more","",""
"5.0","15 May 2024","Really Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87300574.htm","Data analyst intern","Former intern","","","","","Largest FMCG company in India, extremely good working culture.","Very strict on their eligibility for hiring. For flagship courses only top colleges are looked at."
"5.0","29 May 2024","Best firm","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87763643.htm","Sales and marketing intern","Former intern, less than 1 year","Mumbai","-Top FMCG firm 
-Great exposure","-High targets 
-High work pressure","Show more","",""
"4.0","19 May 2024","Overall better company in Mumbai city","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87427621.htm","Executive","Current employee, more than 1 year","Mumbai","There more then whats on CTC
Lunch is Almost free
Immense learning
CEO factory","Slow growth than other companies","Show more","",""
"4.0","28 May 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87733576.htm","Territory sales officer","Current employee","","","","","Good atmosphere to work with","Pressure work with unrealistic work time"
"5.0","24 May 2024","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87606511.htm","Assistant manager","Former employee, more than 1 year","Mumbai","","","","Good company to work no","No cons at all from me"
"4.0","25 May 2024","Trade Marketing Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87637031.htm","Trade marketing manager","Current employee, more than 10 years","Chennai","","","","Development and open to learn","Promotion will not as per planned"
"4.0","9 May 2024","Automation 4.0 drive and Thrive for growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87107107.htm","Senior engineering executive","Current employee, more than 5 years","Mumbai","","","","Exposure to Digital Tools, Cutting Edge Technology, Freedom for innovation, Future Fit Steps","Requires more holistic view, Poor Man-Management, Egoistic Culture"
"5.0","23 May 2024","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87582736.htm","Finance analyst","Former contractor, more than 1 year","Navi Mumbai","","","","Good work place and culture","Nothing much is a con"
"3.0","25 May 2024","Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW87631934.htm","Key account executive","Current employee, more than 8 years","Chennai","Learnings
Technology 
Interfere with multiple departments","Management 
Career growth
Slow process","Show more","",""
"5.0","7 Jan 2024","Company is good but line mangers are not","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindustan-Unilever-RVW83130869.htm","Territory sales officer","Current employee, more than 5 years","","Dream company to work.
Prosperity.
Benefits.","Managers and CSEs think they do all the good work, blaming CSOs for the bad.
 toxicity at its peak. 
The CTC is just a show; they added parameters to prevent earning incentives, this is ice cream not a GT.

No legal support provided on any asset loss in market. TSO is responsible for everything.","Show more","",""
