review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_location__E_Ine,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
3.0,7 Mar 2015,"Really good company for graduate engineers, bad for management trainees.
Work culture depends on location and departmen",https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW6070194.htm,Asm (area sales manager),Current employee,,"Good yearly hike, decent work environment, good pool of employees","No structured growth pattern, most processes are not yet fixed .",Show more,,
2.0,27 May 2016,Area service manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW10747340.htm,Area service manager,Current employee,Lucknow,Nothing good here . You have to bear the pressure to maximum without any reward.,This company is not good at all . Salary structure is pathetic. No variable is paid to the employees,Show more,,
4.0,2 Sept 2014,Summer internship,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW4889824.htm,Anonymous intern,"Current intern, less than 1 year","Aurangābād, Maharashtra",,,,"helpful employees, canteen, transportation facilities, hostel",you have to work alone as not much interns come
3.0,9 Jun 2019,Great for learning as a begineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW26553768.htm,Assistant manager,"Former employee, more than 5 years",Pune,Training and learning opportunities. Chance to work with best technologies and infrastructure in India,"Too much hierarchy , sometimes insignificant contribution in big projects",Show more,,
3.0,10 Jul 2012,Good company for freshers,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW1710641.htm,Asm (area sales manager),"Current employee, less than 1 year",Cochin,Visionary CEO translates to a good long term company. Good RnD and product line - Good future,Compensation a it on the lower side compared to other industry. Competitive in the Auto industry though.,Show more,,
4.0,6 Dec 2014,Hard work is key to success,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW5494631.htm,Senior production engineer,"Former employee, more than 1 year","Aurangābād, Maharashtra","Promotions to those who deserve
Perks and salary well above other automobile companies.
Hard work and support of management.
Personal Development with relevant training modules.
Sufficient holidays in a year to overcome fatigue.","Long Working hours
6 days working culture
Hard work for continuous improvement.",Show more,,
1.0,20 Feb 2017,The growing company with orthodox culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW13856067.htm,Anonymous employee,Current employee,,"Good Salary,  good work,  everyday learning,","Zero work life balance,   no bar on stretches,  typically Labour class mentality, lack of change management, conservative culture,  stuck with orthodox mentality and not employee friendly",Show more,,
2.0,7 Nov 2017,You get No job satisfaction or 💰 satisfaction,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW17769926.htm,Assistant manager service,Current employee,Mahbubnagar,"One will really learn facing any kind of situation, and come to know different kinds of customers and interactive with them",You will never get job satisfaction or 💰 satisfaction. The way of treating employees is not so good,Show more,,
2.0,6 May 2019,Need change in senior management,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW26013209.htm,Service asm,"Current employee, more than 1 year",Chennai,"Pay is good,  good prospet , good mergers and acquisitions","Poor culture, HR not intervening, Just focused on ppts rather than on reality, Hindi culture and no respect for other language",Show more,,
5.0,19 Jan 2020,Life at Bajaj,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW31373979.htm,Assistant manager,"Current employee, more than 1 year",Pune,"Dynamic Work Environment, being less process oriented it helps to get an experience to deal effectively many times to newer issue each day","Engineer with an experience in MNC with each and every 
SOP set will have a difficulty adjusting here.",Show more,,
5.0,30 Jul 2020,Great place to learn,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW34528871.htm,Area sales manager export,"Former employee, more than 3 years",Pune,"High responsibility environment, especially for Management Trainees
Relatively flat management structure 
Good business and commercial learning experience, good leeway to ASMs to develop respective territory
Great work life balance","Growth can be slow
Lots of travel in IB(Can be a pro as well)",Show more,,
4.0,25 Jun 2012,Nice work Environment with lots to learn,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW1650245.htm,"Engineer, research & development","Former employee, more than 1 year",Pune,"Ample opportunity to come up with new ideas
Lots of freedom in working style.
Excellent infrastructure","Systematic Hierarchy not completely developed
R&D also works on the policy of an assembly line
HR not involving enough",Show more,,
5.0,23 Nov 2015,Neutral review,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW8724976.htm,Senior engineer,"Current employee, more than 3 years",Pune,Good company to start with. payscale one of the best in industry for graduates. Encouragement given to new initiatives.,Too much focus on cost and ebidta. Boss is always right attitude. Still hanging in 80s mindset.,Show more,,
5.0,22 May 2021,Good and fast growing company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW47312247.htm,Engineer r&d,"Former employee, more than 5 years",Pune,Innovative work. Systematic and good working culture. Pay scale are very good compared with other companies. On time salary. Good canteen and transport facilities. Employees are satisfied with work and company facilities.,Middle management is the problem only.,Show more,,
5.0,25 Dec 2021,Work culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW57074773.htm,Technical executive,"Current employee, more than 5 years",,Good work culture. Flexibility in work.,Can't get opportunity to relocate in other departments in which you are interested.,Show more,,
4.0,11 Dec 2014,Dies manufacturing; casting proving and rejection control.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW5520902.htm,Senior product development manager,"Former employee, more than 10 years",Pune,One of biggest foundry in india.very good procesing of all types of castings and chachallangable problems.,"Processing of moter cycle cyl. Heads.
4 w manifold s.",Show more,,
4.0,3 Oct 2016,Great Company with a great leadership team,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW12164780.htm,Anonymous employee,"Current employee, more than 5 years",,"- Strategic Perspective and Vision, Leadership team
- Compensation operates in the 90th percentile in the industry
- Rewards and recognises key talent
- Work-life balance in terms of working hours","- Performance Management System
- Not very employee-friendly policies",Show more,,
1.0,3 Feb 2018,"Horrible culture, bad work",https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW19057364.htm,Anonymous employee,"Former employee, more than 1 year",Pune,Awesome work life balance is there as there is no work.,"Extremely patriarchal company, no one has any autonomy. All decisions are top down, Babu culture is rampant (have to call everyone sir), you can't speak your mind. Bosses like to be pleased, will knit pick on font etc, not really the content.  And then money is like peanuts",Show more,,
3.0,23 Aug 2020,Average company,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW35192347.htm,Manager purchase,Current employee,Pune,"Good access to top management, sole owner ship of the work/ Project","Orthodox company with very less belief in system, no job rotation, one profile is fixed for a person in a department",Show more,,
1.0,25 Jun 2021,Never come to field job in bajaj.,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW48880840.htm,Area service manager,"Current employee, more than 1 year",Bengaluru,Well salary is good but at entry level it will not matter. Because you will be frustrated.,"All the cons you can think of.
No training.
No care for employees.
Work like a labour.
No appreciation.
They will keep on changing rule that suits them.
7 days a week work.

In short , never come here. I repeat never.",Show more,,
4.0,13 Oct 2016,Great Company to work for,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW12293233.htm,"Assistant manager, research & development",Former employee,Pune,Very good company to work in. They always pay more than market average in Auto industry.,Substitute holidays. They eat up your weekends.,Show more,,
4.0,30 Oct 2018,Bajaj Auto is Best Place to Work Under good Supervision And expertise team,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW23185254.htm,Vehicle testing engineer,"Former employee, more than 3 years",Pune,"Good Work Place,Management Expertise help Us For Difficulty w",For Fresher it is Good place to explore or gain our knowledge,Show more,,
4.0,30 May 2019,Work experience as intern in bajaj auto,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW26386008.htm,Internship,"Current intern, less than 1 year",Pune,Best live projects are provided to work on.If succesful your work will be employed in their vehicle and you will receive job offer from them,"Long working hours,premium engineering softwares are not available for all",Show more,,
5.0,10 Feb 2021,My experience was awesome with Bajaj auto there was fun with the company and good career..,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW42252169.htm,Sales executive,"Current employee, more than 1 year",Khanpur,Because of more  convinced as per my previous job and for experience also..,Getting minimum inquiry and salary,Show more,,
4.0,28 Feb 2021,Best Company in Manufacturing Sector,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW43217948.htm,Assistant manager,"Former employee, more than 1 year",Pune,"Compensation
One of the leading company in 2W","No proper training provided
Least focus to talent retention and employee well being",Show more,,
5.0,22 Sept 2021,Collection,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW52913860.htm,Assistant manager,"Current employee, more than 1 year",,Company is completely different and good from Bajaj Finserv.. no constraints on timings .. hike is also good plus incentives and travel allowance,Promotions are highly not possible as no one leave this company,Show more,,
4.0,31 Jan 2019,Excellent Place to Learn,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW24468910.htm,R&d engineer,"Former employee, more than 5 years",Pune,"Friendly co-workers
Handsome salary and growth
5 working days, work life balance",Comparatively less opportunities and growth for Diploma pass out guys!,Show more,,
4.0,15 Mar 2021,Nice company to work with,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW43997004.htm,Asm (area sales manager),Current employee,Hyderābād,Nice company if you want to grow vertically.... hard working guys gets good payoff,You will find some Managers who doesn't have any idea of ground and they try to overpower you with their own perception....,Show more,,
3.0,2 Jul 2021,Worked as diploma trainee engineer in the spare parts PPC department,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW49256816.htm,Diploma trainee engineer,"Former employee, more than 1 year","Aurangābād, Maharashtra",Working atmosphere is good and good canteen,too much work load but so much to learn,Show more,,
4.0,8 Jan 2014,"It was an excellent learning experience, considering an entry level position.",https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW3509333.htm,Senior engineer - r&d,"Former employee, more than 1 year",Pune,"Dynamic company, young Research and Development Centre, plenty of opportunities to explore, within company objectives.","Not a great work life balance, rigid working hours, poor HR policies regarding leaves.",Show more,,
4.0,27 Jun 2016,Graduate Trainee Engineer,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW11060749.htm,Graduate trainee engineer,"Former employee, less than 1 year","Aurangābād, Maharashtra","""Bajaj Auto is a awesome place to work""",May be you may have to work in shift duties some times when business demands,Show more,,
5.0,25 Nov 2017,Good company to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW18056692.htm,Supervisor,"Former employee, more than 1 year","Aurangābād, Maharashtra","Lot of learning
You can enhance you skills into decision making",Did not find any cons. Everything was good for an employee,Show more,,
5.0,8 Jan 2019,"Good , stable company",https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW24117509.htm,Anonymous employee,"Former employee, more than 1 year",Pune,"flexibility
open to new ideas
professional people
Company food
company uniform
company transport",Need to decrease the variable component from the overall package and add it to the fixed component,Show more,,
2.0,8 Apr 2021,Bad Work Culture,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW45223952.htm,Anonymous employee,"Former employee, more than 1 year",,Nothing at all can be written under Pros,"Bad Word Cuture
Nobody cares about Field service team
HO team delegates all work to field service team
Field service team is blamed for all failures whereas HO team is appraised for all successes",Show more,,
4.0,9 Aug 2021,Summer Intern,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW50859372.htm,Internship,"Former intern, less than 1 year",,Work on the electric vehicles (two-wheelers). You will get to interact with some great technical leads in the two-wheeler industry.,Lacking in terms of employee interaction. Not so good human resources manager. Only one RnD center in India,Show more,,
4.0,14 Dec 2013,The OK Experience,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW3420068.htm,"Assistant manager, research & development","Current employee, more than 3 years",Pune,"Decent Salary, Young People, Good Work-Life balance, Good place to start career - lot to learn","Autocratic culture, One man show in most of the business units, Uncertainities",Show more,,
3.0,17 Mar 2016,Assistant Manager,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW9952035.htm,"Assistant manager, research & development",Former employee,Pune,"Good salary, free food and travel",Management. Instead of work one has to be close to his or her immediate manager. Stupid work process. Doctors hip attitude.,Show more,,
5.0,18 Oct 2017,Best company to work,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW17434346.htm,Anonymous employee,Former employee,,Open culture. Manager and colleague are really great expwrt in there field.,"Need to walk more to reach at office.  If you don't have helmate, parking your bike is bit difficult.",Show more,,
3.0,15 Apr 2021,A good place to work after some experience not as a fresher,https://www.glassdoor.co.in/Reviews/Employee-Review-Bajaj-Auto-RVW45596133.htm,Assistant manager,"Former employee, more than 1 year",Pune,"Indian MNC , Good campus for GTEs .",Old orthodox mindset of management. Not much training provided. No mentorship.,Show more,,
