"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","13 Sept 2021","Good conglomerate to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW52471823.htm","Graduate engineer trainee (get)","Current employee, less than 1 year","Bhubaneshwar","",""
"5.0","30 Sept 2021","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW53326783.htm","Apprentice","Former employee, less than 1 year","Mumbai","",""
"4.0","12 Sept 2017","good overall","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW16780224.htm","Anonymous employee","Former employee, less than 1 year","","good work life balance and good to start with","remote location postings becomes problem sometimes"
"3.0","20 Mar 2018","Territory Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW19789907.htm","Anonymous employee","Current employee, more than 5 years","Mumbai","",""
"4.0","11 Nov 2018","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW23360609.htm","Anonymous employee","Current employee","","",""
"3.0","1 Feb 2019","Poor place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW24494325.htm","On job trainee","Former employee, more than 1 year","Singrauli","Job security, easy to go.","Employee don't get enough opportunity to learn and develop"
"4.0","8 Apr 2019","Supervisor ( Mining )","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW25579918.htm","Site supervisor","Current employee, more than 10 years","Kendujhar","Well known company from aditya Birla group.","Providing jobs relevant to my studies."
"5.0","21 Oct 2019","Salary details","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW29926641.htm","Deputy engineer","Current employee, more than 10 years","Hīrākūd","For multiple activities And best location.","Growth rate is low as compared to other."
"5.0","7 Jan 2020","cnc","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW31163696.htm","Cnc operator","Former employee, more than 5 years","New Delhi","",""
"4.0","27 Jul 2020","I was electrical engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW34471248.htm","Engineer","Current employee","","Good people and friendly environment.","Time management is tough and also monotonous work."
"4.0","28 Jul 2020","Great place to start your career","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW34495198.htm","Graduate engineering trainee get","Current employee","","",""
"5.0","10 Aug 2020","Awesome","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW34777747.htm","Senior engineer","Former employee","Hyderābād","Good work place with all amenities","Nothing to see as con all are only pros"
"4.0","1 Sept 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW35493632.htm","Assistant manager","Former employee, more than 1 year","Renukūt","World leading aluminium producer with overall room for great challenges.","Has to work in remote locations."
"5.0","11 Feb 2021","Company Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW42325348.htm","Vice president","Current employee, more than 10 years","Mumbai","Ethical and upright with strong value system","Hierarchical / moderate compensation/ remote plant locations"
"4.0","12 Mar 2021","Process Engineer at Oxygen Plant","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW43894660.htm","Assistant manager","Current employee, more than 1 year","Bharūch","",""
"4.0","6 Sept 2021","Good job","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW52144011.htm","General manager","Current employee","Renukūt","Great Exposure for the newly graduated.","Salary could be more as compared to other industries"
"3.0","10 Dec 2021","Good to start","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW56516228.htm","Assistant manager","Current employee","Sambalpur, Orissa","Nice company under ABG name. Value driven","Below par salary with industry. Other benefits good."
"4.0","26 Dec 2021","Good company to start with","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW57087058.htm","Assistant manager","Current employee, more than 5 years","","Timely salary , good perks, canteen","No work life balance, less salary"
"3.0","13 Sept 2015","GET","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW7930080.htm","Anonymous employee","Former employee, less than 1 year","Sambalpur, Orissa","",""
"5.0","27 Jan 2017","Amazing work culture and benefits","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW13511833.htm","Anonymous employee","Former employee, more than 1 year","Mumbai","Amazing work culture and benefits","Nothing much to state here"
"5.0","23 May 2017","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW15171612.htm","Anonymous employee","Current employee, more than 8 years","","Job security, brand name, learning","nothing important as per my understanding"
"5.0","30 Oct 2017","great company to excel for","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW17623082.htm","Anonymous employee","Current employee","","good atmosphere to work for","politics in side the plant"
"3.0","25 Nov 2017","work-life","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW18055929.htm","Anonymous employee","Former employee, more than 3 years","","learning environment, provision of housing facility in company quarters","slow growth, less salary as per market"
"4.0","9 Jul 2018","A good brand to start with","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW21402913.htm","Anonymous employee","Current employee","","A lot of learning opportunities","Low salary compared to tatas"
"3.0","17 Aug 2018","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW22021898.htm","Warehouse manager","Former employee, more than 5 years","Indore","",""
"5.0","15 Aug 2018","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW21983176.htm","Anonymous employee","Former employee, more than 8 years","Mahān","Good work culture. Very flexible and understanding seniors.","Remote locations is only cons."
"5.0","5 Oct 2018","Best job","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW22822478.htm","Anonymous employee","Current employee","","Brand, future growth and knowledge","How to big  achive my best Performance"
"4.0","28 May 2019","awesome place to work for sometime","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW26344698.htm","Anonymous employee","Former employee, more than 1 year","New Delhi","",""
"3.0","12 Jun 2020","Average company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW33665164.htm","Graduate engineer trainee","Former employee","Lohārdaga","",""
"5.0","23 Oct 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW37527071.htm","Project manager","Current employee","Bharūch","It is good. Salary is good","Lot of work load. Family life not managed"
"3.0","7 Dec 2020","Good to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW39199690.htm","Project manager","Former employee, less than 1 year","","",""
"5.0","2 Mar 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW43324466.htm","Mechanical engginer","Former employee","Mumbai","Yes it good company for us","No cons in this company and its good"
"3.0","28 Mar 2021","Good company to retire","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW44686736.htm","Senior officer systems","Current employee, more than 5 years","Calcutta","work life balance, people are friendly","salary,growth and no proper appreciation to talent"
"4.0","9 Apr 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW45270094.htm","Assistant manager","Current employee","Singrauli","Best development opportunities for young talent","There is no cons to consider as whole"
"4.0","24 May 2021","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW47412033.htm","Assistant manager","Former employee, more than 1 year","","",""
"5.0","21 May 2021","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW47268800.htm","Anonymous employee","Former employee","","housing, electricity, Nice workplace to work","Not at all any cons"
"5.0","29 May 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW47633728.htm","Manager","Current employee, more than 3 years","Mumbai","Employee Friendly and Good Health policy","Old people not supporting and Oracle software"
"3.0","27 Aug 2021","Reputed company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW51755259.htm","Engineering manager","Current employee","Calcutta","Good Brand, policies are good.","Very poor work life balance. Unfriendly management."
"4.0","26 Nov 2021","good with less salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW55885482.htm","Ast manager","Current employee, more than 1 year","Sambalpur, Orissa","ok ok type company, good to learn","low salary, lot of politics"
"5.0","27 Dec 2021","Pros and Cons explained","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW57140258.htm","Assistant manager","Current employee, less than 1 year","Mumbai","Great company having good work culture","Less salary and remote locations"
"4.0","17 Jan 2022","Process Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW58052482.htm","Assistant manager","Former employee, more than 3 years","Rāyagada","",""
"3.0","12 Mar 2014","Good Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW3858360.htm","Anonymous employee","Current employee","","Relaxed environment like a governemnt service","Senior Management has lot of bueracracy"
"4.0","6 Dec 2017","Tranee engg.","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW18224915.htm","Engineer tranee","Current employee, less than 1 year","Muri, West Bengal","Tahat is very good company","Nice factory and all thing is so good"
"1.0","24 Mar 2020","Horrible place","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW32474371.htm","Anonymous employee","Current employee, less than 1 year","Eranakulam","",""
"5.0","5 Jul 2020","Best","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW34061419.htm","Anonymous employee","Current employee","","Best Company, nice , well, good work culture","Nothing As such..it is good"
"4.0","23 Jul 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW34392274.htm","Export manager","Current employee","Calcutta","Good company to work and development for future","Can't find anything. I am happy"
"5.0","2 Jan 2021","Good ethics and culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW40012407.htm","Anonymous employee","Current employee","Sambalpur, Orissa","Employee welfare, Excellent Technical support","There is nothing to worry"
"3.0","28 Feb 2021","Hindalco","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW43239986.htm","Assistant manager","Current employee","Sambalpur, Orissa","Big brand name, various systems to develop people","Salary is Average and growth is limited"
"3.0","3 Mar 2021","Not so good in hike","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW43388636.htm","Dy manager","Current employee, more than 8 years","Mumbai","Only for private government like job","No increment as per standards"
"5.0","6 May 2021","Nice work","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW46558268.htm","Manager","Current employee","Vāranāsi","Good work and growth opportunities","None that I can fine till now"
"5.0","6 Jul 2021","Overall","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW49368579.htm","Manager","Current employee, more than 8 years","Mumbai","It's a value driven organization","Salary level is not at per with market"
"3.0","12 Sept 2021","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW52421929.htm","Boiler desk engineer","Current employee, more than 3 years","Singrauli","",""
"4.0","28 Nov 2021","Good work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW55957090.htm","Manager sales %26 marketing","Current employee, more than 8 years","Calcutta","",""
"2.0","8 Sept 2015","Worst Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW7870799.htm","Anonymous employee","Former employee","","good opportunity to gain Technical Knowledge","vry low salary,to much work load"
"3.0","19 Oct 2015","assistant manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW8349706.htm","Assistant manager","Former employee, less than 1 year","Mumbai","Good work timings. Challenging environment","No appreciation for work. Hefty deduction from CTC."
"4.0","2 Feb 2016","salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW9423666.htm","Anonymous employee","Current employee","","good...timely...clear transactions better join guys","nothing as such...bonus delayed...no issues other than that"
"5.0","14 Jan 2017","Working at hindalco","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW13323577.htm","Anonymous employee","Current employee","","Good environment. Township, good facility","Low salary, very remote place"
"5.0","12 Sept 2018","Hindalco","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW22440090.htm","Mechanical engineer","Current employee, less than 1 year","Sant Ravidas Nagar","",""
"5.0","4 Oct 2018","best","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW22791707.htm","Anonymous employee","Current employee","","less work load and easy transporttion","pollution is the only problem there"
"4.0","12 Apr 2019","GET","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW25656872.htm","Anonymous employee","Former employee","","good growth, friendly work culture, great facilities","training practices need to be improved"
"4.0","18 Aug 2020","Comfortable recruitment process","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW35027320.htm","Graduate engineering trainee","Current employee","Renukūt","Worker friendly environment, accommodation provided","No problem as such till now"
"4.0","11 Oct 2020","Good job","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW37003876.htm","Graduate engineering trainee get","Current employee, more than 1 year","Sambalpur, Orissa","Good work life balance, caring management","Remote location, low salary & compensation"
"5.0","15 Oct 2020","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW37175156.htm","Senior project manager","Former employee","","Everything is fine nothing to say","Nothing to talk about it cons"
"5.0","20 Oct 2020","Very good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW37386903.htm","Anonymous employee","Former employee","Muri, West Bengal","good work life balance, well paid","poor location (remote area, village)"
"5.0","3 Dec 2020","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW39023754.htm","Anonymous employee","Former employee","","Awesome it was working there","There were no shortcomings during the job"
"4.0","28 Dec 2020","HIndalco","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW39853281.htm","Territory sales manager","Former employee, more than 5 years","Bengaluru","Conducive work culture in plants and corporate offices","Career Growth is bit slow"
"4.0","31 Dec 2020","Good program","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW39962485.htm","Anonymous employee","Former employee, more than 1 year","Bharūch","GET Program is very comprehensive","Location is way out of the city"
"5.0","16 Feb 2021","It's good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW42555772.htm","Customer service representative officer","Current employee, more than 1 year","Hazārībāg","",""
"5.0","24 Mar 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW44531841.htm","Manager marketing","Current employee","Bharūch","Good culture to work in this company","Not observed during my tenure"
"3.0","18 Jun 2021","Growth is stagnant","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW48549317.htm","Assistant manager","Current employee, more than 1 year","Hīrākūd","Less work load, good care,","Less salary, no growth, no work life"
"4.0","22 Jun 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW48700461.htm","Assistant manager","Current employee","","Overall good facility, work life balance","No cons to find in hindalco"
"5.0","18 Jul 2021","My views","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW49922873.htm","Anonymous employee","Current employee","Rānchī","Strong Values and good work culture","Low salary and less growth"
"3.0","19 Aug 2015","Asst. Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW7639259.htm","Anonymous employee","Current employee","","Huge Brand Equity, Good work culture","Orthodox growth potential for performers also"
"3.0","6 Nov 2017","working experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW17748103.htm","Anonymous employee","Former employee","","no pressure if one wants to prepare","less salary, and shift job"
"4.0","31 Jul 2018","nICE","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW21745327.htm","Anonymous employee","Current employee","","Nice working environment, helpful management","Low salaries compared to similar industry leaders"
"4.0","12 Feb 2020","Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW31826459.htm","Manager","Current employee, more than 8 years","","Great place to work for","Slow growth as compared to other industries"
"3.0","1 Oct 2020","it good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW36612291.htm","Human resource manager","Current employee, more than 1 year","Ren","it good place for working","there is low salary but still good"
"5.0","29 Jan 2021","good employer","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW41614803.htm","Manager-hr","Former employee, more than 8 years","Belur, West Bengal","very good place to work","nothing specific to say about"
"3.0","3 Apr 2021","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW44985627.htm","Graduate engineer trainee","Current employee, less than 1 year","Lapanga","",""
"5.0","25 May 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW47442843.htm","Cost accountant","Current employee, more than 1 year","Sambalpur, Orissa","Nice place to work with","Remote location to have access"
"4.0","18 Oct 2021","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW54127974.htm","Business analyst","Current employee, more than 3 years","Mumbai","Good Work culture for beginners.","Salary structure can be further improved."
"5.0","3 Dec 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW56190340.htm","Advisor corporate projects-hindalco industries","Current employee, more than 3 years","Raigarh","",""
"3.0","17 Jun 2015","salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW6930086.htm","Anonymous employee","Current employee","Vāranāsi","",""
"3.0","30 Mar 2019","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW25424934.htm","Get & assistant manager","Current employee, less than 1 year","Renukūt","Good to live here for fun","Not good to live for life"
"4.0","3 Apr 2021","Instrumentation","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW44972941.htm","Assistant manager","Current employee, more than 8 years","Rāyagada","Excellent place to work in Refinery","Need to develop maintenance standard"
"3.0","26 Apr 2021","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW46054773.htm","Manager mechanical","Current employee","Sambalpur, Orissa","Work ethics, work values, work life balance","Not as much,can be ignored"
"4.0","23 Jun 2021","No","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW48772178.htm","Mechicial engineer","Current employee","Singrauli","Good for knowledge to fresher","More support by senior and others"
"4.0","22 Jul 2021","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW50134566.htm","Assistant general manager","Current employee","Ahmedabad","Good Company to work in metal","Culture issues in the company"
"5.0","5 Sept 2021","nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW52110255.htm","Engineer","Current employee","Mumbai","very nice and very good","location is not very good"
"4.0","3 Dec 2021","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Hindalco-RVW56210537.htm","Junior engineer","Current employee","Koch","Good company and provides good environment","No accomodation, and no food"
