"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","29 Aug 2022","Operations","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW68484763.htm","Manager logistics","Current employee, more than 5 years","Mumbai","","","","Very challenging atmosphere so lot to learn","Training not sufficient & can be improved"
"3.0","31 Aug 2022","Slow work","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW68563767.htm","Intern","Former employee, less than 1 year","","","","","People are very helpful in jsw.","The work is very slow."
"4.0","29 Aug 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW68453839.htm","Anonymous employee","Current employee","","","","","Decent work life balance and pay.","Very slow growth and learning"
"4.0","10 Aug 2022","Superb work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67747461.htm","Account manager","Former employee","","All employees welfare are upto mark.","Not considering work experience, transfer policy worst.","Show more","",""
"3.0","19 Aug 2022","Worst company","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW68117169.htm","Senior engineer","Current employee, more than 8 years","Bellary, Karnataka","","","","Good company to work knowledge will improve","Bad salary structure not to grow"
"3.0","22 Aug 2022","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW68178889.htm","Anonymous employee","Current employee","","","","","Good work life balance with learning curve","Nothing found wrong as such"
"4.0","20 Aug 2022","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW68142191.htm","Administration","Current employee","","Good company to work with","No recognition even after working hard","Show more","",""
"2.0","22 Aug 2022","review review","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW68192028.htm","Senior engineer","Current employee","Bellary, Karnataka","","","","Good experience for freshers and mid level","no growth after few years"
"3.0","23 Jul 2022","Working","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67056224.htm","Assistant manager","Current employee, more than 1 year","Mumbai","*AC bus for traveling
*Different types of training there
*Safety culture
*Meal card
*Healthy environment","*no overtime for extra work
*Shutdown per month
*Career growth less
*Payscale less","Show more","",""
"3.0","6 Aug 2022","Bad experience","https://www.glassdoor.co.in/Reviews/Employee-Review-JSW-Steel-RVW67622150.htm","Anonymous employee","Current employee","","Very poor system in daily basis","very poor mantality of management","Show more","",""
