"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"1.0","12 Nov 2019","Worst work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW30349640.htm","Assistant manager","Current employee, more than 3 years","Gurgaon, Haryana","It used to be employee friendly organization but nowadays life has been changed thourogly . In last 6 months things has been changed so quickly that employee can't survive.","Pathetic working environment for employees.
Worst ever management.. No one will listen you.","Show more"
"3.0","11 Aug 2021","OK wirk culture","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW50967409.htm","Saless","Current employee","","company has job stability and good incentives structure if eligible .
Salary is credited timely
occasional bonuses","In SBI Card organisational changes has lead to increased difficulty for internal growth designation wise.","Show more"
"3.0","19 Aug 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW51353777.htm","Anonymous employee","Current employee, more than 1 year","","Day shift, location is beautiful, people may differ from process to process, healthy environment........ Nice. Nice. Nice,,,,,, good place to work","Still outdated with the technology..long hours, no motivation, not recognize the true talent it may differ process to process.... Poor Management","Show more"
"5.0","3 Feb 2021","SBI cards","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW41869145.htm","Asm (area sales manager)","Former employee, more than 3 years","","Company gives freedom to take decision on your own and experiment on various parameters for better business outcomes. Very much employee friendly organisation.","Lots of learning opportunities. So I can say no cons.","Show more"
"1.0","6 Apr 2021","Worst organization i have ever seen yet.","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW45100271.htm","Agency collection manager","Former employee, less than 1 year","Surat","Never Join this there is no such support.
They will deduct you amount according to them.
HR not responding.","I had very very bad experience in this Compony.
I was doing good in my previous organization but i joined this because of name of this organization. And i left this job in less than 3 months due to worst place to work.","Show more"
"2.0","22 Apr 2021","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW45908381.htm","Asm (area sales manager)","Current employee","Mumbai","You get lot to learn from sales to operations, it's like runing your own mini company...","Pathetic work and HR culture, no leaves except Sunday that too you have to be available on phone, extended working time on maximum days","Show more"
"5.0","26 Aug 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW51663796.htm","Sales trainer","Current employee, more than 3 years","Jaipur, Rajasthan","Flexible working style
Apparition and motivated culture","Stability issue
Salary hike is not good
Timely increments are missing","Show more"
"4.0","18 Nov 2021","Excellent company to start","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW55564156.htm","It senior manager","Former employee, more than 8 years","","Good exposure to employees who are in early stage of their career. Growth is fast.","Once you become a Regional Manager it is almost impossible to become a zonal manager because of the structure in place","Show more"
"5.0","2 Sept 2019","Sales job","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW28989646.htm","Anonymous employee","Former employee","","Sbi is the brand and Sbi card work and services very well","I was working with my Brm at chanrapura branch feel that my Brm and chief mangar is the very good for the sels thought","Show more"
"4.0","8 Sept 2020","Nice company to start your work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW35730840.htm","Senior executive","Current employee","Gurgaon, Haryana","","",""
"5.0","17 Sept 2020","Awesome place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-SBI-Card-RVW36093238.htm","Senior manager","Current employee","Gurgaon, Haryana","Good in hand salary
Nice environment 
Exposure to new work","Salary is less compare to others
Designation is not related to experience as at same level experience will be as less as 3 to 20 years","Show more"
