review-details_overallRating__VDxCx,timestamp_reviewDate__wvu2v,review-details_detailsLink__NxIv5,review-details_detailsLink__NxIv5 href,review-details_employee__5iA6v,review-details_employeeDetails__BvAwX,review-details_isCollapsed__Bsg_9,review-details_isCollapsed__Bsg_9 2,expand-button_ExpandButton__FlBlZ,review-details_location__E_Ine,review-details_isExpanded__bLJng,review-details_isExpanded__bLJng 2
3.0,14 Mar 2018,Decent Place to work,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW19680663.htm,Sales officer,"Former employee, more than 1 year",Stable job. work life balance.,Transfer policy and location of Job not in your hand. Transfer in every 3 years and promotion is slow.,Show more,Guwahati,,
4.0,10 Nov 2019,Good place to start your career,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW30307293.htm,Assistant manager,"Former employee, more than 3 years","Work Life balance, Good benefits and Allowances","No extra compensation for working extra, Lack of innovation",Show more,Mumbai,,
5.0,3 Feb 2021,Awesome Work Experience,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW41864161.htm,Graduate apprentice,"Former intern, more than 1 year",Real time working experience and interacting with knowldegable people,"Time is a constraint and sometimes pretty tiring, if initiative is not taken from your side, it could be boring too",Show more,Cochin,,
5.0,15 Oct 2015,Assistant Manager,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW8317948.htm,Assistant manager internal audit,"Former employee, more than 1 year","An independent, autonomous work environment with minimum supervision but maximum support. Very result oriented and process driven.","Demographics - a large bunch at the top at fairly senior and not always welcoming of change. Otherwise, its a great place.",Show more,Mumbai,,
5.0,9 Apr 2016,Like any other PSU!,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW10213450.htm,Anonymous employee,Former employee,Has some of the best talent in the country! Working for PSU always its own perks which means great benefits. The recruitment system has been getting better year after year.,It's largely like any other PSU.,Show more,,,
2.0,27 Aug 2016,Good company with Narrow minded TOP,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW11705994.htm,Anonymous,Former employee,"Attractive salary and perks, huge bonus titled PRP","Nepotism, outdated and Hippocratic HR. lover level overworked, mid level and above relaxed,
poor acceptability of constructive criticism., boss centrist administration, feudal apprisel,",Show more,,,
3.0,11 Jun 2017,BPCL - Innovative,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW15430436.htm,Anonymous employee,Current employee,BPCL is open to suggestion and higher management is easily approrachable .,"Work Life Balance is very low . 
Company doesnt seem to care employee as assets and work on for Career Development .",Show more,,,
5.0,23 Mar 2018,IREP,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW19842911.htm,Contract mechanical engineer (irep),"Former contractor, more than 1 year","Proper Time management, Great work atmosphere, Good  Quality products with usage of minimal resources. Proper utilization of raw materials. Recycle everything . Minimal wastage. Ecofriendly.",no downsides at all. Everything is perfect without any cons,Show more,Cochin,,
4.0,5 Nov 2019,Great Company; work gets monotonous,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW30219222.htm,Officer,"Former employee, more than 3 years","Great Company to work for
Excellent peers (engineers)
Good Pay compared to peers and industry","The job gets monotonous after some time
Possibility of career change is low
Bureaucracy is prevalent at all levels in the organisation",Show more,"Kota, Rajasthan",,
2.0,15 Feb 2020,No time for Personal Life,https://www.glassdoor.sg/Reviews/Employee-Review-Bharat-Petroleum-RVW31889551.htm,Assistant manager,"Current employee, more than 5 years",Good Salary that employees get .,"Too much work . Non value work is more . No time for personal life . Have to work on Sunday also , Leaves are not being provided",Show more,,,
