"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"3.0","10 Dec 2020","Based on Benefits and Work life Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW39357810.htm","Manager","Current employee, more than 8 years","","","","","Good salary and benifits. Medical Fecilities are the best.","Worst Work life balance. Everything is URGENT and needs to be done just now."
"5.0","23 Oct 2021","Good & gaint knowledge of Field Erection work.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW54377706.htm","Field engineer","Former employee, more than 1 year","Bhubaneshwar","Gain Good knowledge s of machinery & Equipments","Before the time To full fill the Targets.","Show more","",""
"4.0","15 May 2013","I am More or less satisfied with my employer","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW2650205.htm","Junior engineer","Current employee, more than 3 years","Shillong","","","","Security of job, High compensation package,retirement benefit,flexibility in work,practices world class maintenance,","Place of posting, Transfer,settlement in life,Incapable management"
"4.0","1 Sept 2017","A good place to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW16626089.htm","Anonymous employee","Current employee","","one of the top PSU in the country with good salary package","Govt controlled company in the country","Show more","",""
"5.0","29 Nov 2018","Finance","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW23618106.htm","Finance","Current employee, more than 1 year","North West","I took experience of work culture with PGCIL","Have a seperate software my create some initial problem","Show more","",""
"5.0","19 Sept 2020","Great Place to work for in India","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW36137327.htm","Senior deputy general manager","Current employee, more than 10 years","Gurgaon, Haryana","Power Grid is best Pay Master for induction level executives.","Off Late POWERGRID is facing Stagnation at Senior Level.","Show more","",""
"5.0","10 Jan 2021","Engineer","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW40413896.htm","Engineer","Former employee, more than 3 years","Angul","Job Security, Good Package, Social Prestige, Technical work","Remote posting, Pay differentials beween site posting and corporate posting","Show more","",""
"5.0","14 Jan 2022","Work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW57911144.htm","Senior general manager","Current employee, more than 10 years","Gurgaon, Haryana","Get full support and guidance for excelling in the field of interest.
Employees friendly environment and policies","May have to face some hardships for some time","Show more","",""
"4.0","19 Feb 2013","work in power grid","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW2382646.htm","Anonymous employee","Current employee","","very cool work , good work life balance","very bad to work in sites 
non-technical work because more work is by contracting system","Show more","",""
"4.0","14 Sept 2019","Inernship","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW29221702.htm","Anonymous employee","Former employee","","1. Good working environment
2. Can see the real physical working of a substation","1. employeers would wont give tell you easilyyou have to be very eager","Show more","",""
"4.0","23 Oct 2021","Good Organization but leave after a while","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW54380814.htm","Manager","Current employee, more than 8 years","","Good initial salary and hands-on experience","Jugaad needed at later stages for career enhancement and postings","Show more","",""
"4.0","21 Jun 2019","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW27543395.htm","Manager","Current employee, more than 8 years","Bengaluru","","","","One of the best companies for Electrical Engineers. Very good facilities to the employees in terms of health benefits.","Place of Postings are mostly rural."
"5.0","1 Jul 2019","Dynamic company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW27731594.htm","Anonymous employee","Current employee","","","","","Challenging,  well paid in indian scenerio, one of the best PSUs","U have to be prepared for tranfers frequently"
"2.0","20 Sept 2019","Only if you have low expectations from your life","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW29347180.htm","Engineer","Current employee","","They give utensils as bonus/variable pay

On time salary till perpetuities","Everything apart from the cons","Show more","",""
"3.0","3 Nov 2020","Good stepping stone","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW37944536.htm","Engineer","Former employee, more than 3 years","Gurgaon, Haryana","Pay is good
Things to learn from on the job projects","Rustic work culture
Only a handful people work, rest don’t
No recognition for the work done","Show more","",""
"5.0","5 Feb 2021","Very good atmosphere at workplace","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW42040436.htm","Operational engineer","Current employee","Kargil","","","","You can learn at every point of time from your seniors","VERY HARSH LOCATION AS FAR AS WHEATHER IS CONCERNED"
"3.0","17 Aug 2021","Outlook","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW51271363.htm","Anonymous employee","Current employee, more than 10 years","Lucknow","Good payment and allowances provided
Free transport given ie pick and drop from home","Field job requires good health as well as body to do work efficiently","Show more","",""
"5.0","17 Dec 2021","Good for mostly electrical engineering","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW56831035.htm","Supervisor","Current employee","Patna, Bihar","High salary
Low work pressure
Low work
Annual bonus
More leaves","Located Far from city
No actual power of any employees","Show more","",""
"4.0","8 May 2014","Good salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW4190678.htm","Manager","Current employee, more than 10 years","Durg","No family life but pay is attractive","always in hurry , employees are in huge pressure","Show more","",""
"4.0","1 Sept 2015","Salary and work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW7804605.htm","Anonymous employee","Current employee","","It is a good company. salary is competitive","transfer policy not up to the mark","Show more","",""
"3.0","16 Sept 2016","Good PSU","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW11954130.htm","Anonymous employee","Current employee","","Good pay and benefits
medical benefits for self and family.
clean and honest work culture","Remote locations
High work pressure","Show more","",""
"5.0","10 Aug 2017","Supervisor","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW16296132.htm","Anonymous employee","Current employee, more than 1 year","West Godavari","","","","To work hard and get a settled life &standed living","Get a degnified job position in core field"
"5.0","10 Oct 2020","good experience and got a good headstart","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW36991256.htm","Summer intern","Former intern, less than 1 year","New Delhi","","","","i found then to be very supportive with the work","I was happy there, no such cons"
"5.0","16 Dec 2014","one of the best electrical transmission to get into","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW5546790.htm","Anonymous employee","Current employee","","","","","we can improve technical skills faster","less employment opportunities and more workload at times"
"4.0","26 Jul 2019","Great Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW28264366.htm","Executive trainee","Current employee, less than 1 year","Vadodara","Work environment is good, Great People","Job locations are remote, Lack of mutual trust among employees","Show more","",""
"4.0","1 Sept 2020","Great place to work for self motivated professionals","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW35529011.htm","Chief manager human resources","Current employee","Gurgaon, Haryana","","","","You would get opportunities to give your best performance","Most policies and practices are top driven"
"4.0","23 Oct 2020","Place to learn about switchyard equipment and its testing & operation","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW37539723.htm","Graduate engineer trainee","Former employee","Chennai","","","","Good environment to work & learn things practically.","Almost every things are okay."
"4.0","12 Jan 2022","Professionalism Exposure","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW57821818.htm","Graduate apprentice trainee","Former intern, more than 1 year","Pusauli","Emergency Sector always dedicated to serve the nation","No timing and Managerial Level","Show more","",""
"5.0","29 Aug 2012","Very Very good work culture in POWERGRID","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW1897547.htm","Junior engineer","Current employee, more than 5 years","Muzaffarpur, Bihar","","","","One of the best & 2nd largest power transmission Company in the world.","There is no negative thing of POWERGRID"
"5.0","6 Jan 2014","Excellent place to work for engineers","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW3495539.htm","Anonymous employee","Current employee","","","","","Job security and opportunity for learning","Legacy of a govt. PSU"
"4.0","6 Aug 2017","It was very good experience and knowledgeable","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW16233621.htm","Anonymous employee","Current employee","","","","","It is psu company so provide good facilities","There service was in gangtok it was good"
"5.0","16 Dec 2018","Industrial trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW23856023.htm","Anonymous employee","Former employee","","","","","It's a good co to gain knowledge & practical exposure of industry for CA/CMA students.","Nothing as cons for students"
"5.0","20 Aug 2019","powergrid advantage","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW28749651.htm","Graduate apprentice trainee","Former employee, more than 1 year","Kolār, Karnataka","","","","powergrid is peaceful environment to work and working as a team is huge advantages.","nothing to say downsides of powergrid"
"5.0","31 Jan 2020","Great work environment , very friendly and encouraging management","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW31607098.htm","Anonymous intern","Former intern, less than 1 year","","Friendly and helpful employees 
Salaries are good","Lack of challenges and new projects","Show more","",""
"3.0","7 Aug 2020","Crumbling ethos","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW34684022.htm","Manager","Current employee, more than 10 years","Gurgaon, Haryana","Varied locations scattered all over the country","Yes man culture
Defunct appraisal
Inefficient promoted at cost of hard workers","Show more","",""
"4.0","13 Sept 2020","A Maharatna PSU","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW35899843.htm","Executive trainee","Current employee, less than 1 year","Gurgaon, Haryana","Great scope to learn some cutting edge technology in field of bulk power transmission
Good perks","Chance of remote location posting","Show more","",""
"4.0","21 May 2016","ABOUT JOB","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW10678995.htm","Anonymous employee","Current employee","","GOOD SALARY OFFERED TO ET","rural location sites are there","Show more","",""
"3.0","20 Aug 2016","Industrial training","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW11624788.htm","Anonymous employee","Former employee","","light working hours.u'll get enough time to study.","No cons as such except travelling ...... as gurgaon was far off","Show more","",""
"5.0","17 Aug 2018","IT professional with SAP ABAP certification","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW22020312.htm","It professional with sap abap certification","Current employee, more than 8 years","Gurgaon, Haryana","","","","Opportunities to learn new things in terms of technology","Sometimes not able to implement ideas"
"5.0","1 Jun 2019","Job profile","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW26422911.htm","Anonymous employee","Current employee","","","","","Excellent opportunity to learn and gain experience in various fields","Maximum substations are in remote locations but well maintained"
"4.0","15 Jul 2019","Learned about power system layout","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW28034810.htm","Anonymous intern","Current intern, less than 1 year","Indore","","","","Best explained about various safety measures and protection","Minimum time to learn and practical learning not possible"
"5.0","10 Dec 2020","Proud to be POWERGRIDIAN","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW39348370.htm","Senior general manager","Current employee, more than 10 years","","","","","Best company to work for in power sector","Stagnation at senior level so difficult to get promotion"
"4.0","11 Jan 2022","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW57722694.htm","Deputy manager","Current employee, more than 5 years","","Work Life Balance, Public Sector Undertaking, Medical Benefits","Limited Growth, Biasedness in Postings,","Show more","",""
"5.0","27 Jul 2012","a very progressive company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW1780758.htm","Engineer","Current intern, less than 1 year","Patna, Bihar","you can excel your knowledge and expertise within yourself.","you have to be always ready for work in sun and rain.","Show more","",""
"4.0","1 Feb 2013","Experience at Power Grid Corporation","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW2331756.htm","Human resources executive","Current employee, more than 3 years","Mumbai","Work Life Balance, Pay/ Work ratio","Bureaucratic, Lacks efficiency, not performance oriented","Show more","",""
"4.0","26 Oct 2016","great","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW12454309.htm","Junior electrical engineer","Current employee, more than 10 years","Bhubaneshwar","high salary high performance high medical standard","there is no con i founded till now","Show more","",""
"4.0","21 Sept 2018","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW22602271.htm","Anonymous employee","Current employee","","","","","handsome salary, opportunity for learning abot new technology like HVDC , smart grid","Posting and transfer at remote location"
"4.0","29 May 2019","Middle level","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW26381497.htm","Anonymous employee","Current employee, more than 10 years","","","","","Good place to work, strong environment.good salary, learning , ethical","Work load , slow growth, little work life balance"
"5.0","18 Jul 2019","Company Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW28093347.htm","Cost engineer","Current contractor, more than 1 year","Gurgaon, Haryana","","","","Best place to work as an electrical engineer.","There is no cons regarding Power Grid Corporation Of India"
"5.0","14 Apr 2020","best in market","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW32733107.htm","Apprentice engineer","Current employee, less than 1 year","Gurgaon, Haryana","nice work zone with talanted teammates","sometime work got boom up","Show more","",""
"4.0","4 Nov 2020","Overall a nice place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW37976630.htm","Electrical engineer apprentice","Former intern, less than 1 year","","Responsibility of work is huge
Structured
Organised workflow and deligation","Occassional cases of corruption
Long boring work hours","Show more","",""
"5.0","28 Dec 2020","Good job for elelectrical engineers","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW39850613.htm","Assistant manager","Current employee","Surat","","","","Perks are good. As well as basic pay","Location is not fixed for long time"
"4.0","13 Jan 2021","It's good but challenging","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW40619053.htm","Engineer","Current employee","Shillong","","","","Above average salary, scope of growth, good perks.","Challenging locations, monotonous work, long duration of working hours"
"4.0","16 Jan 2022","Good salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW58013385.htm","Assistant general manager","Former employee, more than 10 years","Kamrup","Goverment job perks good salary","Too much time consuming and less holiday","Show more","",""
"5.0","21 May 2013","4 years experience in transmission line.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW2666866.htm","Transmission line","Current employee, more than 10 years","Vadodara","every working prosidiore is very well.","Gammon india ltd keonjhar project under PGCIL","Show more","",""
"5.0","3 Dec 2014","power grid corporation india limited","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW5474682.htm","Anonymous employee","Current employee","","","","","best place to develop knowledge with good salary","nothing much to say about cons"
"4.0","25 May 2015","rthy","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW6693923.htm","O&m","Current employee, more than 8 years","Nāgpur, Maharashtra","good team work for any project","never get a choice of transfer near to home","Show more","",""
"4.0","25 May 2016","pay master","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW10732713.htm","Anonymous employee","Current employee, more than 1 year","","","","","salary, benifits and  job security","Remote Locations, Nature of job like TL construction & Increased work pressure"
"4.0","28 Jan 2019","view","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW24411167.htm","Anonymous contractor","Former contractor","","good working culture and environment","lacking of varieties in work.","Show more","",""
"5.0","11 Mar 2019","Nice Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW25095541.htm","Dy manager","Current employee, more than 5 years","New Delhi","Medical facility, loans, advances, work culture  etc","All Location  are not good. 
Transferable  job","Show more","",""
"5.0","7 May 2020","Maharatna Central Public Sector Enterprise","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW33060964.htm","Human resources head","Current employee","Calcutta","","","","Scale and flexible. Passionate work force","Govt guideline and directives at times are cumbersome"
"5.0","24 Apr 2021","Great place for work.","https://www.glassdoor.co.in/Reviews/Employee-Review-Power-Grid-Corporation-of-India-RVW45986912.htm","Anonymous employee","Former employee","New Delhi","","","","If you are hardworking there is nothing to worry.","Nothing, just work, work and work."
