"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","11 Feb 2021","intern","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW42314337.htm","Intern","Current employee, less than 1 year","Bengaluru","","","work friendly environment, finance management is good","communication problem, work hours more","Show more"
"5.0","23 Feb 2021","Good for career growth","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW42954259.htm","Associate engineer","Current employee, more than 3 years","Una, Himachal Pradesh","Good management supporting nature circle","Ta policy will be increased","","",""
"3.0","12 Jun 2021","Not so good","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW48254568.htm","Corporate safety","Current employee","Mumbai","Big company opportunities available with link","Growth won't be possible without any link","","",""
"4.0","12 Jun 2021","Bureaucratic culture","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW48245065.htm","Anonymous employee","Current employee, more than 3 years","Mumbai","Job security, market leader, good learning exposure","hierarchical, bureaucratic and freedom is limited","","",""
"4.0","23 Aug 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW51477588.htm","Secretary","Former employee, less than 1 year","","","","Good career growth opportunity
Annually bonus
Medical and travelling facilities","Internal politics is very high","Show more"
"3.0","26 Dec 2021","Account Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW57092985.htm","Account manager","Current employee, more than 1 year","Jodhpur, Rajasthan","","","good working environment in the company","everything is good in the company thanks","Show more"
"1.0","30 Jun 2014","UltraTech Cement experience","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW4493667.htm","Engineer","Former employee, more than 1 year","Gulbarga","","","There is  no good opportunity for youngsters who wants challenging job in life.","Please consider engineers as engineers 
do not treat them like a workmen cleaner sweeper","Show more"
"4.0","25 Apr 2017","Company In & Out","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW14780663.htm","Officer human resources","Current employee, more than 5 years","Chandrapur, Maharashtra","","","Strong Work Culture
Solid Process
Highly Empowered Employee","Many Hierarchy
Groupism
Less Team work","Show more"
"3.0","6 Aug 2017","HR Officer","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW16235672.htm","Human resources officer","Current employee, less than 1 year","Raipur, Chhattisgarh","","","1) Kind of Semi-Government
2) In house accomodation","1) No defined policy structure","Show more"
"3.0","4 Nov 2017","Safety supervisor","https://www.glassdoor.co.in/Reviews/Employee-Review-UltraTech-Cement-RVW17728429.htm","Safety officer","Current contractor, more than 1 year","Neemuch","","","Good facility in work","Said safety in safe work","Show more"
