"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"4.0","2 Sept 2024","Learning organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90634654.htm","Marketing manager","Current employee, more than 3 years","Mumbai","Good learning experience 
Process oriented company","Too many processes sometimes to get approvals","Show more","",""
"1.0","23 Aug 2024","Scam","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90358020.htm","Data analyst","Current intern, less than 1 year","Mumbai","no pros only cons because people trying to fool you.","The biggest scam happens the HR calls and says you are shortlisted for the further round, then takes your telephonic interview and then says you are selected but you need to complete the course through our provided link. and then ask you to pay 15k.","Show more","",""
"4.0","23 Aug 2024","It's a organisation which give work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90350611.htm","Sales manager","Current employee, more than 8 years","New Delhi","Very good work culture overall","Heading towards too much centralisation","Show more","",""
"4.0","24 Aug 2024","Employee friendly organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90380967.htm","Rmdm","Former employee","Bengaluru","","","","Good employee friendly. Work culture is good.","None no cons as such"
"5.0","22 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90313491.htm","Assistant manager","Current employee","New Delhi","","","","Company Culture is very good and employee friendly","Normal Growth and No sudden sallary hike"
"4.0","20 Aug 2024","Handling of Contractors for One Pidilite","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW90262315.htm","Key accounts sales specialist","Former employee, more than 1 year","Bengaluru","","","","Good Work Culture. Great Team Work.","No Comments as experience was fruitful."
"5.0","11 Aug 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89988311.htm","Graduate engineer trainee (get)","Current employee, less than 1 year","Mumbai","Very good company to work with.","Less growth opportunities in this mnc","Show more","",""
"5.0","29 Jul 2024","Good company, career growth, work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89579209.htm","Sales executive","Former employee, more than 3 years","Pune","","","","Work life balance, good company to work in long term aspects","Nothing much, slight slow career growth however for performer it is not apply"
"5.0","4 Aug 2024","Nice work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89784679.htm","Territory sales representative","Current employee","Chennai","Good people to support for your career growth","No major issues.
Travel is mandatory","Show more","",""
"5.0","3 Aug 2024","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89756068.htm","Senior technical manager","Current employee, more than 10 years","New Delhi","","","","Very well organised and system oriented employee friendly company","Nothing to mention for cons..."
"5.0","30 Jul 2024","Overhall good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89645716.htm","Senior territory sales in-charge","Current employee, more than 1 year","Bengaluru","Super work environment in the country","Nothing is there to comment except there allowances","Show more","",""
"5.0","29 Jul 2024","Very Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89593242.htm","Sale development representative","Current employee","New Delhi","","","","life Balance is Good professional and Personal","Low Growth and Increment For Lower Level Job"
"3.0","13 Jul 2024","Good Company to work, learn and execute your strategy","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89125423.htm","National key account manager","Current employee, more than 1 year","Mumbai","","","","Its a market leader and very vibrant in its approach","Still a lot to catch up of travel allowances for the staff, pay parity with the market and product innovation"
"5.0","25 Jul 2024","Good Work Life Balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89487935.htm","Management tarainee","Current employee, less than 1 year","Mumbai","Culture
Work Life
Supportive People","Slow Growth
Still works on old manufacturing methods","Show more","",""
"4.0","11 Jul 2024","Good company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89075773.htm","Zonal business head","Current employee, more than 8 years","Mumbai","Ocean of Learning, Keeps you striving for higher benchmarks","Nothing as such, absolutely good company to work. Too much of detailing. But it’s good","Show more","",""
"4.0","18 Jul 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89273360.htm","Senior territory manager","Current employee, more than 1 year","Lucknow","Systematic approach good brand image","Sometime too much pressure there is lot of politics","Show more","",""
"1.0","25 Jul 2024","Decent","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89505719.htm","Section head","Former employee, more than 3 years","Mumbai","Good learning / exposure
Job security","1. Seniors are very insecure even after long service and that too to freshers reporting into them 
2. Petty politics which doesn’t suit their stature
3. Slow growth professionally","Show more","",""
"4.0","7 Jul 2024","Pidilite summer intern (campus placement)","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88913213.htm","Summer intern","Former intern, less than 1 year","Mumbai","","","","Good work-life balance, with a nice working environment.","Relatively low entry-level pay scale for a full time engineer"
"5.0","11 Jul 2024","Basic pay may vary","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89044107.htm","Graduate engineer trainee","Current employee, less than 1 year","Mumbai","Work environment and culture
Supportive employees. 
Less workload.","Less salary
Plants not good","Show more","",""
"3.0","4 Jul 2024","High travel","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88852204.htm","Management trainee","Current employee, less than 1 year","Pune","Good salary and no hierarchy","Extremely non agile company
Risk averse 
Not worth after Tier 1 MBA since growth is slow","Show more","",""
"1.0","4 Aug 2024","Job","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89771536.htm","Sales manager","Former employee","","","","","Ip division is pathetic to work for","Sales manager is not supportive"
"5.0","11 Jul 2024","Work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW89045146.htm","Regional manager","Current employee, less than 1 year","Chandigarh","Brand image of the company","Big company to work
For","Show more","",""
"4.0","6 Jul 2024","Good review","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88906404.htm","Gtm manager","Current employee, more than 3 years","Mumbai","good work, good support, good","nothing bad, everything and all good","Show more","",""
"4.0","20 Jun 2024","Great company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88434467.htm","Sr it executive","Former employee, more than 3 years","Mumbai","","","","Inclusive office atmosphere. Cooperative work culture","No much professional growth. Traditional work culture"
"3.0","18 Jun 2024","Slow but steady","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88377069.htm","Digital marketing manager","Current employee, more than 3 years","Mumbai","Job security
Quality of life","Centralized and very slow decision making
Very low risk taking","Show more","",""
"4.0","14 Jun 2024","SENIOR TERRITORY INCHARGE","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88251122.htm","Senior terittory inchrge","Former employee, more than 1 year","","","","","Job security. Learning process is good.","Very slow career growth. Average salary."
"4.0","30 May 2024","Good to start ut carrer","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87782060.htm","Tsi","Former employee, more than 3 years","Navi Mumbai","Work culture is good and is leader in adhesive sector.","Hard work and business strategies are must required","Show more","",""
"4.0","9 Jun 2024","i have been working","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88083776.htm","Jr. graphic designer","Current employee, more than 1 year","Mumbai","","","","great team, got to learn a lot","really tight deadlines, less time to explore"
"4.0","10 Jun 2024","Work life balance","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88109132.htm","Manager","Former employee, more than 5 years","Mumbai","","","","Work life balance in India","Nothing as such to say"
"3.0","10 Jun 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88099258.htm","Assistant manager","Current employee, more than 5 years","Chandigarh","","","","Job Security is good, salary on time","Transfer policy is very bad"
"4.0","6 Jun 2024","Low salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88011592.htm","Product manager","Current employee, more than 1 year","Mumbai","","","","Good work culture, cares for employee","Slow growth, low salary, no wfh"
"4.0","3 Jun 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87877125.htm","Data scientist","Current employee, more than 1 year","Mumbai","","","","Good company to work for","Not flexible with work from home"
"5.0","29 May 2024","Great Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87736223.htm","Anonymous employee","Former employee, more than 3 years","","","","","Good work culture and practices","Not great pay masters. VP can improve"
"1.0","12 Jun 2024","Good brand with poor work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW88177990.htm","Executive production","Current employee, less than 1 year","Visakhapatnam","","","","Nothing, it's like company has good image for outsiders but worst work culture","Everything, Work culture, Management, basic facilities, Personal life, etc."
"4.0","26 May 2024","Positive","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87647264.htm","Project engineer","Former employee, more than 3 years","New Delhi","Good environment for working here","Good for everything here .","Show more","",""
"5.0","24 Apr 2024","Outstanding organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86663570.htm","R&d executive","Former employee, more than 1 year","Mumbai","Good work culture,
Good work life balance,
Freedom to express opinion","Performance evaluation is poor,
 salary revision is not there","Show more","",""
"5.0","18 May 2024","Superb sales exposure","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87410983.htm","Asm (area sales manager)","Current employee","Chennai","","","","The learning curve is steep","Building materials industry is resistant to change"
"4.0","15 May 2024","Good place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87300783.htm","Senior territory in charge","Current employee, more than 1 year","South West","","","","Good work life balance and learning","Slow growth progress for lower level employees"
"3.0","3 Dec 2023","Congratulations for getting selected for Pidilite","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW82277934.htm","Asm (area sales manager)","Former employee, more than 5 years","East","Great place to re-learn Sales, Distribution, Field Marketing at micro level.
Pidilite is Market Leader in its each and every SKU available.
Every Product and even every SKU has a predefined strategy with marketing objectivities. 
It has a specific dedicated field marketing team for the Technical Know How of each and every wing with a wholistic user development approach.","Growth is extremely poor for the Mid management level as there are unnecessary hierarchies.
It's like a school with some useless teachers cluttering the thought flow conceived by some brilliant minds.

Extremely bad politics. But 4-5 yers would be a good time to spend in Pidilite to gain a sharp edge over others.","Show more","",""
"3.0","12 May 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87194728.htm","Senior sales executive","Current employee, more than 1 year","Bhubaneshwar","","","","Good company to work long period of time","Not agressive as competition brand working in market."
"5.0","29 Apr 2024","Nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86809439.htm","Asm (area sales manager)","Current employee, more than 3 years","","Good company, job stability , work life balance","Slow decision making from management.","Show more","",""
"4.0","3 May 2024","Key Account Manager at Pidilite","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86939210.htm","Key account manager (kam)","Current employee","Bengaluru","","","","Internal transfers all over India.","No work life balance in construction industry."
"2.0","15 May 2024","Okaish Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW87292294.htm","Sales associate","Former employee, less than 1 year","Bengaluru","Good Brand name
Market Leader","Old working style
Indecisive Leadership","Show more","",""
"5.0","3 May 2024",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86935523.htm","Territory sales incharge","Current employee","Jabalpur","","","","Good company to work , great","Nothing , all things are best in industry"
"4.0","23 Apr 2024","Decent work culture, very slow processes","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86601509.htm","Asm (area sales manager)","Current employee, more than 1 year","Mumbai","","","","Culture depends on your boss and the area, overall decent.","Very slow company in terms of processes"
"5.0","15 Apr 2024","Project manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86321412.htm","Project manager","Current employee, more than 3 years","Mumbai","Work life balance 
Good salary","Very less performance bonus and no transperancy of same during interview","Show more","",""
"4.0","21 Apr 2024","Great work place","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86540899.htm","Senior officer engineering","Current employee","","","","","Carrier growth opportunities, good learning opportunities too","Office politics for appraisal, too much dependency on Job Workers."
"4.0","27 Apr 2024","Pidilite","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86737471.htm","Marketing manager","Current employee","Mumbai","","","","Good work culture across divisions","One division has very high mount of travelling"
"4.0","27 Apr 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86740906.htm","Senior tsi","Current employee, less than 1 year","Raipur, Chhattisgarh","Great hr culture system oriented company","No, everything is good here nice place to work","Show more","",""
"4.0","25 Apr 2024","ASM","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86668457.htm","Asm (area sales manager)","Current employee, more than 3 years","Indore","","","","Direct management, safety for job","No policy on promotion and growth"
"4.0","26 Apr 2024","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86718651.htm","Sdm manager","Current employee","","","","","Friendly environment to work for","Less growth. Growth kept for YTMs only"
"4.0","21 Apr 2024","Great organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86524549.htm","Manager procurement","Current employee, more than 3 years","Mumbai","","","","Work life balance, good projects, learning opportunities","Politics during promotions and hikes"
"3.0","4 Apr 2024","very less pay for 17 years of exp","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86025008.htm","Asm (area sales manager)","Former employee","","","","","i hope no have any idea about it.","Very less salary for exp ppl not sure what management take care of there ppl."
"3.0","18 Apr 2024","ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86452814.htm","Territory sales manager","Current employee, more than 1 year","","","","","best company to learn and make carrier","field employees' pain no one understand"
"4.0","12 Mar 2024","Great company with minor flaws","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW85267009.htm","Asm (area sales manager)","Former employee, more than 1 year","Hyderābād","- Good mentors
- Lot of on the job learning
- Freedom to initiate and carry out multiple projects
- Great brand name 
- Respected role","- Role is a bit overburdened 
- Less streamlined
- No perks or benefits","Show more","",""
"3.0","9 Apr 2024","Government kind of a job","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86168028.htm","Deputy manager","Former employee, more than 5 years","Mahuva","","","","Government kid of a job","Pay is not as per the work done and capability"
"5.0","12 Apr 2024","Very nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86256948.htm","Project manager","Former employee, more than 3 years","Mumbai","","","","Company culture is great here","Nothing to dislike about here"
"5.0","9 Apr 2024","All good","https://www.glassdoor.co.in/Reviews/Employee-Review-Pidilite-RVW86150323.htm","Branch manager","Current employee","Lucknow","","","","Low salary and expenses given","Culture of the company is good"
