"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"3.0","15 Feb 2024","Average Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW84409371.htm","Manager","Current employee, more than 1 year","Gurgaon, Haryana","Good salary and services in company","Toxic work culture, no work life balance","","",""
"3.0","12 Feb 2024","Na","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW84318073.htm","Engineer","Current employee, more than 3 years","Gurgaon, Haryana","","","Stability good for mid level professionals","Not much scope to experiment","Show more"
"5.0","11 Feb 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW84282490.htm","Manager","Current employee, more than 5 years","Gurgaon, Haryana","Salary is better compared to industry standards","No flexibility at workplace. Fixed timings","","",""
"5.0","7 Feb 2024","Best Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW84171264.htm","Assistant manager","Current employee, more than 3 years","Gurgaon, Haryana","","","Flexible hours
BEst leave policy
Good Salary","Low Growth opportunity and Routine work","Show more"
"5.0","9 Feb 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW84243902.htm","Assistant manager","Current employee","Ahmedabad","Good money and culture good work life balance","Location is a big cons","","",""
"5.0","25 Jan 2024","Great work environment and Training.","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW83716311.htm","Intern","Current intern, less than 1 year","Gurgaon, Haryana","","","Good culture and communication between people.","There are no downsides to working here.","Show more"
"3.0","1 Feb 2024","Working as a fresh graduate in the shop-floor area","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW83942168.htm","Assistant manager, production","Former employee, more than 1 year","Mānesar","Career Growth Opportunities, Job Security,","Work-Life Balance, Corporate Culture, Workplace Environment","","",""
"5.0","20 Jan 2024","Maruti Suzuki gave me great knowledge","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW83564432.htm","Quality manager","Former employee","","","","Maruti Suzuki ensure customer satisfaction it's 👍","They gave less salary as work done","Show more"
"1.0","10 Mar 2024","Upper management politics will ruin your potential","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW85174533.htm","Digital sales manager","Former employee, more than 3 years","Ludhiana","Only salary is on time","Salary is very low as compared to competitors","","",""
"4.0","26 Jan 2024","Work on research project","https://www.glassdoor.co.in/Reviews/Employee-Review-Maruti-Suzuki-RVW83748940.htm","Assistant manager","Current employee, more than 1 year","Gurgaon, Haryana","Persk are good in terms of health care.","pay level is less in comparison to market.","","",""
