"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"4.0","14 Jan 2020","Excellent company to work and learn","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW31299662.htm","Corporate travel consultant","Current employee, more than 3 years","Beāwar","","","Good learning Environment.
Knowledgeable seniors.
New idea and improvement is appreciated.","Long working Hours.
Dusty environment.
outshirt location","Show more"
"4.0","20 Nov 2020","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW38556071.htm","Quality control","Current employee","","","","Company culture, employee happiness, trainning,","Change job role, learn with senior,","Show more"
"4.0","7 Nov 2021","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW55014402.htm","Senior engineer","Current employee, more than 8 years","Jamshedpur","","","Increment is OK, good senior, good environment, good location,","problem in relocation, ok with HR policies","Show more"
"5.0","17 Jul 2015","Great Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW7258104.htm","Anonymous employee","Current employee, less than 1 year","","Culture is good, growth oriented, acknowledgment of additional efforts","Busy life takes a toll on family","","",""
"4.0","9 Jan 2020","Very good company 👍","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW31206281.htm","Senior engineer","Current employee, more than 3 years","New Delhi","Lots of opertunities to explore","Nothing more to describe cause it's good from all views","","",""
"5.0","2 Jan 2021","FRESHER AT SRCP","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW40010485.htm","Mechanical engineer","Current employee, more than 1 year","Raipur, Chhattisgarh","good work atmosphere to work with","Remote locations, work timings,no nonveg at hostel, shift schedule,","","",""
"4.0","15 Jan 2021","Power Plant Operation & Energy Management","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW40754518.htm","Power plant operation","Current employee","Raipur, Chhattisgarh","Good company & good Knowledge Enhancement","Career growth is slow at certain level","","",""
"2.0","25 Nov 2021","Bad policy","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW55848311.htm","Mechanical engineer","Current employee, more than 3 years","Ajmer","","","Free environment, you can try experiments here","Not timely increment, poor management","Show more"
"5.0","22 May 2018","Assistant manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW20690976.htm","Assistant manager","Current employee, more than 3 years","Raipur, Chhattisgarh","","","Good working environment salary is good","There is no downsides of instrument","Show more"
"4.0","23 Dec 2020","good company to get experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW39762123.htm","Dy manager","Current employee","Aurangābād, Bihar","Good salary structure in view of tax savings","groth of employees not slow","","",""
"3.0","9 Dec 2015","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW8876459.htm","Graduate engineering trainee","Former employee","Dhāruhera","","","good work environment
active employees
good incentives
good motivational factor
growth opportunities","working inside a cement plant is always dangerous","Show more"
"4.0","9 Aug 2017","Summer Intern Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Shree-Cement-RVW16282996.htm","Anonymous intern","Former intern","","","","Good hospitality
Good senior management team","Low social life
No research labs","Show more"
