"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ"
"5.0","24 Feb 2022","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW60218496.htm","Programme analyst","Current employee, more than 5 years","good culture, employee friendly, progressive,","only con is growth may be slow in some departments","Hyderābād","","",""
"4.0","17 Jan 2022","Awesome Place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58037723.htm","Mendix developer consultant","Current employee","Flexible and accepting culture makes it easy for anyone to be a part of it.","There aren't any cons which I have noticed in my shot stay of 2 years","Hyderābād","","",""
"5.0","19 Feb 2022","Learn the best","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59974670.htm","Associate director","Current employee","","","","Competitive work environment 
Good learning 
Good exposure","Missing Work life balance 
 Need work employees care","Show more"
"4.0","16 Feb 2022","Head Supply Chain","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59784984.htm","Supply chain","Current employee, more than 8 years","","","Hyderābād","Good culture and progressive outlook","Weak senior leadership  team.
Off late too much of work pressure
Organization lacking focus","Show more"
"4.0","2 Mar 2022","Nice work culture","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW60502899.htm","Area manager","Current employee, more than 3 years","Fastest growing pharmaceutical company, lot of opportunities","Salary hike is not good","Raipur, Chhattisgarh","","",""
"4.0","16 Jan 2022","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW58027852.htm","Safety supervisor","Current contractor, more than 1 year","","","Bachupally","Everything is good in the campus","Only cons is with security","Show more"
"4.0","6 Feb 2022","Work-life balance, management,Salary etc.","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59187753.htm","Research associate","Current employee, more than 1 year","Good work environment for a fresher","Poor management, poor salary structure, redundancy in processes, nosy nature of people","Hyderābād","","",""
"5.0","3 Feb 2022","Good job","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59029506.htm","Anonymous employee","Former employee, more than 1 year","","","","Nice work for Dr Reddy's","Based on timeline some times need to do more work","Show more"
"1.0","4 May 2022","don't join in this company","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW63627230.htm","Data engineering intern","Current employee, less than 1 year","No pros are there,waste waste of time","Fake company,they are playing with employees life","","","",""
"5.0","15 Feb 2022","Company review","https://www.glassdoor.co.in/Reviews/Employee-Review-Dr-Reddy-s-RVW59676402.htm","Anonymous employee","Former employee","Great culture, excellent learning, humble and easily approachable team members","None that comes to mind","","","",""
