"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"3.0","15 Feb 2019","Assistant Vice President","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW24719441.htm","Marketing","Former employee, more than 5 years","Gurgaon, Haryana","- Salary (best is to negotiate when you join)
- Colleagues
-Potential to grow","- Bureaucratic
- Caught in legal issues
-Work-life balance is absent","Show more","",""
"5.0","13 Oct 2019","Good Company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW29786577.htm","Manager customer service representative","Current employee, more than 3 years","Gurgaon, Haryana","","","","Good working environment, Safety & security is a high priority, excellent location","Bureaucratic approach towards work; red-tapism"
"2.0","4 Jul 2018","Good to start a career","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW21330421.htm","Anonymous employee","Current employee","","good ambience 
neat
people treated with respect
salaries are descent","work timings are long and laborious","Show more","",""
"5.0","28 Apr 2020","Marketing and communications","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW32928642.htm","Marketing communications specialist","Current employee","Gurgaon, Haryana","","","","Equal respect for men and women","No central information available thus new employees need to search for information."
"5.0","14 Oct 2012","world no. 1 construction co.","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW2048711.htm","Site engineer","Current employee, less than 1 year","Noida","good & large salary. n having nc staff.","in building constructin & realestate.","Show more","",""
"5.0","28 Dec 2018","Dlf reviews","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW23981391.htm","Support services","Current employee","Gurgaon, Haryana","","","","Flexibility, Opportunity to grow, salary best in the industry","Could not say or explain due to confidential reason"
"4.0","25 Nov 2019","very good ambiance and seniors are also very supportive.","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW30575120.htm","Anonymous employee","Former employee","","","","","seniors helps their colligue alot","salary was very low for graduate engineer"
"4.0","27 Jun 2021","DLF Ltd","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW48986600.htm","Vice president","Former employee","","","","","They pay well. Good brand equity, especially in the North.","Too centralised. Lack of federalism and coordination between departments."
"4.0","23 Jun 2016","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW11021253.htm","Anonymous employee","Former employee, more than 3 years","Gurgaon, Haryana","Senior Management
All Asset Classes
Future Prospect
Public company
Location","Top heavy
Less Pay
Outdated ERP
Increasing Debt
Falling Stock","Show more","",""
"4.0","11 Aug 2016","organisation","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW11538590.htm","Senior manager","Current employee, more than 8 years","New Delhi","the organisation has a good Brand Name,stale
Strong systems
good management

good organisation","there is less coordination
steep deadlines

good organisation to work with","Show more","",""
"5.0","30 Aug 2020","Corporate Leasing and Portfolio Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW35439624.htm","Assistant general manager leasing & portfolio management","Former employee, more than 3 years","Chennai","Work Culture , Team Engagement,","Work-life, Flexibility, Employee Engagement in Cross Verticals","Show more","",""
"2.0","28 Feb 2021","Typical indian corporate","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW43215166.htm","Manager, finance and accounting","Current employee, more than 1 year","Gurgaon, Haryana","","","","Free parking, good location, no future","Typical indian corporate culture, politics, blame game, negligible increament, no work life balance"
"5.0","1 Jun 2021","Excellent","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW47726779.htm","Manager","Current employee","Gurgaon, Haryana","Nice management
Good Carrier Growth
Brand name in Delhi ncr region","Not much ...I dnt analysis too much about company","Show more","",""
"5.0","30 Oct 2018","Managing Director","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW23198935.htm","Anonymous employee","Former employee, more than 8 years","Gurgaon, Haryana","Great salary and benefits
Professional growth","work life balance, high pressure work environment","Show more","",""
"5.0","30 Jun 2019","Senior Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW27707106.htm","Senior manager","Current employee, more than 8 years","Calcutta","Stability, leadership in business, growth opportunities, care & concern","Everything is very well, no cons","Show more","",""
"5.0","3 Jan 2020","Working at DLF is a dream","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW31113944.htm","Anonymous employee","Current employee","","","","","No bosses Friendly and helpful colleagues","There are no cons in DLF"
"5.0","30 Nov 2020","Great Company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW38866082.htm","Deputy project manager","Current employee, more than 10 years","New Delhi","","","","Good Ambience and highly qualified and trained employees","high rates of transfer cases"
"5.0","15 Dec 2020","Nice Company","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW39499372.htm","Architect","Former employee, less than 1 year","Gurgaon, Uttar Pradesh","","","","Good Leadership, employee satisfaction, Nice pay","No defined holidays, no other that i can think off"
"5.0","26 Jul 2021","Best in the market","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW50261295.htm","Anonymous employee","Current employee, more than 5 years","Gurgaon, Haryana","Good place to work at","Nothing such kind of thing","Show more","",""
"3.0","19 Aug 2012","Average","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW1862413.htm","Senior manager","Current employee, more than 5 years","Gurgaon, Haryana","Salary has provided by 1st of every month.","No better working environment or management.","Show more","",""
"3.0","16 Apr 2013","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW2564955.htm","Senior manager","Former employee, more than 5 years","Chandigarh","","","","Brand name ,Good projects & Job Security.","Crowded, so many good for nothing persons to work with"
"4.0","8 Jun 2016","Assistant Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW10852084.htm","Anonymous employee","Current employee","","","","","Good Learning environment, flexible timings","Senior management not cooperative, low salary"
"5.0","14 Jun 2018","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW21043829.htm","Anonymous employee","Current employee","","","","","It's my dream to work in that company","No nothing like cons . It's good"
"4.0","5 Mar 2019","Fire and safety officer","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW24995550.htm","Fire fighter","Current employee, less than 1 year","Chennai","","","","used to learn new equipment's and safety policy.","work pressure will be high"
"4.0","14 May 2019","Senior","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW26146150.htm","Senior vice president","Current employee, more than 10 years","New Delhi","","","","Strong approach on developments, good working environment","Financial issues. Future growth restricted due to low demand"
"3.0","6 Oct 2020","Overall review","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW36762369.htm","Anonymous employee","Current employee","","","","","Company has a good pay scale with timely salary credit","Management Issues. No work life balance"
"5.0","30 Sept 2020","aviation QM","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW36567702.htm","Quality manager","Current employee, less than 1 year","New Delhi","just culture and healthy environment","need to be careful regarding annual holidays","Show more","",""
"5.0","19 Sept 2016","work experience","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW11983842.htm","Software engineer","Current employee","Gurgaon, Haryana","Best employee,Best place to work","low salary increment, otherwise perfect","Show more","",""
"5.0","23 Aug 2019","No","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW28801061.htm","Junior engineer","Former employee, less than 1 year","Greater Noida","","","","This is top 10 company.and best results.","Yes I m accepted for new challenges"
"5.0","9 Sept 2019","goody","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW29128750.htm","Deputy manager - finance","Former employee, more than 5 years","Gurgaon, Uttar Pradesh","company doing good going bussiness","company also require improvement in continuity","Show more","",""
"4.0","23 Sept 2020","GOOD COMPANY","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW36271886.htm","Marketing","Former employee, more than 5 years","Gurgaon, Haryana","nice place for job seekers","decisions are taken very slowly.","Show more","",""
"4.0","6 Jan 2021","Great company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW40165042.htm","Anonymous employee","Former employee","","","","","Exposure to working on large projects","No major cons for this company"
"5.0","16 Apr 2021","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW45624087.htm","Senior fit out manager","Former employee, more than 3 years","Gurgaon, Haryana","","","","It takes care of the employee safety","It can be tough at times"
"2.0","14 Jun 2021","Introspection needed","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW48316148.htm","Product manager","Former employee","New Delhi","","","","If one doesnt want to work hard, one can get by","Stuck in its own whirlpool"
"5.0","2 Aug 2021","Excellent Place to work.","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW50565886.htm","Design manager","Former employee","Gurgaon, Haryana","","","","Best Career Maker across industry","Growth is steady along the career"
"1.0","25 Aug 2015","Don't Even think of joining, its just a name nothing else","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW7710481.htm","Senior manager","Former employee, more than 3 years","Chandigarh","Just Brand name that too has lowered its standard in fake shine.","They mistreat employees, too much work pressure, never appreciated or motivated and too much politics","Show more","",""
"5.0","22 Nov 2018","Senior Manager Execution","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW23525035.htm","Senior consultant (civil execution )","Former employee, more than 5 years","Gurgaon, Haryana","","","","One of the well organised company","Excess pressure on site staff"
"4.0","4 Mar 2020","CRM HANDLING","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW32206632.htm","Customer relations","Current employee, more than 5 years","Gurgaon, Haryana","","","","Flexibility at work, good work environment","Too much of Politics in the company"
"5.0","2 Jun 2020","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW33481467.htm","Mep planning engineer","Current employee, more than 3 years","Dehradun","Good overall and good for employees","Overtime but overall. Good it is.","Show more","",""
"4.0","11 Nov 2020","Life at DLF","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW38242804.htm","General manager","Former employee, more than 5 years","New Delhi","","","","There are many employee benefit programs","very busy work life and environment"
"4.0","21 Dec 2020","Salary","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW39703170.htm","Associate","Former employee","Gurgaon, Haryana","","","","Good environment and hard working people","Long working hours and far away from home"
"4.0","13 Mar 2021","Great working experience","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW43953301.htm","Assistant manager","Current employee, more than 3 years","New Delhi","","","","Learning peer support good hr norms","Compensation little low snd no perks"
"4.0","9 Jul 2021","Good work Environment","https://www.glassdoor.co.in/Reviews/Employee-Review-DLF-RVW49531233.htm","Assistant manager - planning","Current employee","Gurgaon, Haryana","","","","Good work Environment is great","old policies die hard at such org"
