"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2"
"1.0","21 Oct 2016","Pathetic company for sales professionals","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW12406358.htm","Kae","Current employee","New Delhi","Big portfolio of  brands, most of them enjoys good market share.","* Office Politics too rampant.
* Over aged managers with less acceptability for new hires. 
* Finance & Marketing is too slow in settling claims for parties.","Show more","",""
"3.0","28 Dec 2017","Great place to work","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW18501320.htm","Assistant manager","Current employee, more than 3 years","Bengaluru","Good salary and incentive , good people","No stability, poor performance measurements system","Show more","",""
"5.0","7 Jul 2021","technical support","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW49462417.htm","Systems analyst","Current employee, more than 1 year","Nashik","","","","nice work environment and many things for learning","I have not observed and not facing any bad con's"
"5.0","22 Aug 2021","Good company to work.","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW51448241.htm","Senior manager-tax","Current employee, more than 3 years","","1. Equal Opportunity.
2. Flexi timing","1. Good people management.
2. Good pay master.
3.. Equal opportunity to work.","Show more","",""
"3.0","24 Oct 2016","Average Opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW12429623.htm","Anonymous employee","Current employee","","Work Life balance is good","Always a rift between USL and Diageo Employees","Show more","",""
"4.0","13 Nov 2017","QA EXECUTIVE","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW17868990.htm","Qa senior executive","Former employee, more than 3 years","Raipur, Chhattisgarh","Good place to start with","Very unorthodox management and uncertainty of job","Show more","",""
"5.0","24 Sept 2020","Excellent Work Culture","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW36322710.htm","Senior executive - quality control","Former employee, more than 3 years","Guwahati","Great Place of Work & Learning","Pick & Drop Facility Not Available for Employees","Show more","",""
"4.0","8 Jan 2016","Maintenance Executive","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW9116599.htm","Maintenance executive","Current employee","Nashik","Good Salary
Good Codes  Of Business Conduct
Complete Safety","Lack of job security","Show more","",""
"4.0","12 May 2017","-","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW15036869.htm","Senior human resources manager","Former employee, more than 1 year","Mumbai","Great Brands, Corporate Social Responsibility, Product Innovation, Challenging Change Environment","Limited career opportunities in HR, International delegations","Show more","",""
"5.0","16 Jun 2021","good","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW48457639.htm","Warehouse supervisor","Current employee, more than 5 years","Gulbarga","this company following deplane and Safety is first Preference","not job guaranty any time at company","Show more","",""
"4.0","1 Apr 2017","Working in sales across North India","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW14441558.htm","Dgm","Current employee","New Delhi","No1 spirits company across the globe","A Very Result oriented company","Show more","",""
"5.0","3 Apr 2020","Exceptional Management","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW32590264.htm","General manager","Current employee, more than 1 year","Bengaluru","","","","Excellent work culture and supportive Management Team","There are none that I can think of"
"3.0","30 Aug 2012","Enriching yet unsatisfying!","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW1901453.htm","Anonymous employee","Former employee, more than 5 years","Bengaluru","Market Leaders, Strong Processes, Sales Driven and clear accountability.","Inability to change.
Bureaucratic.
Top-Heavy.
Slow decision making.","Show more","",""
"5.0","2 Sept 2013","Very Good","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW3002892.htm","Anonymous employee","Current employee","","","","","Great Place to work, Freedom of decision making","Liquor Industry is a tough industry."
"3.0","25 Jul 2016","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW11343508.htm","Quality executive","Current employee, more than 3 years","Bengaluru","Safety  first in company.
Good policies
Good leave benefits","Poor leadership.
Poor management
Less time for family.
No space to grow","Show more","",""
"4.0","3 Mar 2020","Work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW32177627.htm","Senior sales executive","Former employee","Chennai","","","","Good hr policies ,good management","No growth ,appraisal is not good"
"3.0","16 Oct 2016","Senior Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW12329063.htm","Anonymous employee","Current employee","","","","","The company provides enough opportunity to grow.Work life balance","Job security , Better career opportunity"
"4.0","23 Oct 2017","Manufacturing Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW17516454.htm","Anonymous employee","Former employee, less than 1 year","","","","","Good company to work","appraisal is done with face value"
"5.0","24 Jan 2019","Asst. Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW24361592.htm","Anonymous employee","Current employee","","","","","Energetic, Motivated, Will Have to attitude, Learner.","Highly Believe with Near by Me"
"5.0","15 Apr 2021","Good company to work","https://www.glassdoor.co.in/Reviews/Employee-Review-United-Spirits-RVW45589437.htm","Mis executive","Current employee","Mumbai","","","","Colleagues are helpfull, worklife balance","Nothing cons found in my way"
