Company,Date,Open,High,Low,Close,Adj Close,Volume
META,2014-09-02,75.01000213623047,76.69999694824219,74.81999969482422,76.68000030517578,76.44982147216797,34979000
META,2014-09-03,77.13999938964844,77.4800033569336,75.5999984741211,75.83000183105469,75.60237884521484,32389000
META,2014-09-04,75.88999938964844,76.93000030517578,75.52999877929688,75.94999694824219,75.72200775146484,26676000
META,2014-09-05,76.0999984741211,77.37999725341797,75.5999984741211,77.26000213623047,77.02808380126953,29476000
META,2014-09-08,77.26000213623047,78.16999816894531,77.01000213623047,77.88999938964844,77.65618896484375,28183000
META,2014-09-09,77.58999633789062,78.16999816894531,76.19999694824219,76.66999816894531,76.4398422241211,28882000
META,2014-09-10,76.5199966430664,77.94999694824219,76.51000213623047,77.43000030517578,77.19756317138672,29909000
META,2014-09-11,77.12999725341797,78.36000061035156,77.05000305175781,77.91999816894531,77.68609619140625,32219000
META,2014-09-12,78.0199966430664,78.30000305175781,77.0999984741211,77.4800033569336,77.24742126464844,26676800
META,2014-09-15,77.1500015258789,77.25,73.43000030517578,74.58000183105469,74.35611724853516,49679000
META,2014-09-16,73.5199966430664,76.2300033569336,73.06999969482422,76.08000183105469,75.85161590576172,37742000
META,2014-09-17,75.95999908447266,77.25,75.56999969482422,76.43000030517578,76.20057678222656,28693000
META,2014-09-18,76.7699966430664,77.33000183105469,76.5199966430664,77.0,76.76885986328125,23031000
META,2014-09-19,77.4000015258789,78.30000305175781,76.44000244140625,77.91000366210938,77.6761245727539,76671000
META,2014-09-22,77.0,77.52999877929688,75.94999694824219,76.80000305175781,76.5694580078125,31961000
META,2014-09-23,76.33000183105469,78.62999725341797,76.04000091552734,78.29000091552734,78.05499267578125,36814000
META,2014-09-24,78.0999984741211,78.62000274658203,77.51000213623047,78.54000091552734,78.30423736572266,30680000
META,2014-09-25,78.5999984741211,78.94000244140625,77.12999725341797,77.22000122070312,76.98819732666016,37533000
META,2014-09-26,77.58999633789062,78.83999633789062,77.33000183105469,78.79000091552734,78.5534896850586,28872000
META,2014-09-29,78.12000274658203,79.19999694824219,77.91000366210938,79.0,78.76284790039062,34031000
META,2014-09-30,79.3499984741211,79.70999908447266,78.5999984741211,79.04000091552734,78.802734375,35899000
META,2014-10-01,78.77999877929688,78.81999969482422,75.9000015258789,76.55000305175781,76.3202133178711,55090000
META,2014-10-02,76.56999969482422,77.4800033569336,75.63999938964844,77.08000183105469,76.84862518310547,36488000
META,2014-10-03,77.76000213623047,78.05999755859375,77.26000213623047,77.44000244140625,77.2075424194336,23340000
META,2014-10-06,77.19000244140625,77.88999938964844,76.8499984741211,77.55999755859375,77.32717895507812,25729000
META,2014-10-07,77.05000305175781,77.94999694824219,76.23999786376953,76.29000091552734,76.06098937988281,25317000
META,2014-10-08,76.18000030517578,77.70999908447266,75.0999984741211,77.5199966430664,77.28729248046875,32976000
META,2014-10-09,77.27999877929688,77.76000213623047,75.8499984741211,75.91000366210938,75.68213653564453,32487000
META,2014-10-10,75.58999633789062,76.5,72.76000213623047,72.91000366210938,72.6911392211914,52146000
META,2014-10-13,73.2300033569336,74.77999877929688,72.5199966430664,72.98999786376953,72.7708969116211,43938000
